<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,1.96@@1.96,?,100256.0,272000.0,✓,✗,✗,✓,52.45 ± 3.03 / 64.55 ± 2.20@@52.45,64.10 ± 2.30 / 38.53 ± 1.56@@64.10,50.58 ± 2.55 / 70.54 ± 1.79@@50.58,49.88 ± 1.01 / 28.23 ± 1.35@@49.88,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.97@@1.97,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,58.21 ± 1.29 / 71.39 ± 0.85@@58.21,82.51 ± 1.28 / 69.88 ± 1.18@@82.51,33.75 ± 1.69 / 66.38 ± 0.79@@33.75,49.39 ± 0.60 / 28.74 ± 0.52@@49.39,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,2.03@@2.03,?,?,1047576.0,✓,✗,✗,✓,59.94 ± 3.63 / 71.72 ± 2.61@@59.94,48.65 ± 2.69 / 23.66 ± 1.49@@48.65,50.04 ± 1.72 / 72.81 ± 1.18@@50.04,48.48 ± 1.41 / 24.27 ± 1.47@@48.48,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,2.06@@2.06,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,61.64 ± 0.93 / 72.27 ± 0.65@@61.64,79.94 ± 1.39 / 75.88 ± 1.38@@79.94,25.69 ± 1.85 / 47.08 ± 1.96@@25.69,50.53 ± 0.53 / 26.85 ± 0.44@@50.53,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,2.06@@2.06,?,?,200000.0,✓,✗,✗,✓,55.40 ± 2.61 / 68.93 ± 2.05@@55.40,42.28 ± 1.95 / 27.74 ± 1.36@@42.28,55.14 ± 2.86 / 77.12 ± 1.33@@55.14,50.78 ± 1.19 / 29.89 ± 1.52@@50.78,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,2.07@@2.07,124498007.0,50005.0,514.0,✓,✗,(✓),✓,44.97 ± 2.18 / 58.64 ± 4.25@@44.97,82.93 ± 0.77 / 83.11 ± 0.74@@82.93,45.59 ± 7.33 / 69.72 ± 6.45@@45.59,37.70 ± 2.88 / 16.70 ± 2.28@@37.70,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.08@@2.08,?,100256.0,272000.0,✓,✗,✗,✓,51.33 ± 2.95 / 64.43 ± 1.97@@51.33,62.85 ± 3.01 / 34.44 ± 1.51@@62.85,43.51 ± 2.64 / 65.94 ± 1.51@@43.51,50.14 ± 1.26 / 28.72 ± 1.64@@50.14,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,2.11@@2.11,?,?,131072.0,✓,✗,✗,✓,59.12 ± 1.23 / 67.06 ± 0.92@@59.12,61.86 ± 1.30 / 49.92 ± 0.91@@61.86,33.00 ± 1.92 / 63.47 ± 1.03@@33.00,50.34 ± 0.59 / 31.05 ± 0.67@@50.34,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,2.11@@2.11,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,53.06 ± 1.72 / 66.78 ± 1.51@@53.06,66.61 ± 2.24 / 48.97 ± 4.03@@66.61,37.06 ± 1.92 / 67.77 ± 1.21@@37.06,50.34 ± 1.35 / 25.85 ± 1.07@@50.34,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.12@@2.12,?,?,?,✓,✗,✗,✓,53.79 ± 2.54 / 67.25 ± 1.93@@53.79,72.05 ± 2.42 / 69.40 ± 1.98@@72.05,28.50 ± 3.42 / 52.19 ± 2.15@@28.50,51.96 ± 1.17 / 27.28 ± 1.18@@51.96,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.13@@2.13,24011361280.0,131072.0,?,✓,✗,(✓),✓,50.84 ± 1.73 / 65.77 ± 1.73@@50.84,70.03 ± 1.86 / 62.22 ± 2.41@@70.03,23.07 ± 1.59 / 59.84 ± 2.10@@23.07,63.53 ± 1.73 / 34.31 ± 2.26@@63.53,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,2.13@@2.13,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,49.68 ± 3.11 / 64.46 ± 2.04@@49.68,68.35 ± 2.65 / 56.99 ± 2.92@@68.35,36.59 ± 2.50 / 67.99 ± 1.45@@36.59,51.25 ± 1.51 / 21.53 ± 2.75@@51.25,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,2.15@@2.15,?,256128.0,1048576.0,✓,✗,✗,✓,51.71 ± 2.56 / 62.53 ± 1.76@@51.71,60.37 ± 2.55 / 35.28 ± 1.08@@60.37,42.11 ± 4.27 / 70.63 ± 2.22@@42.11,47.16 ± 0.70 / 26.29 ± 0.32@@47.16,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,2.15@@2.15,?,256128.0,1048576.0,✓,✗,✗,✓,51.71 ± 2.56 / 62.53 ± 1.76@@51.71,60.37 ± 2.55 / 35.28 ± 1.08@@60.37,42.11 ± 4.27 / 70.63 ± 2.22@@42.11,47.16 ± 0.70 / 26.29 ± 0.32@@47.16,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.20@@2.20,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,52.35 ± 0.85 / 66.12 ± 0.75@@52.35,69.76 ± 0.87 / 49.03 ± 5.36@@69.76,24.30 ± 1.34 / 61.74 ± 0.82@@24.30,55.57 ± 1.42 / 27.78 ± 0.65@@55.57,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.20@@2.20,27432406640.0,262144.0,?,✓,✗,(✓),✓,53.50 ± 1.27 / 67.18 ± 1.35@@53.50,61.34 ± 1.90 / 48.44 ± 3.19@@61.34,37.71 ± 1.69 / 68.45 ± 0.97@@37.71,49.17 ± 1.11 / 20.30 ± 2.18@@49.17,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,2.20@@2.20,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,50.56 ± 2.85 / 65.77 ± 1.86@@50.56,66.00 ± 3.94 / 43.87 ± 2.87@@66.00,32.22 ± 4.63 / 64.00 ± 2.54@@32.22,51.26 ± 1.71 / 23.51 ± 2.64@@51.26,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (val)</a>,📝,2.20@@2.20,12200000000.0,262144.0,128000.0,✓,✗,✗,✓,51.58 ± 2.93 / 66.21 ± 1.81@@51.58,67.16 ± 4.06 / 46.73 ± 3.73@@67.16,30.84 ± 4.54 / 62.70 ± 3.70@@30.84,50.55 ± 1.67 / 23.01 ± 2.10@@50.55,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.21@@2.21,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,47.98 ± 1.29 / 63.46 ± 1.10@@47.98,59.26 ± 1.92 / 39.62 ± 2.66@@59.26,31.16 ± 1.42 / 62.56 ± 1.74@@31.16,58.62 ± 1.64 / 31.75 ± 1.64@@58.62,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,2.22@@2.22,?,?,?,✓,✗,✗,✓,53.21 ± 1.61 / 67.61 ± 1.11@@53.21,67.61 ± 2.05 / 55.14 ± 3.31@@67.61,33.58 ± 1.67 / 66.30 ± 0.89@@33.58,48.50 ± 1.25 / 19.10 ± 2.44@@48.50,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,2.22@@2.22,?,256128.0,1048576.0,✓,✗,✗,✓,57.53 ± 4.16 / 69.97 ± 2.85@@57.53,57.57 ± 3.12 / 40.75 ± 2.28@@57.57,33.70 ± 3.97 / 63.69 ± 1.94@@33.70,49.59 ± 1.23 / 24.08 ± 0.66@@49.59,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.22@@2.22,24011361280.0,131072.0,?,✓,✗,(✓),✓,47.60 ± 1.92 / 63.12 ± 2.23@@47.60,66.71 ± 1.60 / 50.53 ± 4.36@@66.71,22.77 ± 1.79 / 59.41 ± 1.71@@22.77,61.42 ± 2.41 / 33.79 ± 1.89@@61.42,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,2.23@@2.23,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,52.13 ± 1.18 / 65.90 ± 1.07@@52.13,64.03 ± 4.37 / 63.37 ± 4.52@@64.03,27.77 ± 1.83 / 58.46 ± 2.25@@27.77,54.42 ± 1.58 / 26.46 ± 1.63@@54.42,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
