<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,2.05@@2.05,?,?,1047576,✓,✗,54.00 ± 1.91 / 67.85 ± 1.35@@54.00,46.24 ± 2.82 / 30.06 ± 1.73@@46.24,48.91 ± 2.14 / 70.55 ± 1.32@@48.91,56.63 ± 1.01 / 28.87 ± 1.63@@56.63,71.33 ± 1.92 / 78.36 ± 1.44@@71.33,59.48 ± 4.19 / 80.47 ± 2.08@@59.48,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.20@@2.20,21511953984.0,201088.0,131072,✓,✗,46.31 ± 1.27 / 64.18 ± 0.84@@46.31,65.20 ± 1.32 / 58.68 ± 0.94@@65.20,30.29 ± 1.96 / 62.97 ± 1.08@@30.29,57.84 ± 0.59 / 35.35 ± 1.00@@57.84,65.58 ± 0.89 / 74.10 ± 0.67@@65.58,35.02 ± 2.14 / 67.51 ± 1.03@@35.02,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.25@@2.25,?,?,200000,✓,✗,52.86 ± 2.85 / 66.86 ± 1.85@@52.86,53.00 ± 2.15 / 38.40 ± 2.10@@53.00,23.59 ± 3.15 / 57.22 ± 1.61@@23.59,58.83 ± 1.27 / 30.62 ± 1.35@@58.83,62.59 ± 1.96 / 71.64 ± 1.57@@62.59,39.03 ± 6.10 / 68.75 ± 3.10@@39.03,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.29@@2.29,?,?,1047576,✓,✗,53.77 ± 2.34 / 67.67 ± 1.73@@53.77,45.08 ± 2.36 / 27.40 ± 1.12@@45.08,42.06 ± 2.22 / 69.20 ± 1.47@@42.06,57.34 ± 1.11 / 30.79 ± 1.68@@57.34,66.59 ± 1.84 / 74.18 ± 1.57@@66.59,28.77 ± 6.06 / 64.53 ± 2.82@@28.77,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.37@@2.37,21511953984.0,201088.0,131072,✓,✗,40.38 ± 2.06 / 58.75 ± 1.90@@40.38,61.70 ± 0.81 / 53.63 ± 0.97@@61.70,30.93 ± 1.33 / 60.90 ± 0.93@@30.93,58.17 ± 0.69 / 36.87 ± 1.42@@58.17,53.02 ± 1.10 / 64.70 ± 0.84@@53.02,26.97 ± 1.80 / 63.51 ± 0.88@@26.97,16.6.0.dev0@@160600,16.7.0.dev0@@160700,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.37@@2.37,?,256128.0,1048576,✓,✗,51.52 ± 2.66 / 65.93 ± 1.82@@51.52,43.82 ± 1.61 / 23.78 ± 1.34@@43.82,36.49 ± 2.59 / 60.98 ± 1.74@@36.49,57.00 ± 1.85 / 35.98 ± 2.28@@57.00,67.29 ± 1.03 / 75.00 ± 0.91@@67.29,27.26 ± 4.31 / 64.53 ± 2.02@@27.26,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,3.45@@3.45,?,?,1047576,✓,✗,53.31 ± 1.77 / 67.78 ± 1.15@@53.31,31.38 ± 1.50 / 25.31 ± 1.43@@31.38,24.88 ± 2.66 / 62.11 ± 1.37@@24.88,50.85 ± 1.21 / 24.71 ± 1.53@@50.85,36.36 ± 2.55 / 51.33 ± 1.82@@36.36,2.62 ± 4.52 / 57.11 ± 2.00@@2.62,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,-@@100,24011361280.0,131072.0,8192,✓,✗,49.34 ± 0.93 / 62.59 ± 1.93@@49.34,-@@-1,35.07 ± 1.94 / 65.31 ± 1.88@@35.07,-@@-1,56.54 ± 0.69 / 67.29 ± 0.50@@56.54,40.54 ± 2.47 / 70.21 ± 1.27@@40.54,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,-@@100,1235814400.0,128256.0,131072,✓,✗,28.71 ± 2.80 / 39.47 ± 3.15@@28.71,-@@-1,2.04 ± 1.66 / 46.60 ± 3.25@@2.04,-@@-1,0.86 ± 1.34 / 25.23 ± 0.88@@0.86,0.43 ± 0.62 / 49.16 ± 0.75@@0.43,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,-@@100,8030261248.0,128256.0,131072,✓,✗,44.51 ± 0.95 / 50.78 ± 1.32@@44.51,-@@-1,12.96 ± 3.33 / 49.48 ± 4.87@@12.96,-@@-1,28.12 ± 1.20 / 45.62 ± 0.98@@28.12,9.35 ± 1.91 / 54.06 ± 1.09@@9.35,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,-@@100,70553706496.0,128256.0,131072,✓,✗,49.84 ± 1.14 / 59.68 ± 1.81@@49.84,-@@-1,40.98 ± 2.86 / 69.43 ± 1.84@@40.98,-@@-1,55.13 ± 0.85 / 65.98 ± 0.61@@55.13,44.48 ± 2.75 / 72.18 ± 1.34@@44.48,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,-@@100,21511953984.0,201088.0,131072,✓,✗,43.38 ± 1.51 / 62.41 ± 0.97@@43.38,-@@-1,24.46 ± 2.41 / 61.60 ± 1.33@@24.46,56.88 ± 0.79 / 39.21 ± 0.61@@56.88,63.90 ± 0.62 / 72.09 ± 0.49@@63.90,-@@-1,16.7.0.dev0@@160700,-@@0,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,-@@0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,-@@100,134515008.0,49152.0,8192,✓,✗,1.38 ± 1.30 / 18.33 ± 0.97@@1.38,-@@-1,0.04 ± 0.08 / 34.93 ± 3.06@@0.04,-@@-1,0.26 ± 1.29 / 25.14 ± 0.85@@0.26,-0.37 ± 0.62 / 49.10 ± 0.75@@-0.37,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,-@@100,999885952.0,262144.0,32768,✓,✗,24.45 ± 5.25 / 34.34 ± 5.24@@24.45,-@@-1,-0.33 ± 1.11 / 41.55 ± 2.43@@-0.33,-@@-1,-0.63 ± 0.40 / 24.04 ± 0.53@@-0.63,-1.28 ± 2.31 / 49.20 ± 0.86@@-1.28,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,-@@100,12187325040.0,262144.0,8192,✓,✗,46.33 ± 1.29 / 64.01 ± 1.00@@46.33,-@@-1,39.73 ± 5.13 / 67.10 ± 4.12@@39.73,-@@-1,51.69 ± 0.52 / 63.57 ± 0.32@@51.69,36.14 ± 2.04 / 67.88 ± 1.11@@36.14,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,-@@100,3075098624.0,128256.0,65536,✓,✗,32.51 ± 3.46 / 44.56 ± 4.84@@32.51,-@@-1,2.57 ± 1.46 / 35.58 ± 1.06@@2.57,-@@-1,13.16 ± 0.92 / 34.27 ± 0.76@@13.16,-0.07 ± 2.51 / 49.53 ± 0.85@@-0.07,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,-@@100,361821120.0,49152.0,8192,✓,✗,0.34 ± 1.16 / 20.32 ± 2.44@@0.34,-@@-1,0.11 ± 0.78 / 36.51 ± 4.17@@0.11,-@@-1,0.62 ± 1.08 / 24.18 ± 0.57@@0.62,-0.84 ± 1.10 / 49.06 ± 0.77@@-0.84,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,-@@100,4300079472.0,262144.0,8192,✓,✗,42.82 ± 1.07 / 50.10 ± 3.12@@42.82,-@@-1,12.43 ± 2.23 / 48.62 ± 4.38@@12.43,-@@-1,31.69 ± 0.77 / 48.33 ± 0.57@@31.69,5.95 ± 1.76 / 52.82 ± 1.05@@5.95,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,-@@100,27432406640.0,262144.0,8192,✓,✗,48.82 ± 1.32 / 64.53 ± 0.88@@48.82,-@@-1,48.35 ± 4.43 / 72.36 ± 4.18@@48.35,-@@-1,59.52 ± 0.45 / 69.58 ± 0.35@@59.52,45.96 ± 2.10 / 72.91 ± 1.04@@45.96,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
