model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,open,trained_from_scratch
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.04,,,400000,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,2.06,31273088876,262144,8192,✓,✗,(✓),✓
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,2.06,,,131072,✓,✗,✗,✓
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,2.14,,256128,1048576,✓,✗,✗,✓
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.18,35951817904,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.35,24011361280,131072,,✓,✗,(✓),✓
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.37,70553706496,128256,131072,✓,✗,(✓),✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.37,,256128,1048576,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.38,27432406640,262144,,✓,✗,(✓),✓
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.38,,,,✓,✗,✗,✓
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.39,,,400000,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.42,25805936206,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.46,24011361280,131072,,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,2.49,24261800960,131072,8192,✓,✗,(✓),✓
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.49,,,400000,✓,✗,✗,✓
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.50,,100256,272000,✓,✗,✗,✓
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.53,32762123264,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.54,32759790592,151665,131072,✓,✗,(✓),✗
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.60,24011361280,131072,8192,✓,✗,(✓),✓
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.60,,,400000,✓,✗,✗,✓
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.61,9653100528,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.61,12163481600,131072,8192,✓,✗,(✓),✓
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.65,31221485568,154880,202752,✓,✗,✗,✓
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.65,13945031680,131072,8192,✓,✗,(✓),✓
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.66,,,200000,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.68,12187325040,262144,,✓,✗,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,2.70,28842036848,262144,8192,✓,✗,(✓),✗
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.72,9241705984,256000,8192,✗,✗,(✓),✗
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.76,7415529472,131072,8192,✓,✗,(✓),✓
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.76,70553706496,128256,131072,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.77,27432406640,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.81,7996157418,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.81,30532122624,151936,262144,✓,✗,✗,✓
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.81,14765947904,151665,131072,✓,✗,(✓),✗
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.83,70599864480,131072,65536,✗,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.86,14768307200,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.88,8918026240,131072,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.88,7849978192,262400,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.97,12187325040,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,3.04,3849090048,131072,8192,✓,✗,(✓),✓
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,3.06,21511953984,201088,131072,✓,✗,✗,✓
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,3.06,4022468096,151936,262144,✓,✗,✗,✓
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,3.07,8190735360,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,3.08,32233522176,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,3.09,11168796672,32128,32768,✓,✓,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,3.12,13194203760,262144,8192,✓,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,3.13,9653100528,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,3.15,32003216384,102400,131072,✗,✗,(✓),✗
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,3.15,13945031680,131072,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,3.16,5123178979,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,3.19,8030261248,128256,131072,✓,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,3.19,4659861248,248044,8192,✓,✗,(✓),✓
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,3.21,,,400000,✓,✗,✗,✓
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,3.21,31577937344,131072,262144,✓,✗,✗,✓
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,3.22,31577934400,131072,262144,✓,✗,✗,✓
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,3.22,32233522176,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,3.22,4659861248,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,3.24,32233522176,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (val)</a>,📝,3.25,3880263168,262144,8192,✓,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,3.25,4022468096,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,3.26,2614341888,256000,8192,✗,✗,(✓),✗
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,3.27,4022468096,151936,262144,✗,✗,(✓),✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,3.27,21511953984,201088,131072,✓,✗,✗,✓
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,3.27,8030326784,128264,131072,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,3.29,31273088876,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,3.30,,,,✓,✗,(✓),✓
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,3.33,,,,✓,✗,(✓),✓
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,3.36,3191396096,100352,131072,✓,✗,(✓),✗
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,3.38,32233522176,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,3.38,30491811840,131072,262144,✓,✗,✗,✓
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#thinking</a>,🤔,3.39,30532122624,151936,262144,✓,✗,(✓),✗
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,3.39,32233522176,100278,65536,✓,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,3.40,22637328384,128000,32768,✓,✗,(✓),✓
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,3.41,21511953984,201088,131072,✓,✗,✗,✓
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,3.43,3402836480,100352,131072,✓,✗,(✓),✗
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#no-thinking</a>,📝,3.44,30532122624,151936,262144,✓,✗,(✓),✗
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,3.45,26123974400,200192,131072,✗,✗,(✓),✗
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,3.46,4300079472,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,3.47,4300079472,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,3.52,22637328384,128000,32768,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,3.54,25805936206,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,3.61,2274067232,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,3.65,3349227520,262144,500000,✗,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.67,3075098624,128256,65536,✓,✗,✗,✓
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,3.71,3349227520,262144,500000,✗,✗,(✓),✓
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,3.71,3349227520,262144,500000,✗,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,3.79,2031739904,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,3.81,9152319488,128000,4096,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.86,3075098624,128256,65536,✓,✗,✗,✓
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.89,7298011136,100278,65536,✓,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.90,873436192,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.92,2274067232,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.93,3606752256,128256,131072,✓,✗,(✓),✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.95,7298011136,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.97,7298011136,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.99,7298011136,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,4.00,873436192,248044,8192,✓,✗,(✓),✓
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,4.08,14659507200,100352,32768,✓,✗,(✓),✓
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,4.10,7298011136,100278,65536,✗,✗,(✓),✓
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,4.11,1596507648,32000,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,4.12,7996157418,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,4.16,2424375168,99000,28723,✗,✗,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (val)</a>,📝,4.21,999885952,262144,32768,✓,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,4.26,751632384,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,4.29,5123178979,262144,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,4.29,999885952,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,4.29,999885952,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,4.30,7768117248,256000,8192,✓,✗,(✓),✓
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,4.31,1235814400,128256,131072,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.34,1170340608,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,4.34,1195468800,65536,2048,✓,✗,(✓),✓
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.35,1235814400,128256,131072,✓,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,4.36,2611528704,128000,4096,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.39,742489344,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.40,268098176,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,4.40,4221757440,120818,262144,✓,✗,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.43,268098176,262144,32768,✓,✗,(✓),✗
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,4.43,7768117248,256000,8192,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.44,354483968,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,4.45,7504568320,128167,32768,✓,✗,(✓),✓
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,4.45,2680100864,131072,262144,✓,✗,✗,✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.49,134515008,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,4.52,2611528704,128000,4096,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.56,361821120,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.56,134515008,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.56,353424384,65536,2048,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.56,361821120,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.58,107908288,65536,262144,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.58,268098176,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.71,320956992,65536,4096,✓,✗,(✓),✓
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.73,107908288,65536,262144,✓,✗,(✓),✓
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.98,17406164992,151936,32768,✓,✗,(✓),✓
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,5.00,56656128,8192,2048,✓,✗,(✓),✓
