<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.36@@1.36,17.18,?,?,400000.0,✓,✗,✗,✓,69.49 ± 0.94 / 72.82 ± 0.69@@69.49,85.19 ± 0.71 / 70.62 ± 0.94@@85.19,68.07 ± 0.90 / 83.39 ± 0.50@@68.07,83.88 ± 0.30 / 67.32 ± 0.53@@83.88,42.19 ± 0.10 / 44.23 ± 0.08@@42.19,93.87 ± 0.66 / 95.43 ± 0.50@@93.87,76.12 ± 0.94 / 81.99 ± 0.72@@76.12,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.38@@1.38,16.14,?,?,131072.0,✓,✗,✗,✓,68.05 ± 1.18 / 69.50 ± 0.96@@68.05,84.82 ± 0.63 / 77.14 ± 1.04@@84.82,68.02 ± 1.33 / 82.58 ± 0.77@@68.02,82.79 ± 0.30 / 67.50 ± 0.49@@82.79,41.72 ± 0.13 / 44.54 ± 0.11@@41.72,92.60 ± 0.57 / 94.49 ± 0.43@@92.60,80.27 ± 0.98 / 85.04 ± 0.74@@80.27,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.39@@1.39,28.04,?,?,400000.0,✓,✗,✗,✓,68.60 ± 1.04 / 72.20 ± 0.76@@68.60,80.97 ± 0.51 / 66.23 ± 0.83@@80.97,68.73 ± 1.11 / 83.98 ± 0.58@@68.73,84.71 ± 0.39 / 68.78 ± 0.50@@84.71,41.99 ± 0.08 / 44.07 ± 0.08@@41.99,94.32 ± 0.69 / 95.74 ± 0.52@@94.32,77.32 ± 1.09 / 82.85 ± 0.82@@77.32,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.39@@1.39,18.33,?,?,400000.0,✓,✗,✗,✓,66.56 ± 1.29 / 70.00 ± 0.96@@66.56,85.75 ± 0.54 / 70.66 ± 0.71@@85.75,65.16 ± 1.10 / 81.88 ± 0.56@@65.16,83.65 ± 0.35 / 66.69 ± 0.74@@83.65,42.63 ± 0.13 / 44.67 ± 0.11@@42.63,91.75 ± 0.91 / 93.83 ± 0.68@@91.75,78.42 ± 0.93 / 83.75 ± 0.71@@78.42,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.39@@1.39,0.11,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,68.58 ± 1.49 / 72.51 ± 1.16@@68.58,87.04 ± 0.74 / 84.34 ± 0.83@@87.04,64.00 ± 1.33 / 81.16 ± 0.83@@64.00,81.77 ± 0.70 / 58.01 ± 1.30@@81.77,42.32 ± 0.21 / 44.97 ± 0.24@@42.32,91.17 ± 0.77 / 93.44 ± 0.58@@91.17,76.74 ± 1.14 / 82.27 ± 0.89@@76.74,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.42@@1.42,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,66.39 ± 1.52 / 72.11 ± 1.03@@66.39,77.68 ± 1.53 / 74.59 ± 1.12@@77.68,59.27 ± 1.87 / 79.33 ± 1.26@@59.27,86.44 ± 1.26 / 72.47 ± 2.52@@86.44,44.90 ± 1.93 / 48.10 ± 2.27@@44.90,93.54 ± 0.63 / 95.27 ± 0.47@@93.54,71.93 ± 1.74 / 78.54 ± 1.40@@71.93,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.42@@1.42,73.13,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,69.76 ± 0.47 / 71.68 ± 0.50@@69.76,79.54 ± 0.97 / 71.92 ± 1.02@@79.54,53.90 ± 1.32 / 74.18 ± 1.02@@53.90,87.16 ± 0.37 / 71.26 ± 1.07@@87.16,43.28 ± 0.23 / 45.64 ± 0.32@@43.28,90.38 ± 0.82 / 92.97 ± 0.61@@90.38,90.50 ± 0.61 / 92.85 ± 0.45@@90.50,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.8.1.dev0@@150801
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.42@@1.42,41.22,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,69.29 ± 0.76 / 72.62 ± 0.55@@69.29,81.56 ± 1.47 / 76.46 ± 0.67@@81.56,54.78 ± 2.77 / 75.77 ± 1.99@@54.78,82.35 ± 0.92 / 60.77 ± 2.30@@82.35,43.07 ± 0.28 / 45.39 ± 0.40@@43.07,89.68 ± 0.90 / 92.48 ± 0.65@@89.68,89.30 ± 0.55 / 91.94 ± 0.42@@89.30,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,16.15.0.dev0@@161500,15.15.0@@151500,15.15.0@@151500
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.43@@1.43,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,64.76 ± 1.10 / 69.67 ± 1.18@@64.76,85.82 ± 0.57 / 75.76 ± 0.87@@85.82,61.43 ± 1.19 / 80.23 ± 0.64@@61.43,85.61 ± 0.35 / 72.17 ± 0.63@@85.61,41.96 ± 0.11 / 43.93 ± 0.13@@41.96,93.73 ± 0.55 / 95.31 ± 0.43@@93.73,75.85 ± 1.46 / 81.68 ± 1.11@@75.85,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.43@@1.43,96.21,?,?,400000.0,✓,✗,✗,✓,69.03 ± 1.74 / 73.41 ± 1.42@@69.03,76.88 ± 1.50 / 57.79 ± 1.08@@76.88,66.75 ± 2.78 / 82.81 ± 1.44@@66.75,82.62 ± 0.70 / 60.35 ± 0.73@@82.62,42.34 ± 0.31 / 45.25 ± 0.29@@42.34,86.70 ± 1.65 / 90.08 ± 1.25@@86.70,82.53 ± 1.47 / 86.91 ± 1.10@@82.53,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.44@@1.44,?,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,68.57 ± 1.09 / 74.52 ± 0.81@@68.57,74.52 ± 1.74 / 68.37 ± 1.24@@74.52,61.04 ± 1.20 / 80.08 ± 0.60@@61.04,88.68 ± 0.64 / 77.39 ± 1.19@@88.68,42.05 ± 0.92 / 45.21 ± 0.94@@42.05,90.84 ± 0.58 / 93.20 ± 0.43@@90.84,82.75 ± 1.59 / 86.88 ± 1.22@@82.75,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.45@@1.45,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,66.98 ± 1.19 / 73.60 ± 0.85@@66.98,75.73 ± 1.46 / 70.50 ± 1.21@@75.73,58.49 ± 1.89 / 78.69 ± 1.07@@58.49,87.45 ± 0.74 / 76.69 ± 1.00@@87.45,46.05 ± 0.90 / 50.23 ± 1.04@@46.05,89.55 ± 0.65 / 92.27 ± 0.47@@89.55,69.29 ± 1.45 / 76.33 ± 1.10@@69.29,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,1.45@@1.45,0.02,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,69.30 ± 1.37 / 76.74 ± 0.98@@69.30,79.58 ± 0.96 / 71.83 ± 0.86@@79.58,67.76 ± 1.27 / 83.60 ± 0.66@@67.76,85.43 ± 0.42 / 71.20 ± 0.76@@85.43,42.10 ± 0.17 / 44.66 ± 0.22@@42.10,81.99 ± 0.74 / 86.60 ± 0.53@@81.99,73.90 ± 1.28 / 79.69 ± 1.06@@73.90,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.46@@1.46,13.86,?,?,1047576.0,✓,✗,✗,✓,71.00 ± 1.66 / 73.87 ± 1.55@@71.00,78.93 ± 1.97 / 61.05 ± 2.34@@78.93,50.14 ± 4.47 / 74.12 ± 2.36@@50.14,77.89 ± 0.72 / 49.26 ± 1.20@@77.89,43.54 ± 0.31 / 47.15 ± 0.29@@43.54,93.51 ± 1.17 / 95.12 ± 0.90@@93.51,85.48 ± 1.40 / 88.87 ± 1.11@@85.48,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.6.1.dev0@@150601
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.48@@1.48,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,68.33 ± 0.56 / 69.37 ± 1.37@@68.33,81.92 ± 1.50 / 79.48 ± 1.04@@81.92,62.56 ± 2.37 / 80.86 ± 1.46@@62.56,87.68 ± 0.86 / 76.44 ± 1.35@@87.68,42.78 ± 1.73 / 45.48 ± 2.13@@42.78,88.40 ± 1.40 / 91.46 ± 1.04@@88.40,65.25 ± 2.68 / 72.45 ± 2.35@@65.25,16.5.0.dev0@@160500,15.7.2@@150702,16.5.0.dev0@@160500,15.7.2@@150702,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.48@@1.48,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,67.10 ± 1.52 / 72.91 ± 0.91@@67.10,77.46 ± 1.84 / 74.54 ± 1.38@@77.46,51.54 ± 1.67 / 74.41 ± 1.20@@51.54,85.64 ± 1.09 / 69.08 ± 2.57@@85.64,42.27 ± 0.42 / 44.06 ± 0.53@@42.27,92.35 ± 0.44 / 94.39 ± 0.32@@92.35,90.82 ± 0.47 / 93.11 ± 0.35@@90.82,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.9.1.dev0@@150901
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.51@@1.51,25.76,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,65.74 ± 1.31 / 72.35 ± 0.96@@65.74,74.81 ± 1.03 / 68.59 ± 0.97@@74.81,53.37 ± 1.54 / 74.51 ± 1.14@@53.37,89.16 ± 0.52 / 76.94 ± 0.90@@89.16,43.18 ± 0.13 / 45.92 ± 0.19@@43.18,88.97 ± 1.07 / 91.91 ± 0.78@@88.97,84.21 ± 0.53 / 88.09 ± 0.40@@84.21,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.51@@1.51,39.74,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,69.81 ± 0.75 / 71.35 ± 0.63@@69.81,78.15 ± 0.83 / 72.51 ± 1.03@@78.15,50.95 ± 1.48 / 73.00 ± 1.08@@50.95,83.85 ± 0.52 / 66.55 ± 1.15@@83.85,42.20 ± 0.26 / 44.38 ± 0.41@@42.20,88.61 ± 0.70 / 91.64 ± 0.53@@88.61,86.69 ± 0.49 / 90.00 ± 0.37@@86.69,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.8.1.dev0@@150801
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.52@@1.52,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,60.45 ± 0.73 / 67.30 ± 0.58@@60.45,76.50 ± 2.03 / 73.78 ± 1.21@@76.50,53.89 ± 2.52 / 76.02 ± 1.58@@53.89,87.91 ± 1.29 / 75.31 ± 2.71@@87.91,42.54 ± 0.51 / 44.52 ± 0.61@@42.54,93.33 ± 0.74 / 95.14 ± 0.52@@93.33,87.28 ± 0.59 / 90.42 ± 0.45@@87.28,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.52@@1.52,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,66.82 ± 1.45 / 72.68 ± 0.97@@66.82,76.00 ± 1.91 / 73.07 ± 1.35@@76.00,50.32 ± 1.39 / 73.88 ± 0.89@@50.32,87.05 ± 1.42 / 75.19 ± 2.63@@87.05,41.51 ± 0.87 / 42.97 ± 1.02@@41.51,93.26 ± 0.51 / 95.08 ± 0.39@@93.26,86.32 ± 0.48 / 89.74 ± 0.36@@86.32,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.53@@1.53,85.87,?,?,400000.0,✓,✗,✗,✓,66.29 ± 0.75 / 71.61 ± 0.66@@66.29,71.14 ± 0.64 / 55.09 ± 0.57@@71.14,68.83 ± 1.47 / 84.36 ± 0.73@@68.83,85.51 ± 0.34 / 67.49 ± 0.50@@85.51,42.27 ± 0.09 / 44.29 ± 0.08@@42.27,83.77 ± 0.85 / 87.89 ± 0.64@@83.77,74.08 ± 0.79 / 80.47 ± 0.61@@74.08,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
