<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.41@@1.41,?,?,?,✓,✗,✗,✓,60.63 ± 2.59 / 71.46 ± 1.95@@60.63,80.47 ± 1.36 / 77.68 ± 2.65@@80.47,83.87 ± 1.72 / 80.95 ± 1.83@@83.87,69.97 ± 2.98 / 84.09 ± 1.63@@69.97,55.32 ± 2.70 / 77.02 ± 1.34@@55.32,73.09 ± 0.71 / 46.29 ± 1.50@@73.09,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.41@@1.41,?,?,400000.0,✓,✗,✗,✓,59.85 ± 1.50 / 71.34 ± 1.13@@59.85,82.75 ± 0.66 / 72.21 ± 1.29@@82.75,85.36 ± 0.82 / 77.85 ± 1.12@@85.36,63.06 ± 0.79 / 81.07 ± 0.36@@63.06,63.61 ± 1.04 / 80.49 ± 0.61@@63.61,70.66 ± 0.37 / 41.70 ± 0.62@@70.66,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.43@@1.43,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,65.23 ± 1.17 / 75.60 ± 0.88@@65.23,79.92 ± 0.74 / 75.35 ± 1.33@@79.92,80.44 ± 0.91 / 74.80 ± 1.01@@80.44,62.37 ± 2.14 / 80.59 ± 1.13@@62.37,58.58 ± 1.08 / 78.47 ± 0.66@@58.58,71.51 ± 0.40 / 45.23 ± 0.84@@71.51,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.44@@1.44,?,?,200000.0,✓,✗,✗,✓,54.87 ± 2.85 / 68.23 ± 2.20@@54.87,78.57 ± 1.93 / 74.70 ± 2.62@@78.57,77.03 ± 2.65 / 70.01 ± 2.86@@77.03,81.62 ± 1.39 / 90.79 ± 0.70@@81.62,64.83 ± 1.65 / 82.32 ± 0.82@@64.83,70.03 ± 0.55 / 44.30 ± 1.20@@70.03,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.45@@1.45,?,?,?,✓,✗,✗,✓,62.27 ± 0.94 / 72.33 ± 0.73@@62.27,76.90 ± 0.71 / 65.36 ± 1.25@@76.90,76.76 ± 1.29 / 67.56 ± 1.33@@76.76,69.60 ± 1.33 / 84.29 ± 0.70@@69.60,66.23 ± 2.22 / 82.42 ± 1.17@@66.23,66.51 ± 0.39 / 34.31 ± 0.73@@66.51,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.45@@1.45,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.88 ± 1.55 / 74.56 ± 1.57@@63.88,80.07 ± 1.14 / 72.67 ± 2.45@@80.07,78.10 ± 1.21 / 71.69 ± 3.03@@78.10,58.81 ± 1.70 / 78.45 ± 1.12@@58.81,47.36 ± 2.14 / 72.44 ± 1.49@@47.36,78.48 ± 3.03 / 55.47 ± 5.15@@78.48,16.5.0.dev0@@160500,15.7.2.dev0@@150702,15.7.2.dev0@@150702,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.7.2.dev0@@150702
<a href='https://hf.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,1.45@@1.45,355412057.0,50265.0,512.0,✓,✗,(✓),✗,54.08 ± 5.66 / 63.56 ± 7.02@@54.08,89.36 ± 0.75 / 90.07 ± 1.00@@89.36,84.56 ± 1.71 / 86.03 ± 1.72@@84.56,71.33 ± 2.40 / 84.68 ± 1.47@@71.33,54.86 ± 11.61 / 74.96 ± 8.72@@54.86,72.91 ± 1.89 / 56.73 ± 2.15@@72.91,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.45@@1.45,?,256128.0,1048576.0,✓,✗,✗,✓,64.09 ± 2.68 / 73.91 ± 2.14@@64.09,75.50 ± 2.19 / 61.99 ± 3.33@@75.50,73.02 ± 2.72 / 58.37 ± 2.79@@73.02,70.45 ± 1.83 / 84.39 ± 1.00@@70.45,60.93 ± 2.20 / 78.00 ± 1.64@@60.93,70.36 ± 0.79 / 43.69 ± 1.48@@70.36,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.45@@1.45,?,?,400000.0,✓,✗,✗,✓,57.52 ± 1.64 / 69.85 ± 1.23@@57.52,82.16 ± 0.62 / 74.84 ± 1.25@@82.16,83.77 ± 0.97 / 75.67 ± 1.20@@83.77,63.79 ± 1.19 / 81.10 ± 0.64@@63.79,63.15 ± 0.98 / 80.02 ± 0.55@@63.15,69.98 ± 0.38 / 42.13 ± 0.74@@69.98,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.49@@1.49,?,?,400000.0,✓,✗,✗,✓,56.31 ± 1.48 / 69.55 ± 1.17@@56.31,80.75 ± 0.70 / 70.78 ± 1.22@@80.75,79.46 ± 1.28 / 68.87 ± 1.27@@79.46,68.06 ± 0.94 / 83.45 ± 0.46@@68.06,62.01 ± 1.53 / 80.43 ± 0.81@@62.01,70.44 ± 0.38 / 41.32 ± 0.74@@70.44,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.49@@1.49,?,?,200000.0,✓,✗,✗,✓,57.36 ± 2.89 / 70.01 ± 2.16@@57.36,71.17 ± 2.20 / 57.87 ± 2.55@@71.17,73.62 ± 3.26 / 61.36 ± 3.36@@73.62,77.07 ± 2.41 / 88.15 ± 1.25@@77.07,67.42 ± 3.18 / 83.35 ± 1.66@@67.42,72.23 ± 0.64 / 47.03 ± 1.11@@72.23,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800
<a href='https://hf.co/NbAiLab/notram-bert-norwegian-cased-080321'>NbAiLab/notram-bert-norwegian-cased-080321</a>,🔍,1.49@@1.49,178567165.0,119547.0,512.0,✓,✗,(✓),✗,59.29 ± 1.80 / 71.45 ± 1.84@@59.29,88.45 ± 0.68 / 88.35 ± 0.52@@88.45,86.39 ± 0.85 / 87.37 ± 0.79@@86.39,70.22 ± 2.04 / 84.23 ± 1.17@@70.22,67.14 ± 2.04 / 82.49 ± 1.20@@67.14,52.77 ± 2.88 / 38.44 ± 2.61@@52.77,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.49@@1.49,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,61.40 ± 0.81 / 72.88 ± 0.70@@61.40,79.14 ± 1.44 / 63.40 ± 2.46@@79.14,78.63 ± 1.14 / 65.10 ± 3.55@@78.63,62.50 ± 1.97 / 80.93 ± 1.17@@62.50,48.10 ± 2.85 / 71.88 ± 2.56@@48.10,75.71 ± 1.07 / 49.75 ± 1.39@@75.71,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.50@@1.50,?,?,?,✓,✗,✗,✓,60.63 ± 2.09 / 72.71 ± 1.62@@60.63,82.94 ± 0.94 / 74.82 ± 2.56@@82.94,78.51 ± 1.64 / 73.26 ± 1.76@@78.51,57.76 ± 2.51 / 76.30 ± 1.55@@57.76,49.11 ± 3.15 / 71.80 ± 1.87@@49.11,74.22 ± 0.94 / 47.79 ± 1.72@@74.22,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,61.70 ± 0.93 / 73.44 ± 0.78@@61.70,79.92 ± 0.88 / 65.27 ± 1.94@@79.92,78.30 ± 1.06 / 65.46 ± 3.43@@78.30,63.82 ± 1.48 / 81.65 ± 0.68@@63.82,50.41 ± 1.60 / 74.77 ± 0.98@@50.41,74.61 ± 1.32 / 47.98 ± 1.79@@74.61,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.53@@1.53,?,?,400000.0,✓,✗,✗,✓,57.64 ± 3.63 / 70.18 ± 2.58@@57.64,74.81 ± 1.61 / 62.37 ± 2.73@@74.81,75.08 ± 2.71 / 58.20 ± 2.97@@75.08,71.37 ± 3.40 / 85.65 ± 1.70@@71.37,58.24 ± 2.75 / 79.04 ± 1.37@@58.24,70.73 ± 1.01 / 39.47 ± 1.61@@70.73,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.54@@1.54,?,256128.0,1048576.0,✓,✗,✗,✓,54.43 ± 2.92 / 67.36 ± 2.22@@54.43,69.33 ± 2.13 / 55.70 ± 2.57@@69.33,71.79 ± 2.84 / 56.62 ± 2.50@@71.79,79.04 ± 2.00 / 89.46 ± 1.02@@79.04,65.85 ± 2.65 / 82.70 ± 1.38@@65.85,72.67 ± 0.67 / 43.67 ± 1.26@@72.67,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.54@@1.54,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,59.63 ± 1.07 / 72.47 ± 0.82@@59.63,73.67 ± 1.12 / 47.11 ± 2.73@@73.67,73.60 ± 1.05 / 49.79 ± 2.69@@73.60,68.96 ± 1.48 / 84.35 ± 0.81@@68.96,58.63 ± 2.01 / 78.89 ± 1.19@@58.63,71.31 ± 1.86 / 43.91 ± 2.61@@71.31,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.55@@1.55,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,64.97 ± 0.95 / 76.70 ± 0.51@@64.97,70.30 ± 1.73 / 60.24 ± 2.64@@70.30,69.83 ± 1.85 / 60.63 ± 2.06@@69.83,69.26 ± 1.34 / 84.47 ± 0.81@@69.26,58.07 ± 1.84 / 78.95 ± 0.95@@58.07,67.79 ± 0.89 / 37.28 ± 1.31@@67.79,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.55@@1.55,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,57.76 ± 2.49 / 70.13 ± 2.35@@57.76,70.45 ± 1.97 / 62.30 ± 3.29@@70.45,68.25 ± 2.09 / 61.63 ± 2.48@@68.25,64.74 ± 1.80 / 82.18 ± 0.92@@64.74,58.11 ± 1.73 / 78.62 ± 1.06@@58.11,76.93 ± 3.33 / 52.07 ± 5.54@@76.93,16.5.0.dev0@@160500,15.6.1@@150601,15.6.1@@150601,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.6.1@@150601
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.56@@1.56,24011361280.0,131072.0,?,✓,✗,(✓),✓,61.44 ± 1.60 / 73.80 ± 1.40@@61.44,76.70 ± 1.31 / 61.15 ± 2.52@@76.70,75.13 ± 2.05 / 62.82 ± 2.14@@75.13,60.10 ± 1.45 / 79.81 ± 0.70@@60.10,46.19 ± 2.12 / 71.92 ± 1.64@@46.19,76.10 ± 3.67 / 49.75 ± 5.44@@76.10,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.56@@1.56,?,100256.0,272000.0,✓,✗,✗,✓,56.62 ± 3.15 / 68.97 ± 2.30@@56.62,74.80 ± 2.09 / 57.68 ± 2.55@@74.80,70.76 ± 3.06 / 51.32 ± 2.89@@70.76,78.42 ± 3.04 / 89.00 ± 1.56@@78.42,57.70 ± 3.05 / 78.77 ± 1.52@@57.70,69.14 ± 0.81 / 40.01 ± 1.42@@69.14,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,1.57@@1.57,?,100256.0,272000.0,✓,✗,✗,✓,60.08 ± 2.37 / 70.70 ± 1.79@@60.08,68.65 ± 2.68 / 52.64 ± 2.88@@68.65,69.92 ± 3.30 / 53.68 ± 3.36@@69.92,72.25 ± 2.82 / 85.09 ± 1.53@@72.25,59.92 ± 3.43 / 78.32 ± 1.89@@59.92,70.54 ± 0.52 / 42.93 ± 1.41@@70.54,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.57@@1.57,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.46 ± 1.06 / 73.55 ± 0.82@@60.46,75.23 ± 0.91 / 64.25 ± 2.27@@75.23,74.79 ± 1.86 / 64.38 ± 2.50@@74.79,58.64 ± 1.53 / 78.65 ± 0.91@@58.64,46.07 ± 1.75 / 71.64 ± 1.58@@46.07,77.06 ± 3.14 / 50.58 ± 4.79@@77.06,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.58@@1.58,24011361280.0,131072.0,?,✓,✗,(✓),✓,59.59 ± 1.37 / 71.31 ± 1.43@@59.59,78.03 ± 1.09 / 72.48 ± 1.85@@78.03,74.76 ± 2.39 / 69.65 ± 2.44@@74.76,60.43 ± 1.28 / 79.99 ± 0.68@@60.43,45.53 ± 2.72 / 71.48 ± 2.06@@45.53,76.20 ± 3.43 / 50.33 ± 5.52@@76.20,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.58@@1.58,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,59.07 ± 1.11 / 71.96 ± 0.84@@59.07,80.98 ± 1.17 / 64.19 ± 2.03@@80.98,79.17 ± 1.02 / 64.66 ± 3.75@@79.17,58.19 ± 1.42 / 78.84 ± 0.76@@58.19,43.16 ± 1.94 / 70.85 ± 1.20@@43.16,74.95 ± 1.68 / 47.77 ± 2.48@@74.95,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4</a>,🔍,1.59@@1.59,278295700.0,250002.0,514.0,✓,✗,(✓),✗,54.80 ± 2.16 / 67.12 ± 2.94@@54.80,90.36 ± 0.82 / 90.37 ± 0.63@@90.36,86.79 ± 1.32 / 87.87 ± 1.15@@86.79,68.34 ± 2.95 / 82.37 ± 2.05@@68.34,60.50 ± 4.73 / 78.17 ± 3.53@@60.50,51.04 ± 2.66 / 37.71 ± 2.33@@51.04,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
