<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.31@@1.31,24011361280.0,131072.0,?,✓,✗,(✓),✓,79.45 ± 0.78 / 79.97 ± 0.74@@79.45,72.06 ± 2.19 / 59.31 ± 4.33@@72.06,63.94 ± 1.10 / 81.86 ± 0.55@@63.94,80.08 ± 1.43 / 62.49 ± 1.71@@80.08,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.32@@1.32,?,256128.0,1048576.0,✓,✗,✗,✓,78.07 ± 2.95 / 76.18 ± 2.81@@78.07,75.43 ± 2.43 / 49.05 ± 1.40@@75.43,73.05 ± 1.86 / 86.21 ± 0.97@@73.05,67.32 ± 1.46 / 38.27 ± 1.72@@67.32,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.32@@1.32,?,?,400000.0,✓,✗,✗,✓,74.84 ± 1.72 / 71.99 ± 1.47@@74.84,81.61 ± 0.93 / 66.63 ± 0.94@@81.61,67.25 ± 1.40 / 82.96 ± 0.73@@67.25,70.93 ± 0.48 / 51.00 ± 0.68@@70.93,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.33@@1.33,?,100256.0,272000.0,✓,✗,✗,✓,73.55 ± 3.36 / 67.29 ± 2.88@@73.55,80.47 ± 2.18 / 60.36 ± 1.30@@80.47,71.05 ± 2.95 / 84.42 ± 1.73@@71.05,71.17 ± 1.09 / 49.38 ± 1.66@@71.17,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.35@@1.35,?,256128.0,1048576.0,✓,✗,✗,✓,71.76 ± 3.24 / 64.87 ± 2.52@@71.76,76.30 ± 1.93 / 58.31 ± 2.12@@76.30,75.22 ± 2.91 / 87.37 ± 1.46@@75.22,70.70 ± 0.73 / 50.19 ± 0.99@@70.70,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.36@@1.36,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,78.88 ± 0.94 / 77.93 ± 0.69@@78.88,71.29 ± 1.89 / 51.06 ± 3.91@@71.29,67.10 ± 1.08 / 83.26 ± 0.65@@67.10,76.25 ± 0.75 / 56.55 ± 1.06@@76.25,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.36@@1.36,24011361280.0,131072.0,?,✓,✗,(✓),✓,78.83 ± 0.73 / 78.10 ± 0.79@@78.83,69.99 ± 2.62 / 50.72 ± 3.92@@69.99,61.33 ± 1.78 / 80.33 ± 1.15@@61.33,81.73 ± 1.32 / 65.43 ± 1.64@@81.73,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.36@@1.36,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,80.37 ± 0.72 / 79.68 ± 1.26@@80.37,72.37 ± 2.06 / 60.91 ± 3.84@@72.37,57.54 ± 2.62 / 76.86 ± 2.11@@57.54,80.94 ± 1.85 / 65.15 ± 2.24@@80.94,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.37@@1.37,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,80.97 ± 0.74 / 80.05 ± 0.89@@80.97,65.36 ± 2.92 / 51.45 ± 4.74@@65.36,63.69 ± 2.72 / 80.71 ± 1.73@@63.69,81.32 ± 1.42 / 65.09 ± 1.87@@81.32,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.38@@1.38,?,256128.0,1048576.0,✓,✗,✗,✓,76.72 ± 1.64 / 73.20 ± 1.58@@76.72,71.40 ± 1.50 / 44.82 ± 0.86@@71.40,74.34 ± 1.34 / 86.56 ± 0.69@@74.34,68.99 ± 0.50 / 38.56 ± 1.05@@68.99,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.40@@1.40,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,78.80 ± 0.94 / 78.77 ± 0.86@@78.80,73.57 ± 1.64 / 60.19 ± 3.92@@73.57,56.46 ± 1.09 / 77.42 ± 0.82@@56.46,79.75 ± 1.42 / 63.32 ± 2.03@@79.75,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.41@@1.41,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,79.74 ± 0.59 / 78.24 ± 0.77@@79.74,71.92 ± 1.71 / 48.52 ± 4.09@@71.92,60.18 ± 1.40 / 79.36 ± 0.87@@60.18,78.32 ± 0.69 / 61.32 ± 1.19@@78.32,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.41@@1.41,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,80.44 ± 0.77 / 80.14 ± 0.71@@80.44,64.26 ± 2.46 / 40.87 ± 3.55@@64.26,69.81 ± 1.05 / 84.79 ± 0.52@@69.81,75.27 ± 0.81 / 55.48 ± 1.07@@75.27,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.41@@1.41,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,79.82 ± 2.49 / 79.53 ± 1.91@@79.82,67.89 ± 3.33 / 55.31 ± 3.53@@67.89,62.56 ± 2.94 / 79.64 ± 1.95@@62.56,78.39 ± 1.10 / 62.21 ± 1.01@@78.39,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.41@@1.41,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,78.73 ± 0.63 / 79.45 ± 0.64@@78.73,68.56 ± 2.06 / 52.07 ± 3.48@@68.56,59.91 ± 1.41 / 79.58 ± 0.59@@59.91,82.40 ± 1.26 / 66.64 ± 1.67@@82.40,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.42@@1.42,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,79.18 ± 0.92 / 78.27 ± 0.75@@79.18,71.95 ± 1.52 / 52.21 ± 3.34@@71.95,62.93 ± 1.30 / 80.13 ± 1.15@@62.93,75.08 ± 0.72 / 54.52 ± 0.98@@75.08,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,16.3.0.dev0@@160300
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.42@@1.42,?,?,131072.0,✓,✗,✗,✓,78.60 ± 1.43 / 75.74 ± 1.43@@78.60,75.73 ± 1.25 / 64.21 ± 0.83@@75.73,59.56 ± 1.52 / 79.14 ± 0.78@@59.56,72.62 ± 0.38 / 52.48 ± 0.68@@72.62,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.44@@1.44,?,?,?,✓,✗,✗,✓,72.83 ± 2.83 / 70.46 ± 2.71@@72.83,78.37 ± 2.03 / 70.23 ± 1.67@@78.37,57.68 ± 2.93 / 76.25 ± 1.96@@57.68,76.41 ± 0.98 / 56.91 ± 1.80@@76.41,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.44@@1.44,?,256128.0,1048576.0,✓,✗,✗,✓,75.02 ± 3.04 / 71.48 ± 2.60@@75.02,71.56 ± 2.14 / 48.90 ± 1.50@@71.56,71.37 ± 2.88 / 85.58 ± 1.47@@71.37,68.25 ± 1.19 / 39.23 ± 1.64@@68.25,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.46@@1.46,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,78.73 ± 0.99 / 78.65 ± 0.97@@78.73,62.38 ± 2.44 / 52.25 ± 2.81@@62.38,67.64 ± 1.18 / 83.75 ± 0.62@@67.64,77.61 ± 0.72 / 59.31 ± 1.26@@77.61,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.46@@1.46,?,256128.0,1048576.0,✓,✗,✗,✓,77.91 ± 2.86 / 75.82 ± 2.75@@77.91,70.90 ± 1.91 / 50.77 ± 1.31@@70.90,67.26 ± 2.90 / 82.53 ± 1.53@@67.26,67.32 ± 1.46 / 38.27 ± 1.72@@67.32,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.46@@1.46,?,256128.0,1048576.0,✓,✗,✗,✓,76.58 ± 2.88 / 71.36 ± 2.93@@76.58,65.52 ± 2.39 / 46.30 ± 1.74@@65.52,68.60 ± 3.33 / 84.24 ± 1.69@@68.60,70.84 ± 0.78 / 46.83 ± 1.27@@70.84,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.47@@1.47,?,100256.0,272000.0,✓,✗,✗,✓,75.61 ± 3.45 / 70.21 ± 3.06@@75.61,71.52 ± 1.88 / 48.73 ± 1.35@@71.52,64.09 ± 2.86 / 80.78 ± 1.58@@64.09,71.48 ± 0.84 / 51.36 ± 1.23@@71.48,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.49@@1.49,?,?,1047576.0,✓,✗,✗,✓,76.94 ± 3.01 / 75.09 ± 2.85@@76.94,65.07 ± 2.05 / 36.41 ± 1.37@@65.07,66.06 ± 2.18 / 80.99 ± 1.23@@66.06,70.49 ± 1.01 / 46.71 ± 1.84@@70.49,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.50@@1.50,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,77.25 ± 1.13 / 76.75 ± 1.36@@77.25,66.43 ± 1.58 / 60.09 ± 2.24@@66.43,57.11 ± 1.53 / 77.09 ± 0.84@@57.11,79.48 ± 1.31 / 64.73 ± 1.71@@79.48,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.52@@1.52,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,78.91 ± 0.73 / 79.44 ± 0.66@@78.91,58.24 ± 2.09 / 44.51 ± 3.06@@58.24,64.24 ± 1.73 / 81.51 ± 1.03@@64.24,79.66 ± 0.79 / 63.69 ± 0.96@@79.66,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.4.0.dev0@@160400
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.52@@1.52,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,74.70 ± 1.28 / 73.21 ± 1.55@@74.70,77.92 ± 1.33 / 72.14 ± 1.12@@77.92,53.00 ± 1.90 / 75.38 ± 1.05@@53.00,68.49 ± 0.47 / 46.40 ± 0.69@@68.49,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.53@@1.53,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,81.27 ± 0.51 / 80.62 ± 0.78@@81.27,60.25 ± 1.52 / 44.95 ± 4.08@@60.25,60.23 ± 3.31 / 78.93 ± 2.28@@60.23,77.22 ± 2.28 / 62.48 ± 3.09@@77.22,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,1.55@@1.55,108641793536.0,200000.0,?,✓,✗,(✓),✓,80.00 ± 0.88 / 79.58 ± 0.73@@80.00,58.74 ± 2.58 / 48.72 ± 3.30@@58.74,62.52 ± 1.15 / 81.09 ± 0.60@@62.52,74.47 ± 0.99 / 51.63 ± 1.71@@74.47,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.55@@1.55,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,79.38 ± 0.87 / 78.27 ± 1.03@@79.38,61.45 ± 2.76 / 43.05 ± 2.57@@61.45,59.51 ± 1.68 / 79.43 ± 0.92@@59.51,74.43 ± 0.85 / 52.88 ± 1.20@@74.43,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.55@@1.55,?,100256.0,272000.0,✓,✗,✗,✓,73.91 ± 3.29 / 69.20 ± 2.62@@73.91,75.02 ± 2.24 / 66.57 ± 1.67@@75.02,54.79 ± 3.33 / 74.87 ± 2.23@@54.79,69.82 ± 1.08 / 47.73 ± 1.48@@69.82,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.56@@1.56,?,?,1047576.0,✓,✗,✗,✓,75.92 ± 2.75 / 73.56 ± 2.78@@75.92,59.61 ± 1.76 / 35.32 ± 1.11@@59.61,64.94 ± 3.14 / 81.57 ± 1.84@@64.94,76.16 ± 0.86 / 54.56 ± 0.92@@76.16,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.3.0.dev0@@160300
<a href='https://hf.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,1.57@@1.57,355412057.0,50265.0,512.0,✓,✗,(✓),✗,74.91 ± 1.26 / 68.67 ± 2.70@@74.91,79.96 ± 1.79 / 77.23 ± 1.76@@79.96,74.89 ± 1.49 / 87.18 ± 0.75@@74.89,40.67 ± 0.84 / 33.82 ± 1.01@@40.67,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.58@@1.58,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,78.76 ± 0.48 / 77.19 ± 0.59@@78.76,64.90 ± 2.05 / 48.41 ± 3.17@@64.90,53.07 ± 1.80 / 74.92 ± 1.34@@53.07,76.59 ± 0.68 / 58.88 ± 0.77@@76.59,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.58@@1.58,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,77.34 ± 1.75 / 77.08 ± 1.46@@77.34,59.21 ± 1.45 / 47.21 ± 2.61@@59.21,56.57 ± 2.46 / 77.41 ± 1.66@@56.57,80.50 ± 0.90 / 65.15 ± 1.32@@80.50,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.58@@1.58,?,256128.0,1048576.0,✓,✗,✗,✓,75.05 ± 2.90 / 67.27 ± 1.95@@75.05,69.41 ± 2.57 / 35.32 ± 1.46@@69.41,54.88 ± 1.49 / 75.33 ± 0.86@@54.88,73.97 ± 0.82 / 52.86 ± 1.31@@73.97,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.59@@1.59,?,?,400000.0,✓,✗,✗,✓,75.88 ± 1.64 / 71.76 ± 1.65@@75.88,64.75 ± 1.12 / 47.89 ± 0.96@@64.75,65.40 ± 1.29 / 82.46 ± 0.68@@65.40,67.17 ± 0.54 / 43.28 ± 0.69@@67.17,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.60@@1.60,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,76.26 ± 0.86 / 71.33 ± 1.04@@76.26,71.21 ± 1.43 / 56.89 ± 1.84@@71.21,52.42 ± 0.88 / 74.30 ± 0.52@@52.42,70.42 ± 0.78 / 51.25 ± 0.85@@70.42,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,400000.0,✓,✗,✗,✓,76.14 ± 1.52 / 69.25 ± 1.34@@76.14,63.25 ± 1.23 / 45.88 ± 1.17@@63.25,62.73 ± 0.77 / 81.00 ± 0.44@@62.73,67.54 ± 0.70 / 42.94 ± 0.62@@67.54,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
