<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,
model,generative_type,rank,danish,dutch,english,faroese,german,icelandic,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,2.91@@2.91,2.66@@2.66,2.54@@2.54,2.33@@2.33,3.86@@3.86,2.74@@2.74,3.81@@3.81,2.85@@2.85,2.50@@2.50,13015866880.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,2.94@@2.94,2.71@@2.71,2.74@@2.74,2.33@@2.33,3.57@@3.57,2.83@@2.83,3.67@@3.67,3.01@@3.01,2.65@@2.65,33715603456.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.94@@2.94,2.81@@2.81,2.61@@2.61,2.18@@2.18,3.73@@3.73,2.69@@2.69,3.72@@3.72,3.02@@3.02,2.77@@2.77,1543714304.0,151936.0,32768.0,✓,✗
<a href='https://hf.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4</a>,🧠,2.95@@2.95,2.77@@2.77,2.65@@2.65,2.00@@2.00,3.91@@3.91,2.59@@2.59,3.92@@3.92,3.10@@3.10,2.65@@2.65,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,2.96@@2.96,2.68@@2.68,2.67@@2.67,2.23@@2.23,3.78@@3.78,2.74@@2.74,3.76@@3.76,3.11@@3.11,2.72@@2.72,7241732096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,2.97@@2.97,2.74@@2.74,2.79@@2.79,2.80@@2.80,3.42@@3.42,2.90@@2.90,3.42@@3.42,2.95@@2.95,2.76@@2.76,7799574528.0,100096.0,4096.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,2.98@@2.98,2.89@@2.89,2.75@@2.75,2.49@@2.49,3.49@@3.49,2.83@@2.83,3.56@@3.56,3.10@@3.10,2.78@@2.78,20066993152.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,2.99@@2.99,2.87@@2.87,2.56@@2.56,2.53@@2.53,3.92@@3.92,2.67@@2.67,3.74@@3.74,3.00@@3.00,2.65@@2.65,14167290880.0,152064.0,32768.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.99@@2.99,2.84@@2.84,2.68@@2.68,2.32@@2.32,3.81@@3.81,2.62@@2.62,3.72@@3.72,3.12@@3.12,2.81@@2.81,3075098624.0,128256.0,65536.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,2.99@@2.99,2.77@@2.77,2.66@@2.66,2.35@@2.35,3.77@@3.77,2.80@@2.80,3.70@@3.70,3.06@@3.06,2.77@@2.77,7241732096.0,32000.0,32768.0,✗,✗
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,3.00@@3.00,2.91@@2.91,2.90@@2.90,2.02@@2.02,3.65@@3.65,2.84@@2.84,3.82@@3.82,3.10@@3.10,2.76@@2.76,7298617344.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.00@@3.00,2.73@@2.73,2.68@@2.68,2.43@@2.43,3.84@@3.84,2.69@@2.69,3.69@@3.69,3.18@@3.18,2.75@@2.75,7241732096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,3.01@@3.01,2.59@@2.59,3.04@@3.04,2.70@@2.70,3.47@@3.47,3.10@@3.10,3.34@@3.34,3.14@@3.14,2.70@@2.70,33119034368.0,131072.0,4096.0,✓,✗
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,3.01@@3.01,2.97@@2.97,2.46@@2.46,2.19@@2.19,4.02@@4.02,2.63@@2.63,4.10@@4.10,3.05@@3.05,2.67@@2.67,11102822400.0,65024.0,8192.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.03@@3.03,2.92@@2.92,2.79@@2.79,2.06@@2.06,3.98@@3.98,2.49@@2.49,3.92@@3.92,3.21@@3.21,2.86@@2.86,2569272320.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k</a>,🧠,3.04@@3.04,2.90@@2.90,2.76@@2.76,2.52@@2.52,3.55@@3.55,2.84@@2.84,3.82@@3.82,3.11@@3.11,2.81@@2.81,8054910976.0,49152.0,4096.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,3.05@@3.05,2.75@@2.75,2.65@@2.65,2.19@@2.19,4.00@@4.00,2.74@@2.74,3.95@@3.95,3.25@@3.25,2.90@@2.90,14770033664.0,152064.0,131072.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k</a>,📝,3.06@@3.06,2.89@@2.89,2.79@@2.79,2.43@@2.43,3.70@@3.70,2.91@@2.91,3.85@@3.85,3.11@@3.11,2.79@@2.79,8054910976.0,49152.0,4096.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.08@@3.08,2.67@@2.67,2.70@@2.70,2.66@@2.66,4.02@@4.02,2.89@@2.89,3.95@@3.95,2.92@@2.92,2.82@@2.82,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,3.10@@3.10,2.91@@2.91,2.89@@2.89,2.94@@2.94,3.62@@3.62,3.02@@3.02,3.36@@3.36,3.17@@3.17,2.87@@2.87,7799574528.0,100096.0,4096.0,✓,✗
<a href='https://hf.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct</a>,📝,3.11@@3.11,3.03@@3.03,2.95@@2.95,2.66@@2.66,3.67@@3.67,3.01@@3.01,3.50@@3.50,3.18@@3.18,2.88@@2.88,7771262976.0,96640.0,8192.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,3.16@@3.16,2.90@@2.90,2.90@@2.90,2.46@@2.46,4.04@@4.04,2.92@@2.92,4.01@@4.01,3.22@@3.22,2.82@@2.82,13015866880.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,3.19@@3.19,3.09@@3.09,2.98@@2.98,2.68@@2.68,3.70@@3.70,3.11@@3.11,3.78@@3.78,3.22@@3.22,2.92@@2.92,20066993152.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,3.19@@3.19,2.95@@2.95,2.90@@2.90,2.41@@2.41,4.23@@4.23,2.97@@2.97,4.02@@4.02,3.25@@3.25,2.79@@2.79,6738417664.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.19@@3.19,3.06@@3.06,2.92@@2.92,2.69@@2.69,4.06@@4.06,2.84@@2.84,3.72@@3.72,3.27@@3.27,3.01@@3.01,7241748480.0,32002.0,4096.0,✗,✗
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,3.21@@3.21,3.07@@3.07,2.94@@2.94,2.62@@2.62,3.99@@3.99,2.92@@2.92,3.88@@3.88,3.35@@3.35,2.94@@2.94,7615616512.0,152064.0,4096.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct</a>,📝,3.22@@3.22,3.03@@3.03,2.77@@2.77,2.49@@2.49,4.12@@4.12,2.92@@2.92,4.01@@4.01,3.37@@3.37,3.01@@3.01,3374295552.0,49155.0,4096.0,✓,✗
<a href='https://hf.co/google/gemma-2-2b'>google/gemma-2-2b</a>,🧠,3.25@@3.25,3.02@@3.02,2.96@@2.96,2.74@@2.74,4.04@@4.04,3.08@@3.08,4.00@@4.00,3.28@@3.28,2.85@@2.85,2614341888.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,3.28@@3.28,3.18@@3.18,3.30@@3.30,3.18@@3.18,3.43@@3.43,3.30@@3.30,3.65@@3.65,2.93@@2.93,3.26@@3.26,10292777472.0,151552.0,65536.0,✓,✗
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,3.29@@3.29,3.17@@3.17,3.11@@3.11,2.43@@2.43,3.86@@3.86,3.14@@3.14,4.07@@4.07,3.41@@3.41,3.16@@3.16,7002656768.0,64256.0,16384.0,✓,✗
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,3.31@@3.31,3.00@@3.00,2.95@@2.95,3.06@@3.06,3.95@@3.95,3.22@@3.22,3.89@@3.89,3.39@@3.39,3.00@@3.00,7452725248.0,250680.0,4096.0,✗,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,3.33@@3.33,3.12@@3.12,3.05@@3.05,2.39@@2.39,4.24@@4.24,3.13@@3.13,4.17@@4.17,3.41@@3.41,3.12@@3.12,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.36@@3.36,3.01@@3.01,3.05@@3.05,2.87@@2.87,4.21@@4.21,3.25@@3.25,4.09@@4.09,3.31@@3.31,3.05@@3.05,999885952.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.37@@3.37,3.16@@3.16,3.16@@3.16,2.72@@2.72,4.24@@4.24,3.24@@3.24,3.96@@3.96,3.47@@3.47,3.01@@3.01,1235814400.0,128256.0,131073.0,✓,✗
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,3.38@@3.38,3.00@@3.00,3.35@@3.35,3.06@@3.06,3.87@@3.87,3.52@@3.52,3.67@@3.67,3.52@@3.52,3.05@@3.05,14030361600.0,131072.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,3.42@@3.42,3.25@@3.25,3.15@@3.15,2.60@@2.60,4.41@@4.41,3.23@@3.23,4.20@@4.20,3.40@@3.40,3.13@@3.13,751632384.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,3.42@@3.42,3.09@@3.09,3.02@@3.02,3.15@@3.15,4.05@@4.05,3.44@@3.44,3.96@@3.96,3.39@@3.39,3.26@@3.26,7452725248.0,250680.0,4096.0,✓,✗
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b</a>,📝,3.42@@3.42,3.13@@3.13,3.19@@3.19,2.89@@2.89,4.25@@4.25,3.36@@3.36,4.14@@4.14,3.35@@3.35,3.07@@3.07,1000000000.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.42@@3.42,3.34@@3.34,3.20@@3.20,2.73@@2.73,4.14@@4.14,3.25@@3.25,4.11@@4.11,3.42@@3.42,3.15@@3.15,2424375168.0,99000.0,28723.0,✗,✗
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,3.44@@3.44,3.40@@3.40,2.93@@2.93,2.72@@2.72,4.28@@4.28,3.27@@3.27,4.25@@4.25,3.48@@3.48,3.20@@3.20,3374286336.0,49152.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.46@@3.46,3.36@@3.36,3.20@@3.20,2.84@@2.84,4.46@@4.46,3.21@@3.21,4.02@@4.02,3.49@@3.49,3.10@@3.10,751632384.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,3.47@@3.47,3.40@@3.40,3.10@@3.10,2.82@@2.82,4.30@@4.30,3.27@@3.27,4.33@@4.33,3.46@@3.46,3.13@@3.13,7615616512.0,152064.0,131072.0,✓,✗
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,3.50@@3.50,3.30@@3.30,3.34@@3.34,2.68@@2.68,4.18@@4.18,3.42@@3.42,4.15@@4.15,3.65@@3.65,3.30@@3.30,7002656768.0,64256.0,16384.0,✓,✗
<a href='https://hf.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base</a>,📝,3.52@@3.52,3.66@@3.66,3.32@@3.32,3.11@@3.11,3.93@@3.93,3.55@@3.55,3.78@@3.78,3.53@@3.53,3.27@@3.27,7771263040.0,96640.0,8192.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,3.52@@3.52,3.22@@3.22,3.32@@3.32,3.06@@3.06,4.31@@4.31,3.37@@3.37,4.16@@4.16,3.51@@3.51,3.17@@3.17,2253490176.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,3.53@@3.53,3.42@@3.42,3.22@@3.22,2.66@@2.66,4.41@@4.41,3.50@@3.50,4.06@@4.06,3.64@@3.64,3.33@@3.33,1711376384.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,3.54@@3.54,3.17@@3.17,3.40@@3.40,3.10@@3.10,4.13@@4.13,3.76@@3.76,4.09@@4.09,3.60@@3.60,3.07@@3.07,14659507200.0,100352.0,32768.0,✓,✗
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.55@@3.55,3.36@@3.36,3.36@@3.36,2.84@@2.84,4.42@@4.42,3.48@@3.48,4.34@@4.34,3.57@@3.57,3.06@@3.06,2023868416.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,3.58@@3.58,3.56@@3.56,3.41@@3.41,2.91@@2.91,4.19@@4.19,3.52@@3.52,4.01@@4.01,3.62@@3.62,3.40@@3.40,8537680896.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.59@@3.59,3.54@@3.54,3.36@@3.36,2.65@@2.65,4.45@@4.45,3.08@@3.08,4.26@@4.26,3.86@@3.86,3.50@@3.50,1170340608.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,3.60@@3.60,3.30@@3.30,3.50@@3.50,3.29@@3.29,4.33@@4.33,3.44@@3.44,4.24@@4.24,3.57@@3.57,3.13@@3.13,1656850432.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,3.60@@3.60,3.52@@3.52,3.30@@3.30,2.82@@2.82,4.43@@4.43,3.60@@3.60,4.17@@4.17,3.78@@3.78,3.17@@3.17,1711376384.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.61@@3.61,3.46@@3.46,3.50@@3.50,3.33@@3.33,3.98@@3.98,3.53@@3.53,4.14@@4.14,3.71@@3.71,3.25@@3.25,999885952.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,3.62@@3.62,3.34@@3.34,3.30@@3.30,3.25@@3.25,4.55@@4.55,3.54@@3.54,4.19@@4.19,3.61@@3.61,3.15@@3.15,?,128000.0,4096.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.63@@3.63,3.35@@3.35,3.45@@3.45,3.19@@3.19,4.50@@4.50,3.47@@3.47,4.14@@4.14,3.70@@3.70,3.26@@3.26,1235814400.0,128256.0,131073.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,3.64@@3.64,3.15@@3.15,3.35@@3.35,3.12@@3.12,4.28@@4.28,3.78@@3.78,3.97@@3.97,3.83@@3.83,3.67@@3.67,3482503680.0,49152.0,2048.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,3.65@@3.65,3.45@@3.45,3.43@@3.43,2.86@@2.86,4.67@@4.67,3.46@@3.46,4.21@@4.21,3.76@@3.76,3.34@@3.34,1334628352.0,49155.0,4096.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.69@@3.69,3.63@@3.63,3.55@@3.55,2.75@@2.75,4.46@@4.46,3.34@@3.34,4.30@@4.30,3.85@@3.85,3.64@@3.64,742489344.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,3.71@@3.71,3.60@@3.60,3.37@@3.37,3.01@@3.01,4.62@@4.62,3.46@@3.46,4.52@@4.52,3.68@@3.68,3.44@@3.44,3836021760.0,200064.0,131072.0,✓,✗
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,3.76@@3.76,3.70@@3.70,3.75@@3.75,3.82@@3.82,3.95@@3.95,3.49@@3.49,4.33@@4.33,3.46@@3.46,3.59@@3.59,68977172480.0,32032.0,8192.0,✗,✗
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,3.78@@3.78,3.52@@3.52,3.79@@3.79,3.47@@3.47,4.44@@4.44,3.57@@3.57,4.35@@4.35,3.71@@3.71,3.42@@3.42,2061162016.0,128000.0,?,✓,✗
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.81@@3.81,3.54@@3.54,3.42@@3.42,3.31@@3.31,4.67@@4.67,3.75@@3.75,4.35@@4.35,3.88@@3.88,3.58@@3.58,2611528704.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,3.81@@3.81,3.74@@3.74,3.88@@3.88,3.21@@3.21,4.37@@4.37,3.79@@3.79,4.16@@4.16,3.76@@3.76,3.55@@3.55,7241732096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,3.82@@3.82,3.61@@3.61,3.57@@3.57,3.15@@3.15,4.78@@4.78,3.70@@3.70,4.32@@4.32,3.90@@3.90,3.50@@3.50,1384956928.0,49152.0,4096.0,✓,✗
<a href='https://hf.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct</a>,📝,3.85@@3.85,3.77@@3.77,3.63@@3.63,3.58@@3.58,4.42@@4.42,3.90@@3.90,4.00@@4.00,3.93@@3.93,3.60@@3.60,1905650880.0,96640.0,4096.0,✗,✗
<a href='https://hf.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k</a>,📝,3.85@@3.85,3.38@@3.38,3.54@@3.54,3.08@@3.08,4.73@@4.73,3.94@@3.94,4.27@@4.27,3.90@@3.90,3.94@@3.94,3482503680.0,49152.0,2048.0,✓,✗
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.85@@3.85,3.49@@3.49,3.55@@3.55,3.53@@3.53,4.51@@4.51,3.84@@3.84,4.16@@4.16,3.91@@3.91,3.84@@3.84,1195468800.0,65536.0,2048.0,✓,✗
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.88@@3.88,3.69@@3.69,3.55@@3.55,3.68@@3.68,4.60@@4.60,3.90@@3.90,4.19@@4.19,3.86@@3.86,3.55@@3.55,3211926528.0,65536.0,4096.0,✓,✗
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,3.88@@3.88,3.84@@3.84,3.67@@3.67,3.01@@3.01,4.51@@4.51,3.68@@3.68,4.82@@4.82,3.82@@3.82,3.66@@3.66,1791080448.0,120818.0,262144.0,✓,✗
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.89@@3.89,3.60@@3.60,3.70@@3.70,3.62@@3.62,4.64@@4.64,3.79@@3.79,4.29@@4.29,3.84@@3.84,3.62@@3.62,2611528704.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,3.94@@3.94,3.83@@3.83,3.85@@3.85,3.21@@3.21,4.74@@4.74,3.85@@3.85,4.35@@4.35,4.02@@4.02,3.66@@3.66,619570176.0,151936.0,32768.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.94@@3.94,3.95@@3.95,3.85@@3.85,3.08@@3.08,4.69@@4.69,3.55@@3.55,4.36@@4.36,4.05@@4.05,4.01@@4.01,354483968.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.98@@3.98,3.57@@3.57,4.28@@4.28,3.54@@3.54,4.49@@4.49,4.51@@4.51,4.10@@4.10,3.71@@3.71,3.66@@3.66,470607872.0,64000.0,2048.0,✓,✗
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,3.99@@3.99,3.77@@3.77,3.74@@3.74,3.16@@3.16,4.62@@4.62,3.91@@3.91,4.27@@4.27,4.76@@4.76,3.68@@3.68,619570176.0,151936.0,32768.0,✗,✗
<a href='https://hf.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano</a>,🧠,4.02@@4.02,3.55@@3.55,3.69@@3.69,3.73@@3.73,4.69@@4.69,4.09@@4.09,4.24@@4.24,4.03@@4.03,4.13@@4.13,1195468800.0,65536.0,2048.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.05@@4.05,3.94@@3.94,3.91@@3.91,3.39@@3.39,4.65@@4.65,3.97@@3.97,4.35@@4.35,4.18@@4.18,4.03@@4.03,361821120.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,4.08@@4.08,4.10@@4.10,3.79@@3.79,3.26@@3.26,4.83@@4.83,3.85@@3.85,4.73@@4.73,4.18@@4.18,3.91@@3.91,1777088000.0,151936.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.09@@4.09,3.84@@3.84,3.95@@3.95,3.80@@3.80,4.85@@4.85,4.06@@4.06,4.28@@4.28,4.04@@4.04,3.90@@3.90,268098176.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,4.11@@4.11,4.20@@4.20,3.91@@3.91,3.53@@3.53,4.62@@4.62,4.10@@4.10,4.33@@4.33,4.10@@4.10,4.06@@4.06,1543714304.0,151936.0,4096.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.13@@4.13,4.01@@4.01,4.12@@4.12,3.35@@3.35,4.65@@4.65,4.15@@4.15,4.35@@4.35,4.17@@4.17,4.23@@4.23,361821120.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.15@@4.15,4.02@@4.02,4.07@@4.07,3.85@@3.85,4.59@@4.59,4.16@@4.16,4.39@@4.39,4.12@@4.12,3.98@@3.98,268098176.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.21@@4.21,4.05@@4.05,4.09@@4.09,3.88@@3.88,4.71@@4.71,4.30@@4.30,4.44@@4.44,4.13@@4.13,4.10@@4.10,134515008.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,4.23@@4.23,3.93@@3.93,4.36@@4.36,4.29@@4.29,4.51@@4.51,4.61@@4.61,4.16@@4.16,4.00@@4.00,3.96@@3.96,470607872.0,64000.0,2048.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.24@@4.24,4.14@@4.14,4.09@@4.09,3.98@@3.98,4.78@@4.78,4.28@@4.28,4.36@@4.36,4.16@@4.16,4.14@@4.14,134515008.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.27@@4.27,4.12@@4.12,4.14@@4.14,4.11@@4.11,4.63@@4.63,4.20@@4.20,4.37@@4.37,4.24@@4.24,4.32@@4.32,353424384.0,65536.0,2048.0,✓,✗
