<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.56@@1.56,32759790592.0,151665.0,131072.0,✓,✗,61.29 ± 2.49 / 73.17 ± 1.88@@61.29,73.22 ± 1.06 / 56.13 ± 2.75@@73.22,52.41 ± 1.58 / 74.01 ± 1.09@@52.41,61.10 ± 1.19 / 31.79 ± 1.05@@61.10,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.58@@1.58,235107904512.0,151936.0,262144.0,✓,✗,61.11 ± 2.65 / 70.47 ± 2.80@@61.11,78.33 ± 0.97 / 67.44 ± 1.66@@78.33,50.91 ± 1.62 / 69.80 ± 1.25@@50.91,53.75 ± 0.40 / 28.58 ± 0.54@@53.75,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/sentence-transformers/use-cmlm-multilingual'>sentence-transformers/use-cmlm-multilingual</a>,🔍,1.58@@1.58,472022179.0,501153.0,512.0,✓,✗,59.50 ± 1.14 / 72.91 ± 0.76@@59.50,77.03 ± 1.06 / 76.61 ± 1.13@@77.03,59.30 ± 1.32 / 78.31 ± 0.74@@59.30,50.81 ± 0.88 / 26.67 ± 0.90@@50.81,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,1.58@@1.58,23575680000.0,131072.0,32768.0,✓,✗,61.68 ± 4.56 / 71.14 ± 5.02@@61.68,70.25 ± 1.16 / 56.91 ± 2.40@@70.25,46.44 ± 3.99 / 68.02 ± 4.10@@46.44,64.53 ± 3.18 / 35.64 ± 1.92@@64.53,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.59@@1.59,70553706496.0,128256.0,8192.0,✓,✗,60.32 ± 2.25 / 72.88 ± 1.80@@60.32,70.86 ± 1.31 / 61.11 ± 1.66@@70.86,44.69 ± 3.77 / 71.60 ± 2.01@@44.69,69.34 ± 3.15 / 40.49 ± 2.26@@69.34,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.61@@1.61,24011361280.0,131072.0,8192.0,✓,✗,58.84 ± 3.20 / 72.02 ± 2.20@@58.84,68.37 ± 1.10 / 59.21 ± 1.87@@68.37,50.21 ± 1.80 / 73.86 ± 1.10@@50.21,65.45 ± 3.12 / 38.17 ± 2.55@@65.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.61@@1.61,405853388800.0,128256.0,131072.0,✓,✗,57.79 ± 3.33 / 67.72 ± 4.50@@57.79,56.88 ± 3.87 / 53.20 ± 3.82@@56.88,60.79 ± 2.88 / 80.07 ± 1.60@@60.79,69.43 ± 2.74 / 39.06 ± 2.03@@69.43,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (val)</a>,📝,1.62@@1.62,14700000000.0,100352.0,16384.0,✓,✗,61.71 ± 2.44 / 72.77 ± 2.23@@61.71,63.63 ± 2.32 / 53.39 ± 2.97@@63.63,50.67 ± 3.15 / 74.04 ± 2.05@@50.67,64.29 ± 1.69 / 30.09 ± 1.12@@64.29,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,1.62@@1.62,32763876352.0,152064.0,32768.0,✓,✗,60.08 ± 2.23 / 72.53 ± 1.75@@60.08,68.68 ± 1.16 / 51.52 ± 2.35@@68.68,55.13 ± 2.22 / 76.12 ± 1.49@@55.13,60.39 ± 1.51 / 27.08 ± 1.00@@60.39,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.64@@1.64,27432406640.0,262144.0,8192.0,✓,✗,51.54 ± 5.08 / 59.69 ± 6.93@@51.54,62.20 ± 2.07 / 55.39 ± 2.33@@62.20,62.49 ± 2.08 / 80.67 ± 1.26@@62.49,67.98 ± 3.47 / 37.63 ± 3.04@@67.98,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,15.6.1@@150601
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.64@@1.64,405868625920.0,128256.0,131072.0,✓,✗,60.23 ± 2.12 / 70.86 ± 2.33@@60.23,72.32 ± 1.46 / 68.99 ± 1.67@@72.32,51.47 ± 1.90 / 74.88 ± 1.00@@51.47,57.45 ± 1.50 / 27.99 ± 1.40@@57.45,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/gwlms/teams-base-dewiki-v1-discriminator'>gwlms/teams-base-dewiki-v1-discriminator</a>,🔍,1.66@@1.66,110618113.0,32000.0,512.0,✓,✗,47.85 ± 2.41 / 64.86 ± 1.71@@47.85,79.59 ± 0.89 / 78.76 ± 0.74@@79.59,68.48 ± 2.29 / 83.93 ± 1.25@@68.48,41.74 ± 2.30 / 19.90 ± 1.38@@41.74,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.68@@1.68,235107904512.0,151936.0,262144.0,✓,✗,56.80 ± 1.72 / 69.53 ± 1.90@@56.80,69.88 ± 1.53 / 49.52 ± 2.39@@69.88,57.29 ± 1.56 / 76.87 ± 0.97@@57.29,55.12 ± 1.54 / 27.13 ± 1.01@@55.12,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.69@@1.69,?,256128.0,1048576.0,✓,✗,51.77 ± 3.36 / 65.38 ± 2.25@@51.77,68.56 ± 1.49 / 39.67 ± 1.77@@68.56,66.56 ± 2.15 / 83.11 ± 1.07@@66.56,52.86 ± 1.47 / 22.47 ± 1.48@@52.86,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.69@@1.69,70553706496.0,128256.0,8192.0,✓,✗,62.15 ± 2.10 / 73.68 ± 1.95@@62.15,69.26 ± 1.31 / 51.18 ± 3.09@@69.26,46.95 ± 2.07 / 72.77 ± 1.00@@46.95,59.36 ± 3.05 / 32.22 ± 1.99@@59.36,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.69@@1.69,72706203648.0,152064.0,32768.0,✓,✗,58.78 ± 1.77 / 72.15 ± 1.29@@58.78,68.94 ± 0.70 / 51.96 ± 2.24@@68.94,52.66 ± 1.92 / 75.17 ± 0.93@@52.66,57.71 ± 0.89 / 27.62 ± 0.83@@57.71,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.70@@1.70,32762123264.0,151936.0,40960.0,✓,✗,57.63 ± 2.31 / 71.68 ± 1.51@@57.63,64.88 ± 1.27 / 45.79 ± 1.81@@64.88,52.36 ± 0.64 / 74.00 ± 0.34@@52.36,63.23 ± 1.61 / 34.97 ± 1.30@@63.23,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.70@@1.70,?,?,400000.0,✓,✗,52.20 ± 1.84 / 67.38 ± 1.24@@52.20,63.51 ± 1.68 / 36.36 ± 1.92@@63.51,66.66 ± 2.63 / 82.88 ± 1.38@@66.66,55.89 ± 1.67 / 28.44 ± 1.84@@55.89,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,1.71@@1.71,70553706496.0,128256.0,131072.0,✓,✗,59.87 ± 1.63 / 72.22 ± 1.34@@59.87,72.11 ± 1.42 / 54.20 ± 2.19@@72.11,46.82 ± 1.39 / 72.14 ± 0.64@@46.82,57.19 ± 1.78 / 30.64 ± 1.27@@57.19,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.71@@1.71,70553706496.0,128256.0,131072.0,✓,✗,60.43 ± 2.07 / 73.13 ± 1.56@@60.43,69.25 ± 1.27 / 53.20 ± 2.26@@69.25,51.27 ± 0.89 / 72.86 ± 0.71@@51.27,56.17 ± 1.35 / 28.13 ± 1.19@@56.17,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,1.72@@1.72,470927360.0,501153.0,512.0,✓,✗,58.65 ± 1.67 / 72.12 ± 1.18@@58.65,79.44 ± 0.96 / 78.42 ± 0.98@@79.44,52.19 ± 2.96 / 74.17 ± 1.82@@52.19,45.11 ± 1.50 / 23.66 ± 0.97@@45.11,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.73@@1.73,24261800960.0,131072.0,8192.0,✓,✗,54.78 ± 2.47 / 68.27 ± 2.23@@54.78,70.30 ± 1.12 / 64.73 ± 2.09@@70.30,48.42 ± 1.26 / 70.98 ± 1.08@@48.42,61.29 ± 3.23 / 34.30 ± 2.47@@61.29,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,1.74@@1.74,23572403200.0,131072.0,32768.0,✓,✗,62.27 ± 1.50 / 74.77 ± 0.99@@62.27,69.51 ± 0.97 / 50.79 ± 2.35@@69.51,44.01 ± 1.53 / 64.50 ± 1.51@@44.01,58.96 ± 1.41 / 29.71 ± 1.12@@58.96,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.75@@1.75,?,256128.0,1048576.0,✓,✗,51.68 ± 2.32 / 66.63 ± 1.54@@51.68,59.14 ± 1.77 / 42.70 ± 1.70@@59.14,70.89 ± 1.84 / 84.91 ± 1.08@@70.89,52.86 ± 1.47 / 22.47 ± 1.48@@52.86,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.75@@1.75,70553706496.0,128256.0,131072.0,✓,✗,59.76 ± 2.24 / 72.46 ± 1.82@@59.76,69.12 ± 1.49 / 53.23 ± 1.95@@69.12,50.32 ± 1.40 / 73.20 ± 0.80@@50.32,55.02 ± 1.21 / 26.77 ± 1.08@@55.02,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.75@@1.75,561192082.0,250002.0,512.0,✓,✗,54.03 ± 13.43 / 67.89 ± 11.60@@54.03,80.14 ± 1.34 / 79.13 ± 1.39@@80.14,47.30 ± 19.59 / 69.81 ± 13.32@@47.30,49.75 ± 1.45 / 24.23 ± 1.12@@49.75,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.76@@1.76,14768307200.0,151936.0,40960.0,✓,✗,55.61 ± 1.48 / 69.46 ± 1.26@@55.61,66.58 ± 1.38 / 52.69 ± 2.32@@66.58,49.63 ± 1.06 / 71.55 ± 0.81@@49.63,61.45 ± 2.04 / 34.11 ± 1.43@@61.45,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.76@@1.76,14765947904.0,151665.0,131072.0,✓,✗,60.30 ± 2.22 / 73.08 ± 1.53@@60.30,68.35 ± 1.17 / 49.32 ± 2.02@@68.35,47.85 ± 1.25 / 71.67 ± 0.69@@47.85,55.65 ± 1.30 / 29.21 ± 0.83@@55.65,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.77@@1.77,?,?,?,✓,✗,56.17 ± 3.09 / 67.05 ± 2.20@@56.17,77.06 ± 1.59 / 67.68 ± 1.94@@77.06,45.05 ± 3.51 / 67.98 ± 1.73@@45.05,52.94 ± 1.49 / 26.23 ± 1.78@@52.94,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.77@@1.77,81324862720.0,151936.0,262144.0,✓,✗,56.29 ± 2.29 / 69.21 ± 2.08@@56.29,70.54 ± 0.86 / 47.54 ± 2.32@@70.54,52.57 ± 1.86 / 73.50 ± 1.42@@52.57,54.88 ± 0.94 / 26.39 ± 0.78@@54.88,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.77@@1.77,14768307200.0,151936.0,40960.0,✓,✗,57.33 ± 2.74 / 70.20 ± 2.02@@57.33,73.49 ± 0.63 / 60.25 ± 0.99@@73.49,44.88 ± 1.08 / 67.03 ± 0.66@@44.88,56.55 ± 0.90 / 29.84 ± 0.80@@56.55,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.77@@1.77,?,100256.0,272000.0,✓,✗,59.19 ± 3.17 / 69.51 ± 2.40@@59.19,73.80 ± 1.83 / 52.41 ± 2.37@@73.80,42.17 ± 3.67 / 66.81 ± 1.82@@42.17,52.95 ± 1.58 / 29.23 ± 2.21@@52.95,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,1.77@@1.77,32233522176.0,100278.0,65536.0,✗,✗,55.10 ± 2.53 / 68.35 ± 2.76@@55.10,63.76 ± 0.99 / 52.25 ± 1.99@@63.76,48.16 ± 1.74 / 73.13 ± 1.29@@48.16,64.92 ± 2.79 / 35.65 ± 1.84@@64.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.79@@1.79,12187325040.0,262144.0,8192.0,✓,✗,50.15 ± 4.68 / 65.94 ± 3.20@@50.15,55.98 ± 2.24 / 45.58 ± 2.96@@55.98,55.68 ± 1.85 / 77.12 ± 1.29@@55.68,68.42 ± 3.45 / 39.59 ± 2.70@@68.42,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,15.5.0@@150500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.79@@1.79,?,?,200000.0,✓,✗,55.19 ± 1.79 / 69.62 ± 1.21@@55.19,74.20 ± 1.84 / 61.61 ± 1.74@@74.20,44.57 ± 2.55 / 65.03 ± 1.47@@44.57,55.00 ± 1.55 / 28.26 ± 1.73@@55.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.80@@1.80,?,?,200000.0,✓,✗,64.04 ± 2.80 / 73.41 ± 1.95@@64.04,69.74 ± 1.40 / 50.36 ± 2.01@@69.74,43.18 ± 3.22 / 68.31 ± 1.41@@43.18,50.79 ± 1.57 / 27.52 ± 2.20@@50.79,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,1.80@@1.80,32233522176.0,100278.0,65536.0,✗,✗,54.92 ± 1.70 / 69.35 ± 1.42@@54.92,61.65 ± 0.62 / 43.89 ± 1.54@@61.65,48.60 ± 2.07 / 74.23 ± 1.02@@48.60,63.00 ± 1.13 / 31.15 ± 0.83@@63.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/dbmdz/bert-base-german-uncased'>dbmdz/bert-base-german-uncased</a>,🔍,1.81@@1.81,110552448.0,31102.0,512.0,✓,✗,56.48 ± 1.78 / 70.91 ± 1.23@@56.48,77.55 ± 0.54 / 75.74 ± 0.56@@77.55,63.49 ± 4.58 / 80.65 ± 2.60@@63.49,30.22 ± 1.38 / 12.39 ± 0.86@@30.22,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.82@@1.82,?,?,200000.0,✓,✗,59.38 ± 2.91 / 70.87 ± 1.88@@59.38,70.91 ± 1.59 / 59.83 ± 1.96@@70.91,45.20 ± 4.10 / 69.92 ± 1.95@@45.20,50.34 ± 1.40 / 29.00 ± 1.60@@50.34,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.83@@1.83,?,100256.0,272000.0,✓,✗,57.02 ± 2.66 / 67.58 ± 2.13@@57.02,75.28 ± 1.59 / 54.40 ± 2.07@@75.28,41.24 ± 2.59 / 65.91 ± 1.33@@41.24,51.79 ± 1.60 / 28.99 ± 2.23@@51.79,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.83@@1.83,30532122624.0,151936.0,40960.0,✓,✗,54.43 ± 2.32 / 69.46 ± 1.56@@54.43,66.91 ± 1.43 / 49.67 ± 1.64@@66.91,47.07 ± 1.11 / 70.71 ± 0.70@@47.07,57.26 ± 1.18 / 27.90 ± 0.69@@57.26,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
