<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.39@@1.39,91.39,?,?,1047576.0,✓,✗,56.86 ± 1.97 / 70.38 ± 1.40@@56.86,64.35 ± 1.69 / 43.33 ± 2.20@@64.35,65.91 ± 1.73 / 82.90 ± 0.87@@65.91,76.62 ± 1.05 / 53.04 ± 1.63@@76.62,65.09 ± 0.17 / 14.78 ± 0.30@@65.09,91.43 ± 1.73 / 93.75 ± 1.37@@91.43,96.69 ± 1.35 / 97.78 ± 0.92@@96.69,74.83 ± 2.04 / 81.05 ± 1.57@@74.83,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.3.0.dev0@@160300,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.39@@1.39,90.6,70553706496.0,128256.0,131072.0,✓,✗,58.78 ± 1.28 / 72.51 ± 0.82@@58.78,68.75 ± 1.54 / 50.59 ± 2.85@@68.75,52.44 ± 2.92 / 72.92 ± 2.46@@52.44,77.42 ± 0.83 / 54.31 ± 1.42@@77.42,66.27 ± 0.20 / 18.40 ± 0.50@@66.27,83.72 ± 1.04 / 87.78 ± 0.80@@83.72,93.04 ± 0.64 / 95.33 ± 0.42@@93.04,79.31 ± 0.68 / 84.38 ± 0.50@@79.31,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,16.3.0.dev0@@160300,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,256128.0,1048576.0,✓,✗,55.55 ± 1.25 / 65.71 ± 1.36@@55.55,65.05 ± 1.37 / 51.37 ± 1.99@@65.05,67.69 ± 3.37 / 83.80 ± 1.68@@67.69,74.50 ± 1.47 / 56.09 ± 1.73@@74.50,64.04 ± 0.29 / 13.27 ± 0.28@@64.04,92.50 ± 1.58 / 94.53 ± 1.14@@92.50,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,75.25 ± 1.59 / 81.41 ± 1.21@@75.25,15.10.1.dev0@@151001,15.11.0@@151100,15.11.0@@151100,16.3.0.dev0@@160300,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,256128.0,1048576.0,✓,✗,55.69 ± 1.68 / 67.38 ± 1.36@@55.69,61.18 ± 1.34 / 47.32 ± 1.32@@61.18,69.03 ± 2.18 / 84.43 ± 1.09@@69.03,72.19 ± 1.05 / 47.61 ± 1.53@@72.19,64.41 ± 0.31 / 14.14 ± 0.33@@64.41,95.12 ± 1.50 / 96.41 ± 1.12@@95.12,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,78.89 ± 2.16 / 84.18 ± 1.63@@78.89,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.40@@1.40,?,24011361280.0,131072.0,?,✓,✗,57.13 ± 1.49 / 71.12 ± 1.09@@57.13,64.95 ± 1.63 / 52.57 ± 2.04@@64.95,53.08 ± 2.30 / 75.38 ± 2.18@@53.08,80.39 ± 1.57 / 62.26 ± 2.39@@80.39,68.08 ± 0.37 / 23.43 ± 0.86@@68.08,81.81 ± 1.22 / 86.37 ± 0.92@@81.81,90.81 ± 0.92 / 93.83 ± 0.61@@90.81,82.20 ± 0.98 / 86.62 ± 0.74@@82.20,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.3.0.dev0@@160300,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.45@@1.45,3.98,70553706496.0,128256.0,131072.0,✓,✗,59.89 ± 0.97 / 72.51 ± 0.84@@59.89,67.07 ± 1.22 / 48.82 ± 2.09@@67.07,56.56 ± 2.10 / 77.06 ± 1.62@@56.56,70.18 ± 0.84 / 41.74 ± 1.36@@70.18,67.00 ± 0.17 / 20.23 ± 0.45@@67.00,82.14 ± 1.40 / 86.63 ± 1.04@@82.14,93.65 ± 0.82 / 95.75 ± 0.55@@93.65,76.43 ± 0.81 / 82.11 ± 0.65@@76.43,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,16.3.0.dev0@@160300,14.0.3@@140003,14.3.0@@140300,15.2.0.dev0@@150200,14.0.3@@140003
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.45@@1.45,89.94,32759790592.0,151665.0,131072.0,✓,✗,56.14 ± 1.16 / 70.25 ± 0.55@@56.14,68.07 ± 1.02 / 47.18 ± 2.71@@68.07,56.72 ± 1.45 / 77.47 ± 0.82@@56.72,81.20 ± 0.80 / 64.01 ± 0.94@@81.20,65.70 ± 0.15 / 17.14 ± 0.41@@65.70,76.80 ± 1.35 / 82.59 ± 1.01@@76.80,81.29 ± 1.52 / 87.52 ± 1.01@@81.29,79.45 ± 0.50 / 84.48 ± 0.37@@79.45,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.3.0.dev0@@160300,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.46@@1.46,91.88,27432406640.0,262144.0,8192.0,✓,✗,57.40 ± 1.48 / 71.71 ± 1.09@@57.40,61.91 ± 1.26 / 50.60 ± 2.37@@61.91,62.41 ± 1.38 / 81.00 ± 0.81@@62.41,76.80 ± 1.40 / 56.99 ± 1.53@@76.80,65.56 ± 0.13 / 16.54 ± 0.28@@65.56,85.56 ± 1.39 / 89.15 ± 1.05@@85.56,92.29 ± 0.91 / 94.80 ± 0.61@@92.29,73.90 ± 0.99 / 80.23 ± 0.75@@73.90,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.3.0.dev0@@160300,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.47@@1.47,?,24261800960.0,131072.0,8192.0,✓,✗,54.58 ± 1.87 / 69.17 ± 1.69@@54.58,66.29 ± 2.33 / 51.60 ± 3.17@@66.29,54.14 ± 1.44 / 76.44 ± 0.98@@54.14,80.98 ± 1.39 / 64.23 ± 1.97@@80.98,66.41 ± 0.34 / 18.95 ± 0.90@@66.41,82.07 ± 0.89 / 86.55 ± 0.68@@82.07,90.37 ± 1.43 / 93.52 ± 0.97@@90.37,75.98 ± 0.97 / 81.88 ± 0.74@@75.98,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.48@@1.48,?,24011361280.0,131072.0,?,✓,✗,56.76 ± 1.40 / 71.10 ± 1.01@@56.76,64.36 ± 2.09 / 47.80 ± 3.07@@64.36,51.24 ± 3.45 / 73.49 ± 2.88@@51.24,82.73 ± 1.33 / 66.46 ± 2.00@@82.73,66.15 ± 0.27 / 18.02 ± 0.73@@66.15,79.47 ± 1.29 / 84.60 ± 0.98@@79.47,88.66 ± 1.17 / 92.30 ± 0.80@@88.66,76.25 ± 1.02 / 82.05 ± 0.79@@76.25,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.3.0.dev0@@160300,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,1.50@@1.50,?,108641793536.0,200000.0,?,✓,✗,58.09 ± 0.80 / 71.26 ± 0.84@@58.09,59.34 ± 1.57 / 45.05 ± 2.38@@59.34,56.37 ± 1.42 / 77.83 ± 0.92@@56.37,73.72 ± 1.54 / 48.70 ± 2.33@@73.72,66.63 ± 0.16 / 19.41 ± 0.40@@66.63,84.68 ± 1.29 / 88.51 ± 0.96@@84.68,89.97 ± 0.80 / 93.22 ± 0.53@@89.97,75.19 ± 0.84 / 81.35 ± 0.63@@75.19,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.50@@1.50,?,24011361280.0,131072.0,8192.0,✓,✗,55.98 ± 2.06 / 70.64 ± 1.65@@55.98,63.74 ± 1.45 / 48.02 ± 3.33@@63.74,54.86 ± 0.87 / 77.07 ± 0.51@@54.86,82.72 ± 1.27 / 66.06 ± 1.87@@82.72,65.63 ± 0.31 / 16.94 ± 0.89@@65.63,77.69 ± 1.22 / 83.25 ± 0.93@@77.69,86.80 ± 1.29 / 91.03 ± 0.89@@86.80,72.52 ± 0.84 / 79.20 ± 0.62@@72.52,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.4.0.dev0@@160400,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.50@@1.50,62.8,72706203648.0,152064.0,32768.0,✓,✗,54.50 ± 1.55 / 69.89 ± 1.02@@54.50,63.81 ± 1.27 / 42.18 ± 2.59@@63.81,57.19 ± 1.30 / 78.30 ± 0.79@@57.19,79.64 ± 0.83 / 58.93 ± 1.15@@79.64,64.62 ± 0.14 / 14.36 ± 0.29@@64.62,81.95 ± 1.12 / 86.46 ± 0.86@@81.95,88.06 ± 0.91 / 92.00 ± 0.59@@88.06,77.57 ± 0.86 / 83.06 ± 0.66@@77.57,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,16.3.0.dev0@@160300,14.0.4@@140004,14.3.0@@140300,15.2.0.dev0@@150200,14.0.4@@140004
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.51@@1.51,N/A,24011361280.0,131072.0,8192.0,✓,✗,56.67 ± 1.76 / 70.90 ± 1.34@@56.67,63.33 ± 1.66 / 50.14 ± 2.88@@63.33,53.52 ± 1.64 / 76.55 ± 0.83@@53.52,81.28 ± 1.84 / 65.14 ± 2.57@@81.28,68.24 ± 0.28 / 24.38 ± 0.61@@68.24,81.90 ± 1.44 / 86.44 ± 1.09@@81.90,92.17 ± 1.47 / 94.76 ± 0.99@@92.17,57.79 ± 1.64 / 67.67 ± 1.45@@57.79,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.51@@1.51,?,235107904512.0,151936.0,262144.0,✓,✗,59.27 ± 0.78 / 70.70 ± 0.68@@59.27,68.35 ± 1.50 / 50.40 ± 2.36@@68.35,41.43 ± 1.44 / 62.93 ± 1.22@@41.43,76.92 ± 0.76 / 57.98 ± 0.93@@76.92,64.58 ± 0.28 / 14.59 ± 0.74@@64.58,85.75 ± 0.98 / 89.33 ± 0.73@@85.75,96.37 ± 0.95 / 97.58 ± 0.63@@96.37,79.80 ± 0.50 / 84.84 ± 0.37@@79.80,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.51@@1.51,N/A,27432406640.0,262144.0,8192.0,✓,✗,54.34 ± 1.87 / 67.26 ± 2.08@@54.34,56.71 ± 1.80 / 41.49 ± 2.48@@56.71,64.31 ± 1.34 / 81.90 ± 0.74@@64.31,81.81 ± 1.17 / 66.10 ± 1.63@@81.81,68.54 ± 0.25 / 24.86 ± 0.53@@68.54,87.88 ± 1.08 / 90.90 ± 0.81@@87.88,96.11 ± 0.61 / 97.41 ± 0.41@@96.11,57.62 ± 2.20 / 66.88 ± 1.83@@57.62,16.5.0.dev0@@160500,15.5.0.dev0@@150500,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.5.0.dev0@@150500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (zero-shot, val)</a>",🤔,1.53@@1.53,20.71,?,?,202752.0,✓,✗,52.08 ± 1.87 / 62.32 ± 1.30@@52.08,62.52 ± 1.30 / 45.70 ± 1.40@@62.52,59.63 ± 2.51 / 79.24 ± 1.23@@59.63,75.59 ± 1.12 / 55.54 ± 1.09@@75.59,64.97 ± 0.19 / 14.49 ± 0.29@@64.97,82.15 ± 3.84 / 86.41 ± 3.13@@82.15,97.35 ± 1.60 / 98.22 ± 1.09@@97.35,74.08 ± 1.41 / 80.51 ± 1.07@@74.08,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.53@@1.53,N/A,70553706496.0,128256.0,131072.0,✓,✗,58.37 ± 1.71 / 71.99 ± 1.23@@58.37,65.13 ± 1.46 / 51.32 ± 1.95@@65.13,56.30 ± 2.03 / 76.05 ± 1.48@@56.30,80.70 ± 1.84 / 61.39 ± 2.66@@80.70,68.24 ± 0.25 / 24.48 ± 0.57@@68.24,84.35 ± 1.03 / 88.29 ± 0.78@@84.35,92.15 ± 0.98 / 94.78 ± 0.64@@92.15,51.04 ± 2.89 / 61.14 ± 2.66@@51.04,16.5.0.dev0@@160500,15.7.2@@150702,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.7.2@@150702,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.53@@1.53,65.31,32762123264.0,151936.0,40960.0,✓,✗,54.65 ± 1.90 / 70.26 ± 1.36@@54.65,61.32 ± 1.79 / 44.23 ± 2.45@@61.32,59.50 ± 1.40 / 79.05 ± 0.93@@59.50,81.70 ± 0.84 / 65.16 ± 1.30@@81.70,65.38 ± 0.13 / 15.97 ± 0.28@@65.38,80.40 ± 1.28 / 85.32 ± 0.96@@80.40,81.25 ± 1.81 / 87.45 ± 1.19@@81.25,73.30 ± 0.77 / 79.71 ± 0.61@@73.30,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.4.0.dev0@@160400,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
