<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Estonian,Finnish
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.74@@1.74,24011361280.0,131072.0,?,✓,✗,1.82@@1.82,1.65@@1.65
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.75@@1.75,235107904512.0,151936.0,262144.0,✓,✗,1.85@@1.85,1.65@@1.65
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.77@@1.77,27432406640.0,262144.0,?,✓,✗,1.70@@1.70,1.84@@1.84
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.77@@1.77,?,?,?,✓,✗,1.67@@1.67,1.86@@1.86
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.77@@1.77,70553706496.0,128256.0,8192.0,✓,✗,2.01@@2.01,1.52@@1.52
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.78@@1.78,24011361280.0,131072.0,?,✓,✗,1.95@@1.95,1.62@@1.62
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.78@@1.78,24011361280.0,131072.0,8192.0,✓,✗,1.83@@1.83,1.72@@1.72
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.81@@1.81,70553706496.0,128256.0,131072.0,✓,✗,1.84@@1.84,1.78@@1.78
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.81@@1.81,24011361280.0,131072.0,?,✓,✗,2.08@@2.08,1.55@@1.55
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.82@@1.82,81324862720.0,151936.0,262144.0,✓,✗,1.83@@1.83,1.81@@1.81
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.82@@1.82,?,100256.0,272000.0,✓,✗,1.93@@1.93,1.71@@1.71
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.82@@1.82,?,?,200000.0,✓,✗,1.85@@1.85,1.79@@1.79
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.83@@1.83,70553706496.0,128256.0,131072.0,✓,✗,1.90@@1.90,1.76@@1.76
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.83@@1.83,32759790592.0,151665.0,131072.0,✓,✗,1.95@@1.95,1.72@@1.72
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.83@@1.83,24261800960.0,131072.0,8192.0,✓,✗,1.90@@1.90,1.77@@1.77
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base</a>,🧠,1.84@@1.84,70553706496.0,128256.0,8192.0,✓,✗,2.28@@2.28,1.40@@1.40
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.87@@1.87,70553706496.0,128256.0,131072.0,✓,✗,1.89@@1.89,1.85@@1.85
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.87@@1.87,32762123264.0,151936.0,40960.0,✓,✗,1.88@@1.88,1.86@@1.86
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.87@@1.87,?,256128.0,1048576.0,✓,✗,1.89@@1.89,1.86@@1.86
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.87@@1.87,12187325040.0,262144.0,?,✓,✗,1.91@@1.91,1.83@@1.83
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.88@@1.88,72706203648.0,152064.0,32768.0,✓,✗,1.97@@1.97,1.79@@1.79
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.88@@1.88,?,?,1047576.0,✓,✗,1.80@@1.80,1.96@@1.96
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,1.91@@1.91,70553706496.0,128256.0,8192.0,✓,✗,2.08@@2.08,1.73@@1.73
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.91@@1.91,12187325040.0,262144.0,?,✓,✗,1.86@@1.86,1.96@@1.96
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.93@@1.93,30532122624.0,151936.0,40960.0,✓,✗,1.96@@1.96,1.91@@1.91
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.93@@1.93,?,100256.0,272000.0,✓,✗,1.97@@1.97,1.89@@1.89
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.95@@1.95,?,?,1047576.0,✓,✗,2.02@@2.02,1.88@@1.88
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.95@@1.95,?,256128.0,1048576.0,✓,✗,2.02@@2.02,1.87@@1.87
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.96@@1.96,14768307200.0,151936.0,40960.0,✓,✗,2.02@@2.02,1.91@@1.91
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.01@@2.01,30532122624.0,151936.0,262144.0,✓,✗,2.02@@2.02,2.00@@2.00
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.05@@2.05,?,128000.0,4096.0,✓,✗,2.18@@2.18,1.93@@1.93
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.06@@2.06,14765947904.0,151665.0,131072.0,✓,✗,2.15@@2.15,1.96@@1.96
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.10@@2.10,21511953984.0,201088.0,131072.0,✓,✗,2.14@@2.14,2.06@@2.06
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.12@@2.12,561192082.0,250002.0,512.0,✓,✗,2.53@@2.53,1.70@@1.70
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.13@@2.13,11168796672.0,32128.0,32768.0,✓,✗,2.24@@2.24,2.02@@2.02
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.14@@2.14,70599864480.0,131072.0,65536.0,✗,✗,1.99@@1.99,2.30@@2.30
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,2.15@@2.15,14768307200.0,151936.0,40960.0,✓,✗,2.39@@2.39,1.91@@1.91
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.15@@2.15,8190735360.0,151936.0,40960.0,✓,✗,2.31@@2.31,1.99@@1.99
<a href='https://hf.co/tartuNLP/Apertus-EstLLM-8B-1125'>tartuNLP/Apertus-EstLLM-8B-1125</a>,🧠,2.15@@2.15,8053338176.0,131072.0,65536.0,✓,✗,2.02@@2.02,2.27@@2.27
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.16@@2.16,?,?,?,✓,✗,2.26@@2.26,2.05@@2.05
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.17@@2.17,40433885184.0,256000.0,32768.0,✓,✗,1.94@@1.94,2.40@@2.40
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.17@@2.17,22637328384.0,128000.0,4096.0,✓,✗,1.94@@1.94,2.41@@2.41
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.19@@2.19,?,?,200000.0,✓,✗,2.21@@2.21,2.17@@2.17
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,2.21@@2.21,81324862720.0,151936.0,262144.0,✓,✗,2.31@@2.31,2.11@@2.11
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.21@@2.21,7849978192.0,262400.0,8192.0,✓,✗,2.23@@2.23,2.19@@2.19
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,2.21@@2.21,30532122624.0,151936.0,40960.0,✓,✗,2.62@@2.62,1.81@@1.81
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.21@@2.21,11168796672.0,32128.0,32768.0,✓,✗,2.11@@2.11,2.30@@2.30
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.21@@2.21,22637328384.0,128000.0,32768.0,✓,✗,1.98@@1.98,2.44@@2.44
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.23@@2.23,?,256128.0,1048576.0,✓,✗,2.24@@2.24,2.22@@2.22
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.23@@2.23,110468824832.0,151552.0,131072.0,✓,✗,2.23@@2.23,2.23@@2.23
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-SFT'>LumiOpen/Llama-Poro-2-8B-SFT</a>,📝,2.25@@2.25,8030261248.0,128256.0,8192.0,✓,✗,2.37@@2.37,2.13@@2.13
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-base'>LumiOpen/Llama-Poro-2-8B-base</a>,🧠,2.28@@2.28,?,128256.0,8192.0,✓,✗,2.60@@2.60,1.95@@1.95
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.28@@2.28,21511953984.0,201088.0,131072.0,✓,✗,2.46@@2.46,2.11@@2.11
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.29@@2.29,8053338176.0,131072.0,65536.0,✗,✗,2.22@@2.22,2.36@@2.36
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.29@@2.29,?,?,200000.0,✓,✗,2.32@@2.32,2.27@@2.27
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-Instruct'>LumiOpen/Llama-Poro-2-8B-Instruct</a>,📝,2.29@@2.29,8030261248.0,128256.0,8192.0,✓,✗,2.41@@2.41,2.17@@2.17
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.30@@2.30,4022468096.0,151936.0,262144.0,✓,✗,2.47@@2.47,2.13@@2.13
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.31@@2.31,31577937344.0,131072.0,262144.0,✓,✗,2.61@@2.61,2.02@@2.02
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.31@@2.31,8190735360.0,151936.0,40960.0,✓,✗,2.55@@2.55,2.08@@2.08
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825'>tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825</a>,📝,2.31@@2.31,8030261248.0,128256.0,131072.0,✗,✗,2.06@@2.06,2.55@@2.55
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.31@@2.31,70599864480.0,131072.0,65536.0,✓,✗,2.05@@2.05,2.57@@2.57
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.36@@2.36,8030261248.0,128256.0,131072.0,✓,✗,2.34@@2.34,2.38@@2.38
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-0525'>tartuNLP/Llama-3.1-EstLLM-8B-0525</a>,🧠,2.36@@2.36,8030261248.0,128256.0,131072.0,✓,✗,2.30@@2.30,2.42@@2.42
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.36@@2.36,470927360.0,501153.0,512.0,✓,✗,2.58@@2.58,2.15@@2.15
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.37@@2.37,8053338176.0,131072.0,65536.0,✓,✗,2.39@@2.39,2.35@@2.35
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,2.37@@2.37,4022468096.0,151936.0,40960.0,✓,✗,2.41@@2.41,2.32@@2.32
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.37@@2.37,22637328384.0,128000.0,32768.0,✓,✗,1.94@@1.94,2.79@@2.79
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.37@@2.37,4022468096.0,151936.0,40960.0,✓,✗,2.41@@2.41,2.32@@2.32
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.37@@2.37,8030326784.0,128264.0,131072.0,✓,✗,2.44@@2.44,2.31@@2.31
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.39@@2.39,8030261248.0,128256.0,131072.0,✓,✗,2.65@@2.65,2.13@@2.13
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.40@@2.40,32233522176.0,100278.0,65536.0,✗,✗,2.55@@2.55,2.26@@2.26
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.40@@2.40,?,?,1047576.0,✓,✗,2.47@@2.47,2.32@@2.32
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.40@@2.40,32233522176.0,100278.0,65536.0,✗,✗,2.53@@2.53,2.28@@2.28
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.41@@2.41,32233522176.0,100278.0,65536.0,✗,✗,2.56@@2.56,2.25@@2.25
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.41@@2.41,21511953984.0,201088.0,131072.0,✓,✗,2.54@@2.54,2.27@@2.27
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.41@@2.41,4022468096.0,151936.0,262144.0,✗,✗,2.42@@2.42,2.40@@2.40
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.41@@2.41,32207337984.0,100352.0,131072.0,✓,✗,2.46@@2.46,2.36@@2.36
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.42@@2.42,9152319488.0,128000.0,4096.0,✓,✗,2.67@@2.67,2.18@@2.18
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.43@@2.43,110468824832.0,151552.0,131072.0,✓,✗,2.54@@2.54,2.31@@2.31
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.43@@2.43,9152319488.0,128000.0,4096.0,✗,✗,2.18@@2.18,2.68@@2.68
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.44@@2.44,4676271104.0,131072.0,?,✓,✗,2.65@@2.65,2.23@@2.23
<a href='https://hf.co/TurkuNLP/bert-large-finnish-cased-v1'>TurkuNLP/bert-large-finnish-cased-v1</a>,🔍,2.46@@2.46,354147330.0,50105.0,512.0,✓,✗,3.47@@3.47,1.46@@1.46
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.46@@2.46,32233522176.0,100278.0,65536.0,✓,✗,2.54@@2.54,2.39@@2.39
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.46@@2.46,4022468096.0,151936.0,262144.0,✓,✗,2.44@@2.44,2.49@@2.49
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.47@@2.47,278220290.0,251000.0,512.0,✓,✗,2.75@@2.75,2.18@@2.18
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.49@@2.49,307531778.0,256000.0,8192.0,✓,✗,2.70@@2.70,2.28@@2.28
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.49@@2.49,10731524096.0,32000.0,4096.0,✓,✗,2.94@@2.94,2.04@@2.04
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.51@@2.51,21948655808.0,103424.0,131072.0,✓,✗,2.61@@2.61,2.42@@2.42
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.51@@2.51,559890946.0,250002.0,512.0,✓,✗,2.72@@2.72,2.30@@2.30
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,2.51@@2.51,574594434.0,250300.0,512.0,✓,✗,2.69@@2.69,2.32@@2.32
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.53@@2.53,4300079472.0,262144.0,8192.0,✓,✗,2.61@@2.61,2.45@@2.45
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.54@@2.54,32234279936.0,100352.0,4096.0,✗,✗,2.49@@2.49,2.58@@2.58
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,2.57@@2.57,278044162.0,250002.0,512.0,✓,✗,2.80@@2.80,2.33@@2.33
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.63@@2.63,8030261248.0,128256.0,131072.0,✓,✗,2.58@@2.58,2.68@@2.68
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.63@@2.63,3191396096.0,100352.0,131072.0,✓,✗,2.73@@2.73,2.54@@2.54
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,2.63@@2.63,30677882880.0,131072.0,65536.0,✓,✗,2.81@@2.81,2.44@@2.44
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.72@@2.72,3402836480.0,100352.0,131072.0,✓,✗,2.78@@2.78,2.66@@2.66
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.73@@2.73,7298011136.0,100278.0,65536.0,✓,✗,3.04@@3.04,2.42@@2.42
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.76@@2.76,8888227328.0,131072.0,131072.0,✓,✗,2.92@@2.92,2.60@@2.60
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.76@@2.76,3212749824.0,128256.0,131072.0,✓,✗,2.88@@2.88,2.64@@2.64
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.78@@2.78,4300079472.0,262144.0,8192.0,✓,✗,2.69@@2.69,2.87@@2.87
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.79@@2.79,2031739904.0,151936.0,40960.0,✓,✗,2.84@@2.84,2.74@@2.74
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.81@@2.81,2031739904.0,151936.0,40960.0,✓,✗,2.87@@2.87,2.75@@2.75
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.83@@2.83,140642306.0,256000.0,8192.0,✓,✗,3.04@@3.04,2.62@@2.62
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.92@@2.92,7241748480.0,32002.0,32768.0,✗,✗,3.16@@3.16,2.68@@2.68
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.92@@2.92,11168796672.0,32128.0,32768.0,✓,✗,3.00@@3.00,2.84@@2.84
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.98@@2.98,6939037248.0,100352.0,131072.0,✓,✗,2.98@@2.98,2.98@@2.98
<a href='https://hf.co/TurkuNLP/finnish-modernbert-large'>TurkuNLP/finnish-modernbert-large</a>,🔍,2.98@@2.98,401260864.0,55616.0,16000.0,✓,✗,3.88@@3.88,2.08@@2.08
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.01@@3.01,7241732096.0,32000.0,32768.0,✓,✗,3.41@@3.41,2.62@@2.62
<a href='https://hf.co/tartuNLP/Apertus-EstLLM-8B-Instruct-1125'>tartuNLP/Apertus-EstLLM-8B-Instruct-1125</a>,📝,3.03@@3.03,8053338176.0,131072.0,65536.0,✗,✗,3.08@@3.08,2.97@@2.97
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.04@@3.04,7799574528.0,100096.0,4096.0,✓,✗,3.37@@3.37,2.72@@2.72
<a href='https://hf.co/Finnish-NLP/roberta-large-finnish'>Finnish-NLP/roberta-large-finnish</a>,🔍,3.05@@3.05,354313218.0,50265.0,514.0,✓,✗,3.73@@3.73,2.36@@2.36
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.06@@3.06,1543714304.0,151936.0,32768.0,✓,✗,3.20@@3.20,2.93@@2.93
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.07@@3.07,3075098624.0,128256.0,65536.0,✓,✗,3.30@@3.30,2.83@@2.83
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.07@@3.07,7298011136.0,100278.0,65536.0,✗,✗,3.30@@3.30,2.84@@2.84
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.08@@3.08,7298011136.0,100278.0,65536.0,✗,✗,3.37@@3.37,2.80@@2.80
