<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/speakleash/Bielik-11B-v2.5-Instruct'>speakleash/Bielik-11B-v2.5-Instruct</a>,📝,1.83@@1.83,11168796672.0,32128.0,32768.0,✓,✗,94.11 ± 0.51 / 95.11 ± 0.45@@94.11,53.59 ± 0.73 / 38.76 ± 2.00@@53.59,49.51 ± 1.04 / 74.54 ± 0.64@@49.51,54.44 ± 2.71 / 28.77 ± 1.26@@54.44,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.84@@1.84,24011361280.0,131072.0,8192.0,✓,✗,94.56 ± 0.63 / 95.52 ± 0.53@@94.56,56.80 ± 1.03 / 46.63 ± 2.38@@56.80,44.08 ± 1.33 / 71.63 ± 0.75@@44.08,57.45 ± 2.70 / 34.25 ± 2.18@@57.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-8x7B-nc-chat'>CYFRAGOVPL/PLLuM-8x7B-nc-chat</a>,📝,1.84@@1.84,46702817280.0,32003.0,32768.0,✗,✗,98.35 ± 0.46 / 98.66 ± 0.38@@98.35,58.05 ± 1.04 / 49.10 ± 1.74@@58.05,36.09 ± 4.71 / 63.21 ± 5.51@@36.09,59.46 ± 1.45 / 38.40 ± 1.25@@59.46,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-11B-v2.1-Instruct'>speakleash/Bielik-11B-v2.1-Instruct</a>,📝,1.84@@1.84,11168796672.0,32128.0,32768.0,✓,✗,91.59 ± 0.83 / 92.71 ± 0.78@@91.59,56.28 ± 0.81 / 42.25 ± 2.14@@56.28,46.80 ± 1.18 / 72.93 ± 0.76@@46.80,58.05 ± 1.03 / 27.57 ± 1.19@@58.05,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-8x7B-chat'>CYFRAGOVPL/PLLuM-8x7B-chat</a>,📝,1.85@@1.85,46702817280.0,32003.0,32768.0,✓,✗,97.76 ± 0.44 / 98.19 ± 0.36@@97.76,57.62 ± 1.29 / 43.63 ± 1.92@@57.62,38.38 ± 1.80 / 66.81 ± 1.57@@38.38,59.81 ± 1.43 / 36.19 ± 1.19@@59.81,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.85@@1.85,70553706496.0,128256.0,131072.0,✓,✗,94.46 ± 0.85 / 95.22 ± 0.82@@94.46,63.04 ± 1.19 / 51.47 ± 2.60@@63.04,45.46 ± 1.17 / 72.49 ± 0.68@@45.46,49.03 ± 0.89 / 24.26 ± 0.52@@49.03,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-11B-v2.2-Instruct'>speakleash/Bielik-11B-v2.2-Instruct</a>,📝,1.85@@1.85,11168796672.0,32128.0,32768.0,✓,✗,92.78 ± 0.78 / 93.84 ± 0.71@@92.78,55.81 ± 1.00 / 43.31 ± 2.17@@55.81,45.55 ± 1.22 / 72.02 ± 0.95@@45.55,56.04 ± 2.17 / 28.16 ± 0.99@@56.04,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.85@@1.85,72706203648.0,152064.0,32768.0,✓,✗,89.27 ± 0.89 / 90.67 ± 0.91@@89.27,57.32 ± 1.42 / 42.97 ± 1.88@@57.32,50.35 ± 1.61 / 75.14 ± 0.79@@50.35,51.61 ± 1.01 / 23.36 ± 0.95@@51.61,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.85@@1.85,32762123264.0,151936.0,40960.0,✓,✗,90.09 ± 0.88 / 91.40 ± 0.85@@90.09,52.14 ± 0.86 / 39.04 ± 1.95@@52.14,50.47 ± 1.50 / 75.14 ± 0.81@@50.47,60.13 ± 1.58 / 33.28 ± 1.09@@60.13,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.86@@1.86,235107904512.0,151936.0,262144.0,✓,✗,90.92 ± 0.99 / 91.85 ± 1.06@@90.92,58.27 ± 0.80 / 39.63 ± 1.80@@58.27,52.02 ± 1.32 / 75.76 ± 0.71@@52.02,50.27 ± 1.63 / 27.10 ± 1.04@@50.27,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-8x7B-nc-instruct'>CYFRAGOVPL/PLLuM-8x7B-nc-instruct</a>,📝,1.86@@1.86,46702817280.0,32003.0,32768.0,✗,✗,98.53 ± 0.30 / 98.81 ± 0.26@@98.53,58.76 ± 1.33 / 49.28 ± 2.01@@58.76,28.99 ± 7.03 / 54.81 ± 7.64@@28.99,60.77 ± 1.28 / 40.03 ± 1.11@@60.77,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-8x7B-instruct'>CYFRAGOVPL/PLLuM-8x7B-instruct</a>,📝,1.86@@1.86,46702817280.0,32003.0,32768.0,✓,✗,98.07 ± 0.34 / 98.43 ± 0.28@@98.07,58.45 ± 1.09 / 44.23 ± 2.04@@58.45,28.89 ± 5.15 / 54.91 ± 5.18@@28.89,61.84 ± 1.52 / 38.84 ± 1.15@@61.84,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-12B-nc-instruct'>CYFRAGOVPL/PLLuM-12B-nc-instruct</a>,📝,1.86@@1.86,12247782400.0,131072.0,1024000.0,✗,✗,98.88 ± 0.19 / 99.16 ± 0.14@@98.88,61.36 ± 0.87 / 46.77 ± 1.77@@61.36,31.52 ± 2.20 / 56.98 ± 2.52@@31.52,59.25 ± 1.08 / 39.25 ± 0.94@@59.25,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.87@@1.87,70553706496.0,128256.0,131072.0,✓,✗,93.89 ± 0.71 / 94.81 ± 0.69@@93.89,61.22 ± 1.07 / 50.00 ± 2.34@@61.22,45.90 ± 1.45 / 72.43 ± 0.88@@45.90,48.78 ± 1.11 / 24.11 ± 0.53@@48.78,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.88@@1.88,561192082.0,250002.0,512.0,✓,✗,96.50 ± 0.35 / 97.69 ± 0.21@@96.50,75.70 ± 1.46 / 71.58 ± 1.38@@75.70,19.09 ± 14.29 / 52.36 ± 10.88@@19.09,56.12 ± 1.16 / 32.19 ± 1.14@@56.12,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.88@@1.88,14768307200.0,151936.0,40960.0,✓,✗,88.27 ± 0.63 / 89.21 ± 0.57@@88.27,61.64 ± 1.26 / 49.79 ± 1.82@@61.64,44.48 ± 1.27 / 71.29 ± 0.85@@44.48,52.36 ± 0.74 / 29.11 ± 0.56@@52.36,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/speakleash/Bielik-11B-v2.0-Instruct'>speakleash/Bielik-11B-v2.0-Instruct</a>,📝,1.88@@1.88,11168796672.0,32128.0,32768.0,✓,✗,93.04 ± 0.72 / 94.16 ± 0.65@@93.04,53.44 ± 0.63 / 43.56 ± 1.64@@53.44,40.27 ± 1.53 / 68.45 ± 1.27@@40.27,60.68 ± 1.82 / 34.64 ± 1.19@@60.68,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-12B-nc-chat'>CYFRAGOVPL/PLLuM-12B-nc-chat</a>,📝,1.89@@1.89,12247782400.0,131072.0,1024000.0,✗,✗,98.70 ± 0.33 / 99.01 ± 0.24@@98.70,57.57 ± 2.78 / 41.37 ± 2.14@@57.57,36.25 ± 2.07 / 65.44 ± 1.60@@36.25,55.83 ± 1.41 / 34.79 ± 1.02@@55.83,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,1.89@@1.89,11168796672.0,32128.0,32768.0,✓,✗,93.79 ± 0.54 / 94.77 ± 0.48@@93.79,53.40 ± 0.78 / 38.01 ± 1.83@@53.40,48.93 ± 0.95 / 74.14 ± 0.66@@48.93,53.38 ± 2.56 / 27.81 ± 1.12@@53.38,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.90@@1.90,12187325040.0,262144.0,8192.0,✓,✗,84.82 ± 2.98 / 83.39 ± 4.27@@84.82,48.99 ± 1.28 / 36.01 ± 2.33@@48.99,47.04 ± 3.18 / 71.55 ± 2.73@@47.04,60.97 ± 3.33 / 38.45 ± 2.32@@60.97,16.5.0.dev0@@160500,16.2.2.dev0@@160202,16.5.0.dev0@@160500,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.91@@1.91,?,100256.0,272000.0,✓,✗,78.28 ± 1.43 / 77.05 ± 1.27@@78.28,62.91 ± 1.35 / 57.95 ± 1.53@@62.91,54.80 ± 3.16 / 77.15 ± 1.59@@54.80,44.59 ± 1.00 / 23.95 ± 1.45@@44.59,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.92@@1.92,14768307200.0,151936.0,40960.0,✓,✗,88.51 ± 0.90 / 89.92 ± 0.83@@88.51,51.45 ± 0.94 / 40.08 ± 2.09@@51.45,44.35 ± 2.17 / 70.16 ± 1.72@@44.35,60.13 ± 1.84 / 35.41 ± 1.13@@60.13,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/CYFRAGOVPL/PLLuM-12B-instruct'>CYFRAGOVPL/PLLuM-12B-instruct</a>,📝,1.93@@1.93,12247782400.0,131072.0,131072.0,✓,✗,97.37 ± 0.32 / 98.03 ± 0.25@@97.37,53.95 ± 1.47 / 39.48 ± 2.60@@53.95,36.95 ± 1.08 / 66.92 ± 0.87@@36.95,58.07 ± 1.11 / 38.13 ± 0.86@@58.07,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.93@@1.93,30532122624.0,151936.0,40960.0,✓,✗,88.31 ± 0.87 / 89.14 ± 0.89@@88.31,64.68 ± 1.08 / 49.60 ± 1.92@@64.68,41.94 ± 1.55 / 70.17 ± 0.93@@41.94,47.92 ± 0.70 / 25.32 ± 0.61@@47.92,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.93@@1.93,81324862720.0,151936.0,262144.0,✓,✗,86.02 ± 0.98 / 86.33 ± 1.17@@86.02,58.09 ± 1.41 / 42.86 ± 2.31@@58.09,48.06 ± 1.72 / 73.60 ± 0.89@@48.06,49.86 ± 0.81 / 23.91 ± 0.58@@49.86,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CYFRAGOVPL/PLLuM-12B-chat'>CYFRAGOVPL/PLLuM-12B-chat</a>,📝,1.95@@1.95,12247782400.0,131072.0,131072.0,✓,✗,96.03 ± 0.56 / 97.00 ± 0.42@@96.03,55.05 ± 0.81 / 39.02 ± 2.25@@55.05,36.72 ± 1.65 / 66.96 ± 1.36@@36.72,56.64 ± 1.15 / 32.76 ± 0.93@@56.64,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.95@@1.95,70553706496.0,128256.0,131072.0,✓,✗,93.31 ± 0.75 / 94.03 ± 0.76@@93.31,64.89 ± 0.94 / 53.10 ± 2.66@@64.89,45.05 ± 1.73 / 71.93 ± 1.18@@45.05,40.87 ± 0.81 / 17.87 ± 0.65@@40.87,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,1.96@@1.96,307531778.0,256000.0,8192.0,✓,✗,93.30 ± 0.95 / 95.69 ± 0.63@@93.30,62.50 ± 2.85 / 61.68 ± 1.62@@62.50,46.94 ± 3.22 / 72.99 ± 1.65@@46.94,40.57 ± 1.53 / 18.71 ± 0.80@@40.57,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
