<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.84@@1.84,81.1,?,?,1047576.0,✓,✗,✗,✓,59.94 ± 3.63 / 71.72 ± 2.61@@59.94,48.65 ± 2.69 / 23.66 ± 1.49@@48.65,50.04 ± 1.72 / 72.81 ± 1.18@@50.04,48.48 ± 1.41 / 24.27 ± 1.47@@48.48,38.42 ± 0.15 / 42.46 ± 0.18@@38.42,66.16 ± 3.76 / 74.84 ± 2.77@@66.16,76.17 ± 2.27 / 88.36 ± 1.11@@76.17,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.15.0.dev0@@161500,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.92@@1.92,86.89,?,?,?,✓,✗,✗,✓,57.96 ± 1.55 / 71.24 ± 1.12@@57.96,69.47 ± 1.04 / 47.35 ± 0.86@@69.47,43.19 ± 1.92 / 71.02 ± 0.94@@43.19,50.02 ± 0.53 / 23.04 ± 0.44@@50.02,36.85 ± 0.09 / 41.49 ± 0.11@@36.85,58.01 ± 1.39 / 68.20 ± 1.07@@58.01,68.38 ± 2.19 / 83.98 ± 1.18@@68.38,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.96@@1.96,70.3,?,?,?,✓,✗,✗,✓,60.78 ± 3.19 / 71.34 ± 2.41@@60.78,64.71 ± 2.63 / 36.44 ± 1.18@@64.71,47.68 ± 3.36 / 73.50 ± 1.73@@47.68,50.93 ± 0.86 / 24.39 ± 1.21@@50.93,37.03 ± 0.21 / 41.84 ± 0.23@@37.03,54.52 ± 4.37 / 65.08 ± 3.44@@54.52,54.28 ± 4.33 / 77.34 ± 2.32@@54.28,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.00@@2.00,?,?,100256.0,272000.0,✓,✗,✗,✓,51.33 ± 2.95 / 64.43 ± 1.97@@51.33,62.85 ± 3.01 / 34.44 ± 1.51@@62.85,43.51 ± 2.64 / 65.94 ± 1.51@@43.51,50.14 ± 1.26 / 28.72 ± 1.64@@50.14,35.71 ± 0.13 / 40.41 ± 0.16@@35.71,54.24 ± 4.74 / 65.47 ± 3.53@@54.24,80.19 ± 2.92 / 90.31 ± 1.50@@80.19,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.04@@2.04,92.17,?,?,400000.0,✓,✗,✗,✓,57.64 ± 1.54 / 69.92 ± 1.20@@57.64,53.57 ± 1.24 / 25.76 ± 0.62@@53.57,47.99 ± 1.59 / 73.90 ± 0.79@@47.99,53.65 ± 0.61 / 32.47 ± 0.63@@53.65,36.87 ± 0.11 / 41.35 ± 0.14@@36.87,55.50 ± 2.29 / 66.48 ± 1.70@@55.50,50.84 ± 2.57 / 76.41 ± 1.31@@50.84,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,2.06@@2.06,0.58,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,61.64 ± 0.93 / 72.27 ± 0.65@@61.64,79.94 ± 1.39 / 75.88 ± 1.38@@79.94,25.69 ± 1.85 / 47.08 ± 1.96@@25.69,50.53 ± 0.53 / 26.85 ± 0.44@@50.53,37.46 ± 0.16 / 39.58 ± 0.20@@37.46,46.04 ± 1.26 / 59.61 ± 0.95@@46.04,76.01 ± 1.92 / 87.97 ± 1.06@@76.01,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,2.06@@2.06,11.01,?,?,131072.0,✓,✗,✗,✓,59.12 ± 1.23 / 67.06 ± 0.92@@59.12,61.86 ± 1.30 / 49.92 ± 0.91@@61.86,33.00 ± 1.92 / 63.47 ± 1.03@@33.00,50.34 ± 0.59 / 31.05 ± 0.67@@50.34,35.58 ± 0.14 / 39.19 ± 0.16@@35.58,50.60 ± 2.00 / 62.50 ± 1.51@@50.60,81.87 ± 1.31 / 91.33 ± 0.60@@81.87,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,2.14@@2.14,?,?,256128.0,1048576.0,✓,✗,✗,✓,51.71 ± 2.56 / 62.53 ± 1.76@@51.71,60.37 ± 2.55 / 35.28 ± 1.08@@60.37,42.11 ± 4.27 / 70.63 ± 2.22@@42.11,47.16 ± 0.70 / 26.29 ± 0.32@@47.16,36.47 ± 0.27 / 41.68 ± 0.29@@36.47,45.66 ± 3.63 / 59.45 ± 2.82@@45.66,75.28 ± 3.15 / 88.05 ± 1.44@@75.28,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.18@@2.18,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,58.21 ± 1.29 / 71.39 ± 0.85@@58.21,82.51 ± 1.28 / 69.88 ± 1.18@@82.51,33.75 ± 1.69 / 66.38 ± 0.79@@33.75,49.39 ± 0.60 / 28.74 ± 0.52@@49.39,36.69 ± 0.15 / 40.00 ± 0.23@@36.69,37.44 ± 2.11 / 53.52 ± 1.48@@37.44,52.16 ± 6.69 / 73.75 ± 4.61@@52.16,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.35@@2.35,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,50.84 ± 1.73 / 65.77 ± 1.73@@50.84,70.03 ± 1.86 / 62.22 ± 2.41@@70.03,23.07 ± 1.59 / 59.84 ± 2.10@@23.07,63.53 ± 1.73 / 34.31 ± 2.26@@63.53,39.67 ± 0.25 / 42.21 ± 0.41@@39.67,37.30 ± 1.40 / 52.73 ± 0.99@@37.30,33.98 ± 2.31 / 67.02 ± 1.33@@33.98,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.15.0.dev0@@161500,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.37@@2.37,13.97,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,52.35 ± 0.85 / 66.12 ± 0.75@@52.35,69.76 ± 0.87 / 49.03 ± 5.36@@69.76,24.30 ± 1.34 / 61.74 ± 0.82@@24.30,55.57 ± 1.42 / 27.78 ± 0.65@@55.57,39.03 ± 0.21 / 41.00 ± 0.26@@39.03,33.86 ± 0.71 / 49.81 ± 0.44@@33.86,45.81 ± 2.41 / 72.40 ± 1.40@@45.81,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,16.15.0.dev0@@161500,15.15.0@@151500,15.15.0@@151500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.37@@2.37,?,?,256128.0,1048576.0,✓,✗,✗,✓,54.74 ± 2.13 / 65.89 ± 1.43@@54.74,42.76 ± 2.45 / 19.43 ± 1.02@@42.76,39.15 ± 4.42 / 69.45 ± 2.28@@39.15,46.76 ± 1.05 / 24.20 ± 0.57@@46.76,37.70 ± 0.21 / 41.35 ± 0.25@@37.70,39.04 ± 4.26 / 54.06 ± 3.13@@39.04,49.69 ± 6.58 / 74.22 ± 3.28@@49.69,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.38@@2.38,12.41,27432406640.0,262144.0,?,✓,✗,(✓),✓,53.50 ± 1.27 / 67.18 ± 1.35@@53.50,61.34 ± 1.90 / 48.44 ± 3.19@@61.34,37.71 ± 1.69 / 68.45 ± 0.97@@37.71,49.17 ± 1.11 / 20.30 ± 2.18@@49.17,38.35 ± 0.17 / 40.93 ± 0.13@@38.35,28.36 ± 1.46 / 45.06 ± 1.18@@28.36,53.67 ± 2.40 / 76.96 ± 1.19@@53.67,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.15.0.dev0@@161500,15.5.0@@150500,15.5.0@@150500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.38@@2.38,?,?,?,?,✓,✗,✗,✓,53.79 ± 2.54 / 67.25 ± 1.93@@53.79,72.05 ± 2.42 / 69.40 ± 1.98@@72.05,28.50 ± 3.42 / 52.19 ± 2.15@@28.50,51.96 ± 1.17 / 27.28 ± 1.18@@51.96,36.76 ± 0.26 / 39.69 ± 0.29@@36.76,32.66 ± 3.91 / 47.66 ± 2.96@@32.66,45.76 ± 3.35 / 66.17 ± 2.49@@45.76,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.39@@2.39,59.68,?,?,400000.0,✓,✗,✗,✓,54.10 ± 0.99 / 63.32 ± 0.75@@54.10,40.37 ± 1.04 / 22.03 ± 0.51@@40.37,37.07 ± 2.09 / 65.73 ± 1.27@@37.07,49.75 ± 0.76 / 28.16 ± 0.73@@49.75,35.46 ± 0.11 / 40.90 ± 0.12@@35.46,40.96 ± 1.89 / 55.55 ± 1.37@@40.96,64.55 ± 2.17 / 82.58 ± 1.11@@64.55,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.42@@2.42,0.1,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,58.78 ± 1.24 / 71.14 ± 0.92@@58.78,75.89 ± 1.17 / 67.84 ± 1.55@@75.89,9.51 ± 2.25 / 36.77 ± 1.05@@9.51,49.54 ± 0.46 / 25.31 ± 0.45@@49.54,36.83 ± 0.16 / 39.68 ± 0.20@@36.83,36.88 ± 2.38 / 52.66 ± 1.77@@36.88,58.90 ± 2.41 / 79.77 ± 1.18@@58.90,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.46@@2.46,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,47.60 ± 1.92 / 63.12 ± 2.23@@47.60,66.71 ± 1.60 / 50.53 ± 4.36@@66.71,22.77 ± 1.79 / 59.41 ± 1.71@@22.77,61.42 ± 2.41 / 33.79 ± 1.89@@61.42,39.58 ± 0.27 / 42.28 ± 0.38@@39.58,34.59 ± 1.40 / 50.31 ± 1.22@@34.59,28.07 ± 2.31 / 64.63 ± 1.20@@28.07,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,2.49@@2.49,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,41.94 ± 3.49 / 54.52 ± 4.28@@41.94,69.68 ± 1.29 / 56.39 ± 3.87@@69.68,21.93 ± 1.25 / 60.36 ± 0.82@@21.93,58.98 ± 2.55 / 34.04 ± 1.78@@58.98,38.88 ± 0.33 / 41.14 ± 0.51@@38.88,35.97 ± 1.29 / 51.64 ± 0.92@@35.97,34.05 ± 2.91 / 66.72 ± 1.44@@34.05,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.49@@2.49,43.5,?,?,400000.0,✓,✗,✗,✓,51.88 ± 1.39 / 62.10 ± 1.06@@51.88,39.73 ± 1.11 / 21.54 ± 0.46@@39.73,32.86 ± 2.45 / 63.86 ± 1.36@@32.86,47.87 ± 0.55 / 26.68 ± 0.60@@47.87,35.16 ± 0.11 / 40.57 ± 0.11@@35.16,37.41 ± 2.11 / 52.81 ± 1.55@@37.41,59.36 ± 1.74 / 80.08 ± 0.90@@59.36,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.50@@2.50,?,?,100256.0,272000.0,✓,✗,✗,✓,49.19 ± 2.53 / 61.61 ± 1.70@@49.19,43.75 ± 1.47 / 26.87 ± 1.23@@43.75,36.99 ± 5.59 / 64.92 ± 2.96@@36.99,48.61 ± 1.18 / 27.67 ± 1.20@@48.61,32.36 ± 0.18 / 37.96 ± 0.16@@32.36,43.37 ± 4.04 / 57.42 ± 3.24@@43.37,51.29 ± 5.76 / 75.70 ± 3.01@@51.29,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.53@@2.53,3.44,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,47.98 ± 1.29 / 63.46 ± 1.10@@47.98,59.26 ± 1.92 / 39.62 ± 2.66@@59.26,31.16 ± 1.42 / 62.56 ± 1.74@@31.16,58.62 ± 1.64 / 31.75 ± 1.64@@58.62,37.69 ± 0.19 / 40.32 ± 0.25@@37.69,26.65 ± 1.76 / 44.62 ± 1.19@@26.65,31.14 ± 3.49 / 66.42 ± 1.64@@31.14,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
