<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.61@@1.61,?,100256.0,272000.0,✓,✗,51.40 ± 2.61 / 56.83 ± 1.59@@51.40,55.39 ± 1.71 / 55.39 ± 1.71@@55.39,58.36 ± 3.25 / 78.73 ± 1.62@@58.36,58.33 ± 1.53 / 35.22 ± 1.99@@58.33,84.62 ± 1.97 / 88.44 ± 1.45@@84.62,61.18 ± 5.29 / 81.17 ± 2.54@@61.18,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.67@@1.67,24261800960.0,131072.0,8192.0,✓,✗,60.04 ± 1.75 / 72.17 ± 1.68@@60.04,68.31 ± 1.00 / 68.31 ± 1.00@@68.31,48.35 ± 1.65 / 73.76 ± 0.81@@48.35,71.65 ± 1.79 / 53.06 ± 1.72@@71.65,57.78 ± 0.87 / 68.24 ± 0.65@@57.78,45.92 ± 2.64 / 72.92 ± 1.35@@45.92,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.70@@1.70,72706203648.0,152064.0,32768.0,✓,✗,61.03 ± 1.44 / 72.60 ± 1.31@@61.03,58.82 ± 1.15 / 58.82 ± 1.15@@58.82,51.60 ± 0.90 / 75.62 ± 0.53@@51.60,68.20 ± 1.17 / 42.14 ± 1.68@@68.20,67.45 ± 1.15 / 75.41 ± 0.88@@67.45,51.61 ± 1.52 / 75.81 ± 0.76@@51.61,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.70@@1.70,24011361280.0,131072.0,8192.0,✓,✗,58.22 ± 1.81 / 68.95 ± 2.01@@58.22,65.77 ± 0.95 / 65.77 ± 0.95@@65.77,51.95 ± 1.26 / 74.96 ± 0.69@@51.95,70.99 ± 1.30 / 48.73 ± 1.33@@70.99,56.50 ± 0.92 / 67.15 ± 0.70@@56.50,46.44 ± 1.64 / 72.98 ± 0.94@@46.44,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.72@@1.72,24011361280.0,131072.0,8192.0,✓,✗,60.48 ± 1.45 / 71.46 ± 1.69@@60.48,65.96 ± 0.92 / 65.96 ± 0.92@@65.96,49.81 ± 1.59 / 72.71 ± 1.49@@49.81,74.36 ± 1.31 / 52.95 ± 1.68@@74.36,55.93 ± 0.95 / 66.74 ± 0.75@@55.93,44.02 ± 2.07 / 71.93 ± 1.10@@44.02,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.75@@1.75,70553706496.0,128256.0,131072.0,✓,✗,61.33 ± 1.18 / 69.48 ± 1.05@@61.33,62.40 ± 1.32 / 62.40 ± 1.32@@62.40,48.52 ± 2.31 / 73.20 ± 1.47@@48.52,57.83 ± 1.05 / 30.19 ± 1.32@@57.83,66.10 ± 0.59 / 74.55 ± 0.44@@66.10,51.03 ± 2.14 / 75.48 ± 1.04@@51.03,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.77@@1.77,27432406640.0,262144.0,8192.0,✓,✗,59.86 ± 0.98 / 69.21 ± 1.11@@59.86,58.24 ± 1.36 / 58.24 ± 1.36@@58.24,56.41 ± 1.79 / 77.82 ± 1.16@@56.41,61.23 ± 1.39 / 36.19 ± 1.10@@61.23,58.93 ± 1.16 / 69.11 ± 0.89@@58.93,46.31 ± 2.31 / 73.16 ± 1.15@@46.31,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.77@@1.77,32762123264.0,151936.0,40960.0,✓,✗,54.40 ± 1.13 / 63.48 ± 1.29@@54.40,53.80 ± 1.26 / 53.80 ± 1.26@@53.80,56.94 ± 1.23 / 77.74 ± 0.74@@56.94,70.60 ± 1.18 / 46.93 ± 1.59@@70.60,62.84 ± 0.74 / 72.07 ± 0.56@@62.84,47.19 ± 1.22 / 73.58 ± 0.60@@47.19,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.78@@1.78,24011361280.0,131072.0,8192.0,✓,✗,60.19 ± 1.54 / 72.24 ± 1.60@@60.19,63.70 ± 1.34 / 63.70 ± 1.34@@63.70,48.08 ± 1.65 / 73.40 ± 0.87@@48.08,74.29 ± 1.69 / 55.26 ± 1.73@@74.29,53.35 ± 0.83 / 64.68 ± 0.70@@53.35,42.23 ± 1.63 / 71.02 ± 0.84@@42.23,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.81@@1.81,?,?,?,✓,✗,51.95 ± 2.45 / 61.02 ± 1.37@@51.95,54.92 ± 2.40 / 54.92 ± 2.40@@54.92,53.84 ± 3.18 / 74.94 ± 2.03@@53.84,60.10 ± 1.22 / 33.27 ± 1.62@@60.10,74.78 ± 1.93 / 81.02 ± 1.48@@74.78,49.03 ± 6.06 / 74.84 ± 2.73@@49.03,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.81@@1.81,?,256128.0,1048576.0,✓,✗,50.84 ± 2.03 / 58.04 ± 1.61@@50.84,64.02 ± 1.89 / 64.02 ± 1.89@@64.02,41.31 ± 1.37 / 68.25 ± 1.11@@41.31,61.12 ± 1.25 / 39.36 ± 1.44@@61.12,74.65 ± 1.44 / 81.02 ± 1.08@@74.65,50.62 ± 3.00 / 76.33 ± 1.74@@50.62,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.82@@1.82,?,256128.0,1048576.0,✓,✗,50.50 ± 2.27 / 57.61 ± 1.71@@50.50,56.42 ± 1.74 / 56.42 ± 1.74@@56.42,58.55 ± 2.13 / 78.44 ± 1.20@@58.55,60.53 ± 1.47 / 41.69 ± 1.59@@60.53,77.62 ± 1.52 / 83.24 ± 1.14@@77.62,39.48 ± 4.55 / 69.61 ± 2.02@@39.48,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.82@@1.82,?,?,200000.0,✓,✗,54.11 ± 2.53 / 62.49 ± 1.52@@54.11,64.49 ± 1.98 / 64.49 ± 1.98@@64.49,42.44 ± 2.93 / 67.05 ± 1.91@@42.44,61.24 ± 1.56 / 37.11 ± 1.96@@61.24,59.47 ± 2.24 / 69.10 ± 1.60@@59.47,55.73 ± 3.90 / 75.00 ± 2.27@@55.73,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.83@@1.83,70553706496.0,128256.0,131072.0,✓,✗,60.79 ± 0.93 / 70.83 ± 0.93@@60.79,60.86 ± 1.29 / 60.86 ± 1.29@@60.86,34.84 ± 4.68 / 59.00 ± 4.97@@34.84,65.18 ± 1.39 / 41.71 ± 1.45@@65.18,70.35 ± 0.50 / 77.72 ± 0.38@@70.35,48.74 ± 2.02 / 74.38 ± 1.01@@48.74,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.88@@1.88,70553706496.0,128256.0,131072.0,✓,✗,62.29 ± 1.21 / 71.53 ± 1.35@@62.29,62.29 ± 1.17 / 62.29 ± 1.17@@62.29,18.70 ± 4.52 / 43.15 ± 4.14@@18.70,64.71 ± 1.42 / 40.73 ± 1.57@@64.71,70.52 ± 0.79 / 77.79 ± 0.61@@70.52,52.27 ± 1.44 / 76.15 ± 0.72@@52.27,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.89@@1.89,?,?,1047576.0,✓,✗,54.61 ± 2.03 / 61.87 ± 1.60@@54.61,50.26 ± 1.33 / 50.26 ± 1.33@@50.26,40.21 ± 1.73 / 61.91 ± 1.31@@40.21,53.36 ± 1.46 / 27.45 ± 1.80@@53.36,73.94 ± 2.17 / 80.47 ± 1.63@@73.94,60.28 ± 5.12 / 80.70 ± 2.72@@60.28,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.92@@1.92,14768307200.0,151936.0,40960.0,✓,✗,57.93 ± 1.23 / 68.54 ± 1.35@@57.93,58.03 ± 1.17 / 58.03 ± 1.17@@58.03,49.80 ± 1.61 / 74.27 ± 1.10@@49.80,71.33 ± 1.05 / 50.04 ± 1.21@@71.33,55.19 ± 1.02 / 66.30 ± 0.78@@55.19,36.50 ± 2.23 / 68.05 ± 1.06@@36.50,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.93@@1.93,14765947904.0,151665.0,131072.0,✓,✗,54.49 ± 1.25 / 64.50 ± 1.38@@54.49,59.32 ± 1.09 / 59.32 ± 1.09@@59.32,44.60 ± 1.37 / 71.58 ± 1.04@@44.60,68.63 ± 1.27 / 47.99 ± 1.08@@68.63,60.33 ± 0.88 / 70.23 ± 0.65@@60.33,40.34 ± 1.74 / 70.12 ± 0.87@@40.34,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.95@@1.95,?,100256.0,272000.0,✓,✗,44.68 ± 3.09 / 54.08 ± 1.89@@44.68,58.57 ± 2.47 / 58.57 ± 2.47@@58.57,49.09 ± 3.60 / 74.00 ± 1.89@@49.09,58.04 ± 0.86 / 34.24 ± 1.31@@58.04,76.50 ± 2.15 / 82.38 ± 1.60@@76.50,39.28 ± 4.73 / 70.23 ± 2.07@@39.28,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.96@@1.96,12187325040.0,262144.0,8192.0,✓,✗,60.45 ± 1.39 / 71.42 ± 1.78@@60.45,60.63 ± 1.16 / 60.63 ± 1.16@@60.63,53.50 ± 1.34 / 76.35 ± 0.64@@53.50,61.58 ± 1.11 / 37.57 ± 0.96@@61.58,49.35 ± 0.68 / 61.97 ± 0.51@@49.35,32.65 ± 1.80 / 66.27 ± 0.93@@32.65,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.97@@1.97,?,?,200000.0,✓,✗,54.32 ± 2.34 / 64.82 ± 1.89@@54.32,50.37 ± 1.77 / 50.37 ± 1.77@@50.37,41.01 ± 2.02 / 69.89 ± 1.05@@41.01,58.71 ± 1.52 / 29.93 ± 1.59@@58.71,73.44 ± 2.38 / 79.92 ± 1.81@@73.44,43.51 ± 3.69 / 73.44 ± 1.92@@43.51,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.98@@1.98,21511953984.0,201088.0,131072.0,✓,✗,45.68 ± 1.01 / 54.87 ± 0.76@@45.68,65.77 ± 1.02 / 65.77 ± 1.02@@65.77,39.86 ± 1.72 / 69.61 ± 0.93@@39.86,59.67 ± 1.15 / 35.84 ± 0.98@@59.67,70.00 ± 0.69 / 77.49 ± 0.52@@70.00,35.92 ± 2.14 / 67.96 ± 1.04@@35.92,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.99@@1.99,30532122624.0,151936.0,262144.0,✓,✗,57.28 ± 1.85 / 68.94 ± 1.74@@57.28,53.80 ± 1.39 / 53.80 ± 1.39@@53.80,47.11 ± 1.51 / 73.44 ± 0.77@@47.11,63.98 ± 1.23 / 42.11 ± 1.09@@63.98,61.57 ± 0.93 / 71.16 ± 0.71@@61.57,35.41 ± 1.05 / 67.69 ± 0.53@@35.41,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.05@@2.05,24011361280.0,131072.0,8192.0,✓,✗,64.94 ± 1.06 / 76.29 ± 0.81@@64.94,65.54 ± 0.85 / 65.54 ± 0.85@@65.54,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,75.52 ± 1.78 / 55.36 ± 2.06@@75.52,59.30 ± 0.95 / 69.43 ± 0.73@@59.30,40.90 ± 1.96 / 70.39 ± 0.99@@40.90,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.06@@2.06,70553706496.0,128256.0,131072.0,✓,✗,63.13 ± 1.59 / 69.54 ± 2.15@@63.13,66.78 ± 1.13 / 66.78 ± 1.13@@66.78,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.01 ± 1.54 / 50.16 ± 1.61@@72.01,57.40 ± 1.01 / 67.93 ± 0.77@@57.40,46.53 ± 2.40 / 73.26 ± 1.19@@46.53,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.06@@2.06,27432406640.0,262144.0,8192.0,✓,✗,66.93 ± 1.32 / 76.23 ± 1.47@@66.93,61.98 ± 1.64 / 61.98 ± 1.64@@61.98,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.21 ± 2.06 / 50.22 ± 2.15@@72.21,60.57 ± 0.98 / 70.37 ± 0.75@@60.57,45.55 ± 1.85 / 72.50 ± 0.98@@45.55,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.5.0.dev0@@160500
