<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.39@@1.39,235107904512.0,151936.0,262144.0,✓,✗,93.01 ± 0.41 / 96.47 ± 0.22@@93.01,68.44 ± 0.98 / 42.28 ± 2.70@@68.44,68.50 ± 0.85 / 84.10 ± 0.50@@68.50,75.51 ± 0.67 / 56.62 ± 0.80@@75.51,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.39@@1.39,24011361280.0,131072.0,?,✓,✗,91.43 ± 0.77 / 95.68 ± 0.40@@91.43,73.35 ± 1.74 / 58.36 ± 2.08@@73.35,54.10 ± 2.25 / 75.55 ± 1.81@@54.10,81.05 ± 1.20 / 66.24 ± 0.98@@81.05,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.40@@1.40,235107904512.0,151936.0,262144.0,✓,✗,91.43 ± 0.60 / 95.66 ± 0.31@@91.43,79.80 ± 2.02 / 60.33 ± 3.22@@79.80,50.34 ± 1.25 / 69.30 ± 0.90@@50.34,78.29 ± 0.54 / 62.12 ± 0.74@@78.29,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,200000.0,✓,✗,93.56 ± 0.94 / 96.75 ± 0.48@@93.56,67.06 ± 3.19 / 56.12 ± 2.14@@67.06,68.86 ± 2.85 / 83.25 ± 1.59@@68.86,72.99 ± 0.77 / 48.30 ± 1.43@@72.99,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.41@@1.41,405868625920.0,128256.0,131072.0,✓,✗,91.09 ± 0.68 / 95.43 ± 0.38@@91.09,63.96 ± 3.72 / 61.25 ± 3.69@@63.96,69.11 ± 0.94 / 84.22 ± 0.53@@69.11,77.40 ± 0.69 / 58.03 ± 1.30@@77.40,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.41@@1.41,24011361280.0,131072.0,?,✓,✗,91.89 ± 1.05 / 95.89 ± 0.56@@91.89,74.10 ± 1.62 / 66.14 ± 2.73@@74.10,53.54 ± 2.72 / 74.18 ± 2.56@@53.54,81.17 ± 0.89 / 63.54 ± 1.05@@81.17,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.42@@1.42,24011361280.0,131072.0,?,✓,✗,88.07 ± 5.36 / 93.62 ± 3.26@@88.07,74.18 ± 1.99 / 64.14 ± 2.24@@74.18,54.28 ± 3.10 / 76.18 ± 1.71@@54.28,81.75 ± 1.17 / 66.04 ± 1.40@@81.75,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,1.43@@1.43,70553706496.0,128256.0,131072.0,✓,✗,90.75 ± 0.75 / 95.25 ± 0.42@@90.75,68.82 ± 1.86 / 53.75 ± 2.33@@68.82,61.66 ± 1.04 / 80.70 ± 0.54@@61.66,79.03 ± 0.75 / 59.67 ± 1.45@@79.03,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.3.0@@140300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.44@@1.44,72706203648.0,152064.0,32768.0,✓,✗,90.68 ± 0.71 / 95.26 ± 0.38@@90.68,67.16 ± 1.61 / 44.06 ± 2.06@@67.16,66.06 ± 1.20 / 82.87 ± 0.67@@66.06,77.17 ± 0.40 / 54.93 ± 1.27@@77.17,15.7.0.dev0@@150700,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,91.09 ± 0.81 / 95.45 ± 0.44@@91.09,69.95 ± 1.27 / 56.20 ± 2.70@@69.95,63.56 ± 1.34 / 81.61 ± 0.68@@63.56,75.61 ± 0.68 / 53.36 ± 1.13@@75.61,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.44@@1.44,24011361280.0,131072.0,8192.0,✓,✗,91.14 ± 0.71 / 95.53 ± 0.37@@91.14,71.32 ± 1.95 / 57.07 ± 1.74@@71.32,54.33 ± 1.89 / 76.37 ± 1.24@@54.33,82.21 ± 1.12 / 68.25 ± 1.05@@82.21,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,92.07 ± 0.47 / 95.99 ± 0.24@@92.07,70.37 ± 1.97 / 56.00 ± 2.79@@70.37,62.87 ± 1.48 / 81.12 ± 0.82@@62.87,72.23 ± 0.75 / 47.75 ± 1.34@@72.23,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.3.0@@140300
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.45@@1.45,24261800960.0,131072.0,8192.0,✓,✗,90.68 ± 0.72 / 95.29 ± 0.36@@90.68,74.99 ± 2.18 / 63.18 ± 2.48@@74.99,52.84 ± 3.02 / 73.70 ± 2.49@@52.84,79.20 ± 1.27 / 64.17 ± 1.25@@79.20,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,1.45@@1.45,32763876352.0,152064.0,40960.0,✓,✗,90.82 ± 0.65 / 95.32 ± 0.34@@90.82,75.09 ± 1.61 / 59.30 ± 2.77@@75.09,56.93 ± 1.36 / 76.36 ± 0.96@@56.93,75.25 ± 0.45 / 59.55 ± 0.66@@75.25,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.45@@1.45,?,100256.0,272000.0,✓,✗,92.59 ± 0.93 / 96.24 ± 0.48@@92.59,66.88 ± 2.55 / 39.50 ± 2.65@@66.88,66.09 ± 3.15 / 82.64 ± 1.63@@66.09,74.29 ± 0.64 / 46.56 ± 1.09@@74.29,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.46@@1.46,27432406640.0,262144.0,?,✓,✗,90.14 ± 1.32 / 94.87 ± 0.74@@90.14,66.98 ± 2.19 / 57.49 ± 2.26@@66.98,58.52 ± 3.68 / 78.40 ± 2.20@@58.52,81.67 ± 0.85 / 64.37 ± 1.47@@81.67,16.5.0.dev0@@160500,15.5.0.dev0@@150500,16.5.0.dev0@@160500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.46@@1.46,?,100256.0,272000.0,✓,✗,93.56 ± 0.94 / 96.75 ± 0.48@@93.56,60.68 ± 3.06 / 52.97 ± 2.29@@60.68,67.83 ± 3.14 / 82.82 ± 1.79@@67.83,77.21 ± 0.79 / 53.66 ± 1.66@@77.21,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,1.46@@1.46,32763876352.0,152064.0,32768.0,✓,✗,92.25 ± 0.69 / 96.12 ± 0.35@@92.25,69.91 ± 1.37 / 46.64 ± 3.07@@69.91,58.27 ± 1.90 / 77.03 ± 1.47@@58.27,76.48 ± 0.58 / 51.99 ± 1.55@@76.48,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.46@@1.46,32762123264.0,151936.0,40960.0,✓,✗,91.68 ± 0.51 / 95.77 ± 0.27@@91.68,62.75 ± 1.36 / 42.60 ± 1.81@@62.75,64.12 ± 0.94 / 81.72 ± 0.59@@64.12,82.41 ± 0.55 / 66.75 ± 1.09@@82.41,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.46@@1.46,81324862720.0,151936.0,262144.0,✓,✗,92.13 ± 0.64 / 96.02 ± 0.33@@92.13,67.83 ± 1.08 / 45.02 ± 2.28@@67.83,63.50 ± 1.16 / 81.28 ± 0.73@@63.50,75.67 ± 0.64 / 56.36 ± 0.88@@75.67,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.46@@1.46,?,?,200000.0,✓,✗,91.73 ± 1.33 / 95.84 ± 0.68@@91.73,62.41 ± 2.92 / 52.27 ± 2.69@@62.41,74.06 ± 2.21 / 86.59 ± 1.26@@74.06,71.43 ± 0.34 / 37.34 ± 0.83@@71.43,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.47@@1.47,?,256128.0,1048576.0,✓,✗,92.89 ± 1.33 / 96.43 ± 0.67@@92.89,59.90 ± 3.70 / 42.11 ± 2.39@@59.90,70.76 ± 2.16 / 85.14 ± 1.07@@70.76,76.30 ± 0.92 / 47.25 ± 1.67@@76.30,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.48@@1.48,?,100256.0,272000.0,✓,✗,93.03 ± 1.03 / 96.47 ± 0.53@@93.03,61.02 ± 3.41 / 52.32 ± 2.84@@61.02,66.85 ± 3.08 / 82.37 ± 1.73@@66.85,77.66 ± 0.98 / 53.84 ± 1.36@@77.66,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.48@@1.48,?,?,?,✓,✗,94.61 ± 1.09 / 97.26 ± 0.56@@94.61,62.41 ± 3.43 / 45.60 ± 3.18@@62.41,67.43 ± 3.12 / 83.40 ± 1.61@@67.43,73.62 ± 0.86 / 41.15 ± 1.68@@73.62,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.48@@1.48,?,256128.0,1048576.0,✓,✗,91.64 ± 0.97 / 95.80 ± 0.49@@91.64,62.74 ± 2.56 / 49.16 ± 2.09@@62.74,73.47 ± 2.36 / 86.60 ± 1.19@@73.47,68.69 ± 0.76 / 34.51 ± 1.18@@68.69,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.48@@1.48,?,?,1047576.0,✓,✗,94.02 ± 1.04 / 96.98 ± 0.53@@94.02,65.53 ± 2.23 / 37.72 ± 2.39@@65.53,66.63 ± 1.69 / 83.07 ± 0.85@@66.63,72.30 ± 1.02 / 39.05 ± 1.45@@72.30,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.48@@1.48,?,?,200000.0,✓,✗,91.41 ± 1.39 / 95.68 ± 0.71@@91.41,58.62 ± 3.25 / 49.90 ± 2.62@@58.62,74.66 ± 2.16 / 87.01 ± 1.11@@74.66,72.57 ± 0.70 / 45.72 ± 1.17@@72.57,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.48@@1.48,70553706496.0,128256.0,131072.0,✓,✗,91.32 ± 0.70 / 95.58 ± 0.37@@91.32,67.93 ± 1.63 / 52.74 ± 3.00@@67.93,57.43 ± 2.74 / 76.29 ± 2.16@@57.43,77.06 ± 0.61 / 55.91 ± 1.04@@77.06,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.49@@1.49,?,200019.0,8191.0,✓,✗,89.12 ± 0.78 / 94.54 ± 0.39@@89.12,69.12 ± 2.60 / 41.51 ± 2.79@@69.12,58.88 ± 2.34 / 79.01 ± 1.24@@58.88,76.88 ± 0.76 / 45.35 ± 1.23@@76.88,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.49@@1.49,70553706496.0,128256.0,8192.0,✓,✗,91.20 ± 0.76 / 95.52 ± 0.42@@91.20,69.07 ± 1.09 / 51.30 ± 2.14@@69.07,59.58 ± 1.34 / 79.51 ± 0.82@@59.58,75.82 ± 1.21 / 58.68 ± 1.07@@75.82,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.49@@1.49,14765947904.0,151665.0,131072.0,✓,✗,89.97 ± 0.88 / 94.82 ± 0.49@@89.97,68.68 ± 1.38 / 51.10 ± 2.79@@68.68,58.36 ± 1.56 / 78.03 ± 1.20@@58.36,76.42 ± 0.70 / 57.94 ± 1.05@@76.42,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/DTAI-KULeuven/robbert-2023-dutch-large'>DTAI-KULeuven/robbert-2023-dutch-large</a>,🔍,1.50@@1.50,355140946.0,50000.0,512.0,✓,✗,87.65 ± 0.77 / 93.77 ± 0.42@@87.65,79.56 ± 2.18 / 83.84 ± 1.55@@79.56,65.96 ± 1.64 / 82.64 ± 1.00@@65.96,55.84 ± 1.05 / 11.59 ± 0.55@@55.84,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,1.50@@1.50,574594434.0,250300.0,512.0,✓,✗,85.01 ± 0.90 / 92.43 ± 0.44@@85.01,75.49 ± 1.75 / 81.37 ± 1.31@@75.49,66.47 ± 2.04 / 83.16 ± 1.01@@66.47,66.03 ± 2.24 / 51.16 ± 2.46@@66.03,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.50@@1.50,?,?,200000.0,✓,✗,92.82 ± 1.05 / 96.39 ± 0.54@@92.82,55.02 ± 2.64 / 40.48 ± 2.12@@55.02,75.67 ± 2.54 / 87.58 ± 1.40@@75.67,73.71 ± 0.91 / 44.34 ± 0.98@@73.71,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,1.51@@1.51,235093634560.0,151936.0,40960.0,✓,✗,90.04 ± 0.83 / 95.00 ± 0.41@@90.04,67.90 ± 1.46 / 41.97 ± 2.35@@67.90,58.02 ± 1.08 / 77.73 ± 0.58@@58.02,77.97 ± 0.64 / 62.64 ± 0.77@@77.97,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.52@@1.52,30532122624.0,151936.0,40960.0,✓,✗,89.45 ± 1.13 / 94.68 ± 0.56@@89.45,68.86 ± 1.83 / 54.05 ± 2.12@@68.86,56.38 ± 0.95 / 76.50 ± 0.70@@56.38,76.90 ± 0.45 / 60.56 ± 0.68@@76.90,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.52@@1.52,14768307200.0,151936.0,40960.0,✓,✗,91.83 ± 0.52 / 95.90 ± 0.26@@91.83,62.77 ± 1.78 / 44.49 ± 2.24@@62.77,58.08 ± 0.99 / 78.24 ± 0.74@@58.08,80.42 ± 0.60 / 65.40 ± 0.95@@80.42,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.53@@1.53,?,?,200000.0,✓,✗,91.89 ± 1.24 / 95.92 ± 0.62@@91.89,64.83 ± 3.01 / 49.39 ± 2.54@@64.83,60.31 ± 2.27 / 76.09 ± 1.62@@60.31,74.57 ± 0.50 / 50.22 ± 1.26@@74.57,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,1.53@@1.53,70553706496.0,128256.0,8192.0,✓,✗,90.12 ± 1.00 / 94.90 ± 0.55@@90.12,66.69 ± 1.81 / 50.93 ± 2.99@@66.69,58.64 ± 1.06 / 79.12 ± 0.61@@58.64,75.17 ± 0.62 / 51.32 ± 1.12@@75.17,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.54@@1.54,4022468096.0,151936.0,262144.0,✓,✗,88.25 ± 0.73 / 94.00 ± 0.40@@88.25,79.61 ± 1.52 / 65.09 ± 2.37@@79.61,45.46 ± 1.63 / 68.44 ± 0.91@@45.46,73.98 ± 4.24 / 59.69 ± 3.17@@73.98,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,1.54@@1.54,32296476672.0,256000.0,131072.0,✗,✗,90.11 ± 0.79 / 94.96 ± 0.44@@90.11,68.58 ± 1.76 / 44.49 ± 2.32@@68.58,55.01 ± 1.21 / 77.17 ± 0.63@@55.01,76.12 ± 0.81 / 59.07 ± 0.69@@76.12,15.7.0.dev0@@150700,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
