<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.49@@1.49,95.47,?,?,?,✓,✗,✗,✓,62.27 ± 0.94 / 72.33 ± 0.73@@62.27,76.90 ± 0.71 / 65.36 ± 1.25@@76.90,76.76 ± 1.29 / 67.56 ± 1.33@@76.76,69.60 ± 1.33 / 84.29 ± 0.70@@69.60,66.23 ± 2.22 / 82.42 ± 1.17@@66.23,66.51 ± 0.39 / 34.31 ± 0.73@@66.51,29.74 ± 0.13 / 34.51 ± 0.14@@29.74,69.08 ± 0.85 / 77.15 ± 0.64@@69.08,60.39 ± 0.77 / 70.04 ± 0.56@@60.39,92.76 ± 1.39 / 94.22 ± 1.12@@92.76,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.52@@1.52,0.01,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,65.23 ± 1.17 / 75.60 ± 0.88@@65.23,79.92 ± 0.74 / 75.35 ± 1.33@@79.92,80.44 ± 0.91 / 74.80 ± 1.01@@80.44,62.37 ± 2.14 / 80.59 ± 1.13@@62.37,58.58 ± 1.08 / 78.47 ± 0.66@@58.58,71.51 ± 0.40 / 45.23 ± 0.84@@71.51,31.25 ± 0.22 / 34.57 ± 0.22@@31.25,58.47 ± 1.29 / 69.26 ± 0.90@@58.47,48.05 ± 1.77 / 61.02 ± 1.30@@48.05,87.59 ± 1.07 / 90.16 ± 0.87@@87.59,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.54@@1.54,?,?,?,?,✓,✗,✗,✓,60.63 ± 2.09 / 72.71 ± 1.62@@60.63,82.94 ± 0.94 / 74.82 ± 2.56@@82.94,78.51 ± 1.64 / 73.26 ± 1.76@@78.51,57.76 ± 2.51 / 76.30 ± 1.55@@57.76,49.11 ± 3.15 / 71.80 ± 1.87@@49.11,74.22 ± 0.94 / 47.79 ± 1.72@@74.22,30.96 ± 0.28 / 35.17 ± 0.32@@30.96,68.00 ± 2.51 / 76.60 ± 1.84@@68.00,62.29 ± 3.67 / 71.56 ± 2.70@@62.29,77.25 ± 3.72 / 81.41 ± 3.18@@77.25,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.56@@1.56,95.46,?,?,1047576.0,✓,✗,✗,✓,51.49 ± 3.39 / 66.60 ± 2.38@@51.49,71.34 ± 2.36 / 52.59 ± 3.22@@71.34,64.63 ± 3.07 / 40.68 ± 2.64@@64.63,78.88 ± 1.70 / 89.09 ± 0.93@@78.88,59.57 ± 2.03 / 76.98 ± 1.22@@59.57,71.09 ± 1.00 / 38.22 ± 1.59@@71.09,30.50 ± 0.27 / 34.84 ± 0.32@@30.50,82.50 ± 1.17 / 87.15 ± 0.79@@82.50,63.28 ± 2.30 / 72.38 ± 1.69@@63.28,84.76 ± 1.93 / 87.66 ± 1.61@@84.76,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.15.0.dev0@@161500,15.6.1.dev0@@150601,15.10.1.dev0@@151001,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,100256.0,272000.0,✓,✗,✗,✓,61.55 ± 2.21 / 71.45 ± 1.69@@61.55,66.57 ± 2.66 / 48.27 ± 2.67@@66.57,67.68 ± 3.28 / 52.10 ± 3.33@@67.68,67.15 ± 1.49 / 81.99 ± 0.89@@67.15,52.70 ± 2.60 / 73.95 ± 1.48@@52.70,70.63 ± 0.52 / 42.37 ± 1.42@@70.63,28.77 ± 0.28 / 33.30 ± 0.33@@28.77,73.86 ± 0.90 / 80.74 ± 0.64@@73.86,66.84 ± 2.26 / 75.00 ± 1.70@@66.84,85.46 ± 1.93 / 88.28 ± 1.66@@85.46,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.65@@1.65,38.92,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,61.70 ± 0.93 / 73.44 ± 0.78@@61.70,79.92 ± 0.88 / 65.27 ± 1.94@@79.92,78.30 ± 1.06 / 65.46 ± 3.43@@78.30,63.82 ± 1.48 / 81.65 ± 0.68@@63.82,50.41 ± 1.60 / 74.77 ± 0.98@@50.41,74.61 ± 1.32 / 47.98 ± 1.79@@74.61,32.32 ± 0.23 / 35.26 ± 0.20@@32.32,54.33 ± 0.92 / 66.19 ± 0.69@@54.33,26.85 ± 0.80 / 45.14 ± 0.60@@26.85,82.54 ± 1.17 / 85.99 ± 0.95@@82.54,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,16.15.0.dev0@@161500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.66@@1.66,78.45,?,?,400000.0,✓,✗,✗,✓,57.64 ± 3.63 / 70.18 ± 2.58@@57.64,74.81 ± 1.61 / 62.37 ± 2.73@@74.81,75.08 ± 2.71 / 58.20 ± 2.97@@75.08,71.37 ± 3.40 / 85.65 ± 1.70@@71.37,58.24 ± 2.75 / 79.04 ± 1.37@@58.24,70.73 ± 1.01 / 39.47 ± 1.61@@70.73,29.01 ± 0.25 / 33.60 ± 0.30@@29.01,69.26 ± 3.34 / 77.46 ± 2.42@@69.26,46.07 ± 2.26 / 59.65 ± 1.66@@46.07,79.33 ± 1.85 / 83.12 ± 1.57@@79.33,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.66@@1.66,1.85,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,64.97 ± 0.95 / 76.70 ± 0.51@@64.97,70.30 ± 1.73 / 60.24 ± 2.64@@70.30,69.83 ± 1.85 / 60.63 ± 2.06@@69.83,69.26 ± 1.34 / 84.47 ± 0.81@@69.26,58.07 ± 1.84 / 78.95 ± 0.95@@58.07,67.79 ± 0.89 / 37.28 ± 1.31@@67.79,31.92 ± 0.19 / 35.51 ± 0.17@@31.92,53.07 ± 0.55 / 65.18 ± 0.42@@53.07,42.33 ± 0.87 / 56.24 ± 0.69@@42.33,79.28 ± 0.48 / 83.36 ± 0.40@@79.28,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.15.0.dev0@@161500,15.5.0@@150500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.66@@1.66,16.79,?,?,131072.0,✓,✗,✗,✓,55.69 ± 1.32 / 66.72 ± 1.01@@55.69,76.51 ± 0.84 / 74.61 ± 1.06@@76.51,73.99 ± 1.28 / 68.05 ± 1.11@@73.99,60.20 ± 1.26 / 79.23 ± 0.65@@60.20,38.11 ± 1.41 / 65.85 ± 0.92@@38.11,73.90 ± 0.27 / 47.40 ± 0.51@@73.90,29.57 ± 0.12 / 33.56 ± 0.14@@29.57,70.18 ± 1.15 / 78.01 ± 0.85@@70.18,64.07 ± 1.32 / 72.93 ± 1.01@@64.07,83.31 ± 0.72 / 86.72 ± 0.63@@83.31,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.67@@1.67,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.83 ± 2.03 / 68.25 ± 1.68@@58.83,69.46 ± 2.45 / 51.19 ± 3.26@@69.46,69.12 ± 3.61 / 50.96 ± 3.38@@69.12,71.27 ± 2.07 / 85.59 ± 1.03@@71.27,44.41 ± 2.75 / 70.18 ± 1.61@@44.41,69.68 ± 0.81 / 39.88 ± 1.19@@69.68,28.44 ± 0.20 / 33.24 ± 0.22@@28.44,73.50 ± 2.09 / 80.35 ± 1.52@@73.50,56.31 ± 3.05 / 66.64 ± 2.35@@56.31,88.70 ± 2.26 / 90.78 ± 1.96@@88.70,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.69@@1.69,5.08,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,57.95 ± 3.02 / 69.00 ± 2.24@@57.95,71.32 ± 1.57 / 62.40 ± 2.85@@71.32,67.74 ± 2.83 / 58.26 ± 3.54@@67.74,63.54 ± 2.16 / 80.43 ± 1.36@@63.54,50.63 ± 2.36 / 71.48 ± 2.41@@50.63,77.42 ± 1.70 / 50.54 ± 3.08@@77.42,31.17 ± 0.20 / 34.74 ± 0.21@@31.17,54.19 ± 3.82 / 66.25 ± 2.74@@54.19,41.80 ± 3.45 / 56.21 ± 2.57@@41.80,78.89 ± 2.69 / 82.97 ± 2.30@@78.89,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.70@@1.70,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,57.76 ± 2.49 / 70.13 ± 2.35@@57.76,70.45 ± 1.97 / 62.30 ± 3.29@@70.45,68.25 ± 2.09 / 61.63 ± 2.48@@68.25,64.74 ± 1.80 / 82.18 ± 0.92@@64.74,58.11 ± 1.73 / 78.62 ± 1.06@@58.11,76.93 ± 3.33 / 52.07 ± 5.54@@76.93,28.13 ± 0.74 / 28.44 ± 0.71@@28.13,58.49 ± 0.84 / 69.07 ± 0.64@@58.49,52.75 ± 1.64 / 64.47 ± 1.24@@52.75,81.72 ± 0.95 / 85.31 ± 0.77@@81.72,16.5.0.dev0@@160500,15.6.1@@150601,15.6.1@@150601,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.6.1@@150601,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.71@@1.71,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,56.30 ± 1.57 / 68.83 ± 1.11@@56.30,75.34 ± 0.95 / 66.30 ± 1.31@@75.34,78.90 ± 1.27 / 67.44 ± 2.00@@78.90,56.77 ± 2.42 / 78.17 ± 1.22@@56.77,45.69 ± 1.49 / 71.97 ± 0.73@@45.69,67.68 ± 0.54 / 40.52 ± 1.38@@67.68,30.78 ± 0.21 / 34.35 ± 0.20@@30.78,55.22 ± 2.37 / 66.84 ± 1.72@@55.22,52.16 ± 1.96 / 63.95 ± 1.48@@52.16,82.47 ± 3.03 / 85.94 ± 2.43@@82.47,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.72@@1.72,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,61.44 ± 1.60 / 73.80 ± 1.40@@61.44,76.70 ± 1.31 / 61.15 ± 2.52@@76.70,75.13 ± 2.05 / 62.82 ± 2.14@@75.13,60.10 ± 1.45 / 79.81 ± 0.70@@60.10,46.19 ± 2.12 / 71.92 ± 1.64@@46.19,76.10 ± 3.67 / 49.75 ± 5.44@@76.10,31.90 ± 0.18 / 34.83 ± 0.21@@31.90,50.72 ± 1.23 / 63.37 ± 0.90@@50.72,27.56 ± 1.17 / 45.55 ± 0.92@@27.56,79.46 ± 1.03 / 83.55 ± 0.82@@79.46,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
