<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.53@@1.53,27432406640.0,262144.0,?,✓,✗,93.78 ± 0.68 / 96.88 ± 0.35@@93.78,65.25 ± 1.02 / 47.69 ± 2.19@@65.25,41.32 ± 3.61 / 67.76 ± 4.16@@41.32,75.66 ± 1.52 / 58.64 ± 2.77@@75.66,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.55@@1.55,24011361280.0,131072.0,?,✓,✗,92.17 ± 0.76 / 96.04 ± 0.40@@92.17,70.37 ± 1.35 / 55.35 ± 1.80@@70.37,38.28 ± 1.44 / 68.88 ± 0.84@@38.28,74.86 ± 1.78 / 55.80 ± 3.95@@74.86,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.55@@1.55,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.85 / 96.16 ± 0.44@@92.39,72.14 ± 1.02 / 51.90 ± 4.23@@72.14,36.33 ± 2.08 / 67.59 ± 1.17@@36.33,77.11 ± 1.27 / 59.23 ± 2.62@@77.11,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.58@@1.58,235107904512.0,151936.0,262144.0,✓,✗,92.17 ± 0.77 / 96.04 ± 0.40@@92.17,64.96 ± 1.23 / 38.83 ± 2.85@@64.96,45.86 ± 1.55 / 72.86 ± 0.76@@45.86,65.44 ± 0.83 / 50.50 ± 1.53@@65.44,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.61@@1.61,?,256128.0,1048576.0,✓,✗,88.36 ± 1.32 / 93.96 ± 0.69@@88.36,66.07 ± 2.13 / 47.38 ± 2.27@@66.07,47.25 ± 2.39 / 73.16 ± 1.16@@47.25,66.05 ± 0.96 / 51.12 ± 1.36@@66.05,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,200000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,69.71 ± 1.99 / 55.54 ± 2.08@@69.71,46.79 ± 2.99 / 73.20 ± 1.54@@46.79,59.83 ± 0.60 / 41.87 ± 1.27@@59.83,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.62@@1.62,24011361280.0,131072.0,?,✓,✗,92.80 ± 0.54 / 96.37 ± 0.28@@92.80,67.16 ± 2.10 / 49.82 ± 2.42@@67.16,34.77 ± 1.47 / 63.81 ± 1.94@@34.77,76.86 ± 1.43 / 61.30 ± 2.09@@76.86,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.64@@1.64,?,256128.0,1048576.0,✓,✗,88.28 ± 1.22 / 93.91 ± 0.64@@88.28,62.62 ± 1.96 / 44.31 ± 2.46@@62.62,53.35 ± 2.48 / 75.99 ± 1.28@@53.35,58.40 ± 0.78 / 28.18 ± 1.09@@58.40,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.65@@1.65,?,256128.0,1048576.0,✓,✗,90.25 ± 1.21 / 94.98 ± 0.63@@90.25,64.90 ± 2.14 / 39.56 ± 2.14@@64.90,54.95 ± 3.28 / 77.27 ± 1.62@@54.95,53.83 ± 0.69 / 27.51 ± 1.13@@53.83,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.65@@1.65,24011361280.0,131072.0,?,✓,✗,91.61 ± 0.84 / 95.72 ± 0.45@@91.61,67.45 ± 1.76 / 46.06 ± 3.44@@67.45,35.83 ± 2.04 / 65.96 ± 1.73@@35.83,74.97 ± 2.15 / 59.09 ± 3.09@@74.97,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.65@@1.65,235107904512.0,151936.0,262144.0,✓,✗,92.05 ± 0.68 / 95.99 ± 0.35@@92.05,79.42 ± 1.43 / 56.60 ± 1.64@@79.42,32.33 ± 1.73 / 57.92 ± 1.14@@32.33,66.88 ± 0.53 / 54.00 ± 0.68@@66.88,16.3.0.dev0@@160300,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.65@@1.65,?,256128.0,1048576.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72,62.95 ± 2.40 / 42.48 ± 1.75@@62.95,44.49 ± 2.04 / 70.93 ± 1.13@@44.49,65.54 ± 0.84 / 53.40 ± 1.35@@65.54,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.66@@1.66,?,100256.0,272000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,64.81 ± 1.45 / 39.11 ± 2.53@@64.81,48.36 ± 1.45 / 73.81 ± 0.71@@48.36,60.87 ± 0.62 / 41.63 ± 1.15@@60.87,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,1.66@@1.66,23575680000.0,131072.0,32768.0,✓,✗,91.65 ± 0.80 / 95.77 ± 0.42@@91.65,68.29 ± 1.85 / 43.08 ± 4.56@@68.29,35.93 ± 2.58 / 66.17 ± 2.50@@35.93,72.10 ± 1.38 / 54.85 ± 2.56@@72.10,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.70@@1.70,561192082.0,250002.0,512.0,✓,✗,90.45 ± 0.70 / 95.21 ± 0.35@@90.45,83.33 ± 1.38 / 80.64 ± 1.78@@83.33,30.09 ± 14.89 / 60.18 ± 10.03@@30.09,60.87 ± 1.78 / 38.15 ± 1.85@@60.87,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.71@@1.71,?,?,?,✓,✗,90.62 ± 1.17 / 95.18 ± 0.61@@90.62,67.88 ± 2.40 / 48.98 ± 2.58@@67.88,40.48 ± 3.98 / 70.05 ± 2.01@@40.48,59.89 ± 0.82 / 36.57 ± 1.38@@59.89,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.71@@1.71,?,100256.0,272000.0,✓,✗,87.63 ± 1.27 / 93.65 ± 0.66@@87.63,65.77 ± 1.27 / 56.81 ± 1.65@@65.77,41.20 ± 2.58 / 68.59 ± 1.51@@41.20,64.78 ± 0.56 / 48.65 ± 0.70@@64.78,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#high (zero-shot, val)</a>",🤔,1.71@@1.71,?,100256.0,272000.0,✓,✗,89.33 ± 1.22 / 94.55 ± 0.62@@89.33,68.65 ± 1.60 / 58.55 ± 1.72@@68.65,39.07 ± 3.90 / 67.27 ± 2.15@@39.07,66.05 ± 0.98 / 50.12 ± 1.31@@66.05,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.72@@1.72,24011361280.0,131072.0,8192.0,✓,✗,91.47 ± 0.61 / 95.67 ± 0.33@@91.47,65.41 ± 1.71 / 43.92 ± 3.66@@65.41,31.96 ± 1.98 / 62.71 ± 2.35@@31.96,76.47 ± 1.73 / 61.45 ± 2.39@@76.47,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.72@@1.72,32759790592.0,151665.0,131072.0,✓,✗,90.90 ± 0.68 / 95.39 ± 0.36@@90.90,69.28 ± 1.52 / 45.66 ± 2.50@@69.28,34.30 ± 1.41 / 63.36 ± 1.54@@34.30,69.38 ± 0.83 / 51.14 ± 1.36@@69.38,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,1.73@@1.73,70553706496.0,128256.0,8192.0,✓,✗,93.10 ± 0.51 / 96.52 ± 0.26@@93.10,60.03 ± 1.15 / 34.73 ± 2.26@@60.03,46.71 ± 1.94 / 72.57 ± 1.35@@46.71,59.91 ± 1.24 / 39.57 ± 1.01@@59.91,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,1.75@@1.75,70553706496.0,128256.0,131072.0,✓,✗,92.62 ± 0.66 / 96.28 ± 0.34@@92.62,69.03 ± 1.54 / 44.88 ± 1.85@@69.03,35.07 ± 2.08 / 65.05 ± 1.87@@35.07,64.69 ± 1.02 / 43.72 ± 1.44@@64.69,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.76@@1.76,70553706496.0,128256.0,131072.0,✓,✗,92.60 ± 0.70 / 96.26 ± 0.36@@92.60,69.41 ± 1.26 / 44.98 ± 3.00@@69.41,34.11 ± 2.76 / 64.41 ± 2.73@@34.11,65.17 ± 0.89 / 44.96 ± 1.85@@65.17,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,1.77@@1.77,?,100256.0,272000.0,✓,✗,89.58 ± 1.08 / 94.67 ± 0.56@@89.58,59.28 ± 2.06 / 40.66 ± 2.44@@59.28,42.87 ± 3.19 / 70.51 ± 1.82@@42.87,64.85 ± 1.18 / 48.27 ± 1.65@@64.85,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.77@@1.77,24261800960.0,131072.0,8192.0,✓,✗,91.36 ± 0.83 / 95.61 ± 0.43@@91.36,71.04 ± 1.15 / 52.81 ± 2.90@@71.04,25.79 ± 3.00 / 54.53 ± 2.93@@25.79,73.12 ± 1.88 / 58.46 ± 1.83@@73.12,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.78@@1.78,70553706496.0,128256.0,131072.0,✓,✗,92.73 ± 0.72 / 96.33 ± 0.37@@92.73,67.60 ± 1.81 / 43.66 ± 2.86@@67.60,33.45 ± 1.93 / 65.53 ± 1.79@@33.45,65.38 ± 1.07 / 45.87 ± 2.19@@65.38,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.78@@1.78,?,?,200000.0,✓,✗,92.72 ± 0.96 / 96.28 ± 0.51@@92.72,48.69 ± 1.79 / 31.20 ± 1.43@@48.69,51.57 ± 2.56 / 75.00 ± 1.36@@51.57,59.74 ± 0.80 / 39.77 ± 1.15@@59.74,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.79@@1.79,72706203648.0,152064.0,32768.0,✓,✗,92.47 ± 0.69 / 96.21 ± 0.36@@92.47,65.09 ± 1.24 / 36.56 ± 2.08@@65.09,31.28 ± 2.50 / 63.69 ± 1.95@@31.28,69.76 ± 0.78 / 50.61 ± 2.30@@69.76,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,1.79@@1.79,235093634560.0,151936.0,40960.0,✓,✗,91.25 ± 0.54 / 95.57 ± 0.28@@91.25,63.20 ± 1.70 / 37.04 ± 2.26@@63.20,37.92 ± 1.39 / 68.76 ± 0.68@@37.92,66.29 ± 0.78 / 52.48 ± 0.93@@66.29,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.81@@1.81,81324862720.0,151936.0,262144.0,✓,✗,91.72 ± 0.87 / 95.80 ± 0.45@@91.72,62.53 ± 1.22 / 34.77 ± 1.79@@62.53,36.19 ± 1.81 / 67.72 ± 1.01@@36.19,64.81 ± 1.21 / 45.92 ± 1.36@@64.81,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.81@@1.81,30532122624.0,151936.0,40960.0,✓,✗,91.32 ± 0.57 / 95.62 ± 0.29@@91.32,70.09 ± 1.12 / 49.72 ± 1.88@@70.09,31.55 ± 1.96 / 65.48 ± 0.98@@31.55,65.15 ± 0.87 / 48.87 ± 1.70@@65.15,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,1.81@@1.81,32763876352.0,152064.0,32768.0,✓,✗,89.45 ± 0.69 / 94.59 ± 0.37@@89.45,61.48 ± 1.94 / 37.17 ± 3.19@@61.48,36.72 ± 1.25 / 67.32 ± 0.89@@36.72,69.16 ± 0.91 / 44.94 ± 2.35@@69.16,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,1.82@@1.82,32762123264.0,151936.0,40960.0,✓,✗,90.66 ± 0.75 / 95.26 ± 0.39@@90.66,59.89 ± 1.74 / 44.68 ± 1.42@@59.89,38.30 ± 1.73 / 68.93 ± 0.89@@38.30,65.96 ± 0.73 / 52.55 ± 1.07@@65.96,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.83@@1.83,12187325040.0,262144.0,?,✓,✗,92.87 ± 0.78 / 96.40 ± 0.41@@92.87,55.73 ± 1.61 / 33.42 ± 3.23@@55.73,35.23 ± 4.03 / 64.84 ± 3.44@@35.23,74.35 ± 1.33 / 59.63 ± 1.44@@74.35,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.84@@1.84,27432406640.0,262144.0,?,✓,✗,91.45 ± 1.19 / 95.65 ± 0.63@@91.45,61.34 ± 1.61 / 39.70 ± 2.11@@61.34,36.96 ± 3.07 / 66.70 ± 1.97@@36.96,65.15 ± 0.46 / 45.38 ± 1.44@@65.15,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.85@@1.85,405868625920.0,128256.0,131072.0,✓,✗,92.59 ± 0.61 / 96.26 ± 0.32@@92.59,66.26 ± 1.99 / 59.79 ± 2.27@@66.26,31.55 ± 4.14 / 58.27 ± 3.63@@31.55,64.34 ± 0.93 / 45.34 ± 2.67@@64.34,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.85@@1.85,70553706496.0,128256.0,131072.0,✓,✗,92.37 ± 0.65 / 96.15 ± 0.34@@92.37,69.08 ± 1.52 / 46.31 ± 2.82@@69.08,35.90 ± 2.62 / 64.12 ± 2.65@@35.90,53.60 ± 1.94 / 28.80 ± 2.26@@53.60,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.86@@1.86,?,256128.0,1048576.0,✓,✗,88.50 ± 1.21 / 94.03 ± 0.64@@88.50,61.76 ± 2.58 / 38.94 ± 2.74@@61.76,40.35 ± 2.11 / 69.97 ± 1.09@@40.35,61.31 ± 1.24 / 40.71 ± 1.63@@61.31,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,1.86@@1.86,?,256128.0,1048576.0,✓,✗,88.50 ± 1.21 / 94.03 ± 0.64@@88.50,61.76 ± 2.58 / 38.94 ± 2.74@@61.76,40.35 ± 2.11 / 69.97 ± 1.09@@40.35,61.31 ± 1.24 / 40.71 ± 1.63@@61.31,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.86@@1.86,?,?,?,✓,✗,91.13 ± 1.00 / 95.45 ± 0.51@@91.13,72.92 ± 2.61 / 63.08 ± 2.30@@72.92,25.46 ± 4.93 / 61.36 ± 2.48@@25.46,62.88 ± 1.12 / 44.21 ± 1.33@@62.88,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
