<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.38@@1.38,70553706496.0,128256.0,131072.0,✓,✗,56.21 ± 1.31 / 59.51 ± 2.51@@56.21,70.25 ± 1.91 / 65.22 ± 3.19@@70.25,35.95 ± 3.40 / 65.28 ± 3.61@@35.95,68.94 ± 1.84 / 46.42 ± 2.16@@68.94,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.38@@1.38,?,256128.0,1048576.0,✓,✗,58.30 ± 1.82 / 60.01 ± 1.41@@58.30,67.97 ± 3.32 / 50.23 ± 2.67@@67.97,46.76 ± 4.74 / 73.33 ± 2.40@@46.76,59.37 ± 1.15 / 34.14 ± 1.04@@59.37,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.39@@1.39,?,?,200000.0,✓,✗,61.09 ± 2.18 / 64.48 ± 1.84@@61.09,80.64 ± 1.84 / 75.40 ± 2.30@@80.64,32.84 ± 4.17 / 63.58 ± 2.06@@32.84,58.88 ± 0.84 / 32.63 ± 1.02@@58.88,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.40@@1.40,72706203648.0,152064.0,32768.0,✓,✗,63.38 ± 1.60 / 74.64 ± 1.71@@63.38,55.64 ± 1.74 / 40.75 ± 3.07@@55.64,44.58 ± 1.39 / 72.10 ± 0.79@@44.58,62.75 ± 1.62 / 35.25 ± 1.85@@62.75,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.43@@1.43,70553706496.0,128256.0,131072.0,✓,✗,63.50 ± 1.28 / 72.81 ± 1.34@@63.50,71.16 ± 1.24 / 56.81 ± 2.73@@71.16,41.33 ± 1.60 / 69.75 ± 1.26@@41.33,52.92 ± 1.46 / 24.71 ± 1.44@@52.92,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,62.26 ± 1.54 / 71.78 ± 1.63@@62.26,67.71 ± 1.52 / 53.69 ± 3.34@@67.71,39.59 ± 1.19 / 68.76 ± 0.97@@39.59,56.90 ± 1.03 / 28.92 ± 1.22@@56.90,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.44@@1.44,?,256128.0,1048576.0,✓,✗,58.00 ± 1.67 / 61.15 ± 1.52@@58.00,66.80 ± 2.99 / 45.24 ± 1.59@@66.80,42.24 ± 4.29 / 69.93 ± 2.21@@42.24,55.49 ± 1.16 / 33.12 ± 1.04@@55.49,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.46@@1.46,?,256128.0,1048576.0,✓,✗,60.34 ± 1.72 / 65.55 ± 1.27@@60.34,75.70 ± 0.94 / 58.19 ± 1.47@@75.70,35.92 ± 3.80 / 67.89 ± 1.92@@35.92,52.94 ± 0.86 / 23.60 ± 0.74@@52.94,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.50@@1.50,?,?,?,✓,✗,55.43 ± 2.47 / 60.05 ± 1.96@@55.43,61.53 ± 3.54 / 48.37 ± 2.17@@61.53,45.83 ± 2.63 / 69.71 ± 1.59@@45.83,59.40 ± 1.16 / 30.72 ± 1.09@@59.40,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.51@@1.51,?,100256.0,272000.0,✓,✗,55.68 ± 1.68 / 60.84 ± 1.21@@55.68,72.35 ± 3.15 / 64.44 ± 3.40@@72.35,38.28 ± 4.16 / 68.16 ± 2.13@@38.28,57.88 ± 1.13 / 28.86 ± 1.81@@57.88,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.51@@1.51,27432406640.0,262144.0,8192.0,✓,✗,62.10 ± 1.65 / 72.62 ± 1.80@@62.10,58.70 ± 1.66 / 50.41 ± 2.41@@58.70,40.29 ± 2.31 / 68.23 ± 1.63@@40.29,58.39 ± 1.12 / 30.82 ± 1.22@@58.39,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.51@@1.51,32762123264.0,151936.0,40960.0,✓,✗,60.58 ± 1.47 / 71.90 ± 1.52@@60.58,57.57 ± 2.22 / 50.52 ± 2.75@@57.57,41.23 ± 1.34 / 69.06 ± 0.95@@41.23,64.15 ± 1.15 / 37.96 ± 1.45@@64.15,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.54@@1.54,70553706496.0,128256.0,131072.0,✓,✗,63.02 ± 2.03 / 73.48 ± 2.08@@63.02,68.71 ± 1.40 / 56.45 ± 3.48@@68.71,34.65 ± 1.99 / 64.04 ± 2.14@@34.65,56.58 ± 1.09 / 27.69 ± 1.04@@56.58,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.55@@1.55,12187325040.0,262144.0,8192.0,✓,✗,63.71 ± 1.91 / 74.85 ± 1.92@@63.71,60.84 ± 2.53 / 40.13 ± 2.71@@60.84,38.12 ± 2.28 / 67.57 ± 1.65@@38.12,56.96 ± 0.75 / 30.17 ± 1.33@@56.96,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.59@@1.59,12187325040.0,262144.0,8192.0,✓,✗,65.19 ± 1.68 / 73.59 ± 2.23@@65.19,55.61 ± 1.76 / 42.60 ± 4.36@@55.61,29.43 ± 3.12 / 61.19 ± 2.69@@29.43,67.10 ± 3.09 / 47.42 ± 2.95@@67.10,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.59@@1.59,14768307200.0,151936.0,40960.0,✓,✗,61.67 ± 1.18 / 72.50 ± 1.41@@61.67,54.61 ± 1.99 / 42.62 ± 2.66@@54.61,35.49 ± 1.66 / 63.74 ± 1.28@@35.49,67.41 ± 0.91 / 41.79 ± 1.15@@67.41,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.64@@1.64,8190735360.0,151936.0,40960.0,✓,✗,62.26 ± 1.37 / 73.58 ± 1.41@@62.26,54.36 ± 1.68 / 46.97 ± 2.48@@54.36,35.13 ± 1.23 / 65.42 ± 0.87@@35.13,61.50 ± 0.95 / 36.62 ± 1.83@@61.50,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.65@@1.65,14765947904.0,151665.0,131072.0,✓,✗,55.05 ± 0.89 / 62.43 ± 1.46@@55.05,59.57 ± 1.28 / 50.61 ± 2.62@@59.57,38.20 ± 0.99 / 68.94 ± 0.46@@38.20,57.67 ± 1.14 / 30.30 ± 1.58@@57.67,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.67@@1.67,?,100256.0,272000.0,✓,✗,60.74 ± 1.63 / 62.72 ± 1.24@@60.74,63.16 ± 2.91 / 46.19 ± 2.38@@63.16,32.73 ± 3.96 / 64.63 ± 2.19@@32.73,54.13 ± 0.82 / 29.44 ± 1.09@@54.13,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.69@@1.69,30532122624.0,151936.0,262144.0,✓,✗,61.24 ± 1.87 / 72.06 ± 2.13@@61.24,53.84 ± 2.31 / 40.27 ± 3.30@@53.84,37.65 ± 1.89 / 66.85 ± 1.32@@37.65,55.83 ± 1.00 / 28.38 ± 0.78@@55.83,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.72@@1.72,21511953984.0,201088.0,131072.0,✓,✗,52.87 ± 0.79 / 59.17 ± 0.84@@52.87,67.41 ± 0.88 / 61.29 ± 1.60@@67.41,33.34 ± 1.63 / 62.94 ± 0.88@@33.34,54.51 ± 0.53 / 27.03 ± 0.99@@54.51,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.73@@1.73,?,?,1047576.0,✓,✗,59.68 ± 2.27 / 68.36 ± 1.65@@59.68,47.48 ± 2.41 / 25.97 ± 1.60@@47.48,40.22 ± 4.99 / 69.42 ± 2.60@@40.22,56.55 ± 0.98 / 28.28 ± 0.83@@56.55,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.73@@1.73,?,?,200000.0,✓,✗,61.41 ± 1.65 / 65.06 ± 1.52@@61.41,52.57 ± 2.67 / 34.29 ± 2.53@@52.57,33.09 ± 3.82 / 61.22 ± 2.33@@33.09,58.87 ± 0.95 / 27.39 ± 1.14@@58.87,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.77@@1.77,?,256128.0,1048576.0,✓,✗,59.54 ± 1.99 / 65.55 ± 1.49@@59.54,39.87 ± 1.85 / 19.42 ± 0.86@@39.87,42.26 ± 4.54 / 70.45 ± 2.40@@42.26,55.36 ± 0.94 / 26.80 ± 0.97@@55.36,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.78@@1.78,7849978192.0,262400.0,8192.0,✓,✗,62.25 ± 1.22 / 72.64 ± 1.23@@62.25,56.31 ± 1.72 / 39.85 ± 3.18@@56.31,29.90 ± 1.33 / 62.76 ± 1.34@@29.90,53.35 ± 0.62 / 24.31 ± 0.70@@53.35,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.78@@1.78,32207337984.0,100352.0,131072.0,✓,✗,57.29 ± 1.34 / 65.73 ± 1.28@@57.29,59.54 ± 0.90 / 51.25 ± 2.79@@59.54,27.11 ± 2.06 / 62.32 ± 2.05@@27.11,59.03 ± 1.38 / 38.41 ± 1.11@@59.03,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,1.79@@1.79,22637328384.0,128000.0,32768.0,✓,✗,56.50 ± 1.68 / 59.60 ± 3.01@@56.50,50.90 ± 2.16 / 38.11 ± 4.25@@50.90,29.33 ± 5.08 / 60.45 ± 6.18@@29.33,63.09 ± 1.93 / 42.01 ± 1.85@@63.09,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.80@@1.80,?,?,1047576.0,✓,✗,59.62 ± 1.84 / 65.29 ± 1.23@@59.62,47.78 ± 2.21 / 31.41 ± 1.73@@47.78,37.49 ± 3.93 / 68.56 ± 2.07@@37.49,54.54 ± 0.85 / 24.97 ± 1.12@@54.54,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.82@@1.82,70599864480.0,131072.0,65536.0,✗,✗,61.24 ± 1.23 / 72.96 ± 1.23@@61.24,40.19 ± 1.65 / 22.62 ± 1.85@@40.19,39.34 ± 2.75 / 67.81 ± 2.65@@39.34,56.81 ± 0.87 / 30.72 ± 1.12@@56.81,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.82@@1.82,?,?,200000.0,✓,✗,57.75 ± 2.23 / 64.32 ± 1.97@@57.75,64.75 ± 2.44 / 60.86 ± 1.83@@64.75,21.33 ± 3.13 / 46.56 ± 1.94@@21.33,59.08 ± 0.91 / 31.71 ± 1.22@@59.08,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.83@@1.83,21511953984.0,201088.0,131072.0,✓,✗,50.84 ± 1.55 / 62.26 ± 1.73@@50.84,65.58 ± 1.90 / 60.56 ± 2.52@@65.58,30.65 ± 1.80 / 62.05 ± 1.02@@30.65,54.12 ± 0.70 / 25.31 ± 0.48@@54.12,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,1.84@@1.84,?,128000.0,4096.0,✓,✗,58.75 ± 2.09 / 66.43 ± 3.12@@58.75,43.65 ± 2.33 / 39.95 ± 2.38@@43.65,30.59 ± 3.19 / 62.31 ± 3.26@@30.59,64.36 ± 1.77 / 42.62 ± 1.79@@64.36,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.6.0.dev0@@160600
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.86@@1.86,4022468096.0,151936.0,40960.0,✓,✗,61.43 ± 0.82 / 73.47 ± 0.96@@61.43,47.92 ± 1.57 / 33.04 ± 2.23@@47.92,31.28 ± 1.51 / 65.31 ± 0.73@@31.28,58.37 ± 0.93 / 34.96 ± 1.46@@58.37,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,1.91@@1.91,575922690.0,250300.0,512.0,✓,✗,50.80 ± 4.22 / 66.52 ± 2.76@@50.80,71.27 ± 1.66 / 69.23 ± 1.96@@71.27,34.27 ± 7.66 / 65.26 ± 6.53@@34.27,34.09 ± 1.44 / 24.26 ± 1.28@@34.09,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.94@@1.94,561192082.0,250002.0,512.0,✓,✗,61.77 ± 1.19 / 74.13 ± 1.00@@61.77,79.61 ± 1.08 / 78.85 ± 0.89@@79.61,19.14 ± 12.25 / 53.78 ± 9.85@@19.14,30.58 ± 1.45 / 20.74 ± 1.20@@30.58,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,1.94@@1.94,22637328384.0,128000.0,4096.0,✓,✗,61.58 ± 1.20 / 71.32 ± 1.22@@61.58,39.23 ± 1.55 / 28.92 ± 2.02@@39.23,30.70 ± 2.23 / 60.09 ± 3.51@@30.70,60.15 ± 1.34 / 36.43 ± 1.56@@60.15,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,1.95@@1.95,8030326784.0,128264.0,131072.0,✓,✗,65.12 ± 1.33 / 76.71 ± 1.08@@65.12,42.34 ± 2.15 / 33.03 ± 2.71@@42.34,22.74 ± 1.77 / 49.36 ± 2.52@@22.74,62.47 ± 1.60 / 36.49 ± 1.68@@62.47,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,1.95@@1.95,307531778.0,256000.0,8192.0,✓,✗,46.95 ± 5.90 / 63.77 ± 3.94@@46.95,75.25 ± 1.82 / 74.49 ± 1.69@@75.25,36.70 ± 2.16 / 67.22 ± 1.87@@36.70,27.73 ± 1.03 / 18.14 ± 1.01@@27.73,16.5.0.dev0@@160500,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.96@@1.96,559890946.0,250002.0,512.0,✓,✗,60.96 ± 1.95 / 72.74 ± 2.06@@60.96,75.78 ± 1.99 / 75.93 ± 2.20@@75.78,22.34 ± 10.65 / 60.09 ± 6.02@@22.34,28.71 ± 2.10 / 18.20 ± 2.30@@28.71,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,1.96@@1.96,32233522176.0,100278.0,65536.0,✓,✗,57.86 ± 1.22 / 66.20 ± 1.68@@57.86,48.78 ± 1.27 / 42.46 ± 3.48@@48.78,17.72 ± 1.89 / 49.78 ± 2.85@@17.72,68.57 ± 1.25 / 42.57 ± 1.02@@68.57,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
